ダウンロードした時刻：2019/10/10 15:57:57

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,10.8,15.3,6.7
1999/12/2,10.7,13.2,9.4
1999/12/3,9.1,13.4,5.0
1999/12/4,9.4,15.1,4.6
1999/12/5,12.2,15.2,8.5
1999/12/6,11.5,15.8,8.0
1999/12/7,7.7,11.5,4.7
1999/12/8,8.5,13.9,4.4
1999/12/9,9.7,15.2,4.1
1999/12/10,10.8,15.1,7.4
1999/12/11,10.4,14.8,6.5
1999/12/12,8.0,12.3,4.6
1999/12/13,8.7,12.4,6.2
1999/12/14,8.4,12.7,5.0
1999/12/15,7.4,11.9,4.0
1999/12/16,7.7,12.6,3.4
1999/12/17,9.6,13.3,5.4
1999/12/18,8.1,11.8,5.5
1999/12/19,5.4,8.7,3.6
1999/12/20,4.2,7.9,1.7
1999/12/21,3.3,8.0,-0.1
1999/12/22,4.7,9.6,-0.1
1999/12/23,5.9,11.4,2.1
1999/12/24,6.3,12.5,0.3
1999/12/25,7.5,11.7,4.2
1999/12/26,5.9,11.4,2.3
1999/12/27,6.6,12.5,2.9
1999/12/28,6.8,12.6,0.8
1999/12/29,9.2,14.1,5.4
1999/12/30,9.0,14.4,4.8
1999/12/31,9.4,14.7,4.9
2000/1/1,9.0,13.6,6.7
2000/1/2,9.1,13.4,6.6
2000/1/3,10.2,15.3,5.9
2000/1/4,9.7,14.4,6.3
2000/1/5,9.1,14.2,3.7
2000/1/6,11.4,14.6,9.0
2000/1/7,12.7,16.7,7.5
2000/1/8,7.4,10.3,4.6
2000/1/9,8.2,12.1,4.5
2000/1/10,10.7,16.1,7.8
2000/1/11,8.8,13.6,6.0
2000/1/12,8.9,10.5,7.0
2000/1/13,11.8,12.9,10.1
2000/1/14,10.9,14.4,7.8
2000/1/15,9.4,14.2,6.0
2000/1/16,8.8,11.2,7.0
2000/1/17,8.7,11.3,6.9
2000/1/18,8.0,12.7,4.0
2000/1/19,7.6,12.4,3.5
2000/1/20,4.9,7.5,1.4
2000/1/21,1.9,6.3,0.1
2000/1/22,3.4,8.7,-0.9
2000/1/23,6.0,8.1,1.9
2000/1/24,9.3,13.9,5.7
2000/1/25,7.2,10.8,2.3
2000/1/26,3.5,9.6,-0.2
2000/1/27,2.9,9.1,-1.0
2000/1/28,3.7,9.8,-1.4
2000/1/29,5.4,11.9,0.7
2000/1/30,7.0,13.7,1.6
2000/1/31,5.3,8.8,2.5
2000/2/1,4.2,9.0,0.9
2000/2/2,5.8,10.4,2.0
2000/2/3,6.9,12.3,3.0
2000/2/4,6.1,10.5,2.8
2000/2/5,5.7,12.3,0.8
2000/2/6,6.0,7.7,2.4
2000/2/7,7.7,11.6,5.1
2000/2/8,5.0,10.7,-0.4
2000/2/9,3.2,7.4,-0.1
2000/2/10,4.0,9.1,-0.6
2000/2/11,5.8,10.8,0.8
2000/2/12,8.0,12.8,3.6
2000/2/13,9.2,14.3,5.6
2000/2/14,7.4,10.9,4.6
2000/2/15,4.8,8.3,0.5
2000/2/16,0.9,4.6,-0.9
2000/2/17,2.4,6.7,-1.1
2000/2/18,3.3,8.1,1.0
2000/2/19,4.3,7.8,0.6
2000/2/20,7.1,11.4,3.8
2000/2/21,4.6,9.1,1.6
2000/2/22,3.8,8.9,0.1
2000/2/23,4.7,9.0,1.3
2000/2/24,5.0,9.7,1.0
2000/2/25,2.9,8.1,-0.7
2000/2/26,2.9,7.1,0.6
2000/2/27,3.6,7.6,-0.2
2000/2/28,4.6,10.4,0.2
2000/2/29,2.8,8.9,-1.1
2000/3/1,4.7,10.7,-0.7
2000/3/2,8.1,14.4,0.2
2000/3/3,9.9,15.8,3.5
2000/3/4,9.7,12.1,7.1
2000/3/5,11.4,16.1,7.3
2000/3/6,9.9,16.1,4.3
2000/3/7,8.7,14.6,4.6
2000/3/8,5.0,10.1,1.8
2000/3/9,4.0,8.7,0.8
2000/3/10,5.3,10.8,1.6
2000/3/11,5.9,11.3,1.6
2000/3/12,7.2,12.9,4.1
2000/3/13,8.2,14.2,4.0
2000/3/14,7.2,13.5,1.3
2000/3/15,8.4,14.4,3.2
2000/3/16,9.4,14.6,6.6
2000/3/17,8.2,13.8,4.4
2000/3/18,9.2,16.2,2.6
2000/3/19,10.5,16.2,6.1
2000/3/20,9.9,16.0,5.1
2000/3/21,8.9,13.8,3.3
2000/3/22,10.6,15.6,7.1
2000/3/23,11.9,16.6,6.6
2000/3/24,10.6,15.6,5.7
2000/3/25,6.2,10.0,3.1
2000/3/26,6.1,10.6,2.2
2000/3/27,9.5,16.8,2.9
2000/3/28,12.4,16.7,8.0
2000/3/29,12.2,17.0,8.0
2000/3/30,11.4,16.3,7.4
2000/3/31,11.1,16.0,7.5
