ダウンロードした時刻：2017/07/24 15:37:15

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,-3.8,0.7,-8.8
1984/1/2,-2.7,1.7,-7.9
1984/1/3,-4.5,-0.3,-10.9
1984/1/4,0.1,2.9,-1.6
1984/1/5,-2.0,1.6,-8.0
1984/1/6,-3.8,0.5,-8.5
1984/1/7,-6.5,-1.4,-10.7
1984/1/8,-8.0,-3.0,-12.2
1984/1/9,-4.8,-0.1,-10.2
1984/1/10,-2.0,2.4,-6.2
1984/1/11,-3.8,-0.7,-5.8
1984/1/12,-5.3,0.1,-9.4
1984/1/13,-4.0,0.9,-9.0
1984/1/14,-3.7,-0.1,-10.0
1984/1/15,-2.6,0.8,-5.3
1984/1/16,-6.8,-4.7,-8.5
1984/1/17,-7.9,-5.2,-10.2
1984/1/18,-7.3,-3.5,-10.8
1984/1/19,-8.1,-3.1,-12.7
1984/1/20,-5.7,-1.6,-11.6
1984/1/21,-3.8,-0.2,-6.3
1984/1/22,-1.9,-0.6,-4.5
1984/1/23,-1.3,3.8,-5.9
1984/1/24,-4.3,-0.4,-9.0
1984/1/25,-4.3,0.4,-7.3
1984/1/26,-5.8,-1.4,-11.1
1984/1/27,-4.7,2.0,-9.2
1984/1/28,-6.0,0.2,-13.6
1984/1/29,-3.4,1.1,-6.4
1984/1/30,-3.8,0.0,-7.2
1984/1/31,-3.4,-0.7,-7.0
1984/2/1,-0.6,2.9,-2.8
1984/2/2,-3.1,0.2,-5.8
1984/2/3,-5.8,-1.3,-10.0
1984/2/4,-8.4,-4.7,-14.4
1984/2/5,-6.3,-2.5,-11.5
1984/2/6,-8.0,-4.3,-10.4
1984/2/7,-8.0,-4.5,-11.1
1984/2/8,-7.1,-1.6,-12.1
1984/2/9,-5.6,-0.8,-12.5
1984/2/10,-3.2,0.8,-9.0
1984/2/11,-3.0,1.3,-7.0
1984/2/12,-4.7,0.8,-11.2
1984/2/13,-2.5,2.0,-6.2
1984/2/14,-3.2,1.2,-8.2
1984/2/15,-4.8,-0.2,-10.1
1984/2/16,-7.0,-1.6,-12.0
1984/2/17,-5.3,-2.4,-10.6
1984/2/18,-6.1,0.5,-12.2
1984/2/19,-4.2,-0.9,-8.6
1984/2/20,-2.0,2.0,-6.4
1984/2/21,-1.0,2.6,-5.8
1984/2/22,-1.8,1.8,-5.0
1984/2/23,-3.5,-1.8,-7.7
1984/2/24,0.0,3.6,-3.7
1984/2/25,-0.8,2.9,-5.1
1984/2/26,-1.1,0.5,-2.4
1984/2/27,-1.1,1.7,-4.1
1984/2/28,-3.2,1.0,-6.5
1984/2/29,-5.1,-1.9,-9.8
1984/3/1,-4.1,-1.1,-7.8
1984/3/2,-2.1,2.7,-8.1
1984/3/3,-1.2,3.5,-6.9
1984/3/4,-3.5,3.4,-10.9
1984/3/5,-3.0,1.4,-6.5
1984/3/6,-3.5,2.6,-8.8
1984/3/7,-2.1,2.2,-6.9
1984/3/8,-3.0,2.2,-9.3
1984/3/9,-1.7,3.3,-5.8
1984/3/10,-3.6,-0.3,-9.1
1984/3/11,-1.6,1.0,-3.8
1984/3/12,-2.4,0.6,-6.4
1984/3/13,-2.6,1.6,-7.0
1984/3/14,-2.4,2.9,-7.5
1984/3/15,-2.3,4.8,-8.3
1984/3/16,-1.1,3.7,-7.3
1984/3/17,1.7,7.3,-0.1
1984/3/18,1.4,5.1,-1.3
1984/3/19,2.1,6.4,-0.9
1984/3/20,0.2,2.0,-1.3
1984/3/21,-0.5,3.3,-2.9
1984/3/22,-1.6,2.7,-6.1
1984/3/23,-1.3,3.9,-6.7
1984/3/24,-1.7,2.4,-8.0
1984/3/25,1.6,5.1,-0.6
1984/3/26,-0.8,2.3,-2.8
1984/3/27,0.1,5.2,-3.8
1984/3/28,-0.6,5.0,-5.8
1984/3/29,-0.2,5.5,-4.8
1984/3/30,1.1,2.8,-0.8
1984/3/31,0.7,5.0,-2.1
1984/4/1,1.0,5.9,-3.0
1984/4/2,1.3,7.8,-6.6
1984/4/3,2.3,7.8,-3.0
1984/4/4,6.4,15.8,-1.6
1984/4/5,4.1,8.9,1.8
1984/4/6,3.2,7.2,0.3
1984/4/7,2.0,7.1,-2.1
1984/4/8,2.4,9.0,-3.5
1984/4/9,3.1,9.2,-3.9
1984/4/10,5.0,8.2,0.6
1984/4/11,7.4,17.6,2.7
1984/4/12,5.1,10.9,0.4
1984/4/13,4.5,11.0,-1.5
1984/4/14,4.8,11.5,-2.1
1984/4/15,5.6,13.3,-2.3
1984/4/16,7.0,15.7,-0.8
1984/4/17,7.3,14.8,2.2
1984/4/18,6.7,10.0,4.9
1984/4/19,2.9,5.8,0.4
1984/4/20,3.8,5.6,1.2
1984/4/21,4.1,6.5,2.2
1984/4/22,7.3,12.3,3.6
1984/4/23,8.8,15.4,2.9
1984/4/24,7.0,14.3,0.4
1984/4/25,9.5,18.4,-0.7
1984/4/26,12.4,21.7,1.0
1984/4/27,14.0,22.6,5.2
1984/4/28,10.6,24.0,3.4
1984/4/29,7.7,14.2,3.2
1984/4/30,9.6,14.6,5.8
1984/5/1,10.5,13.7,8.0
