ダウンロードした時刻：2019/10/10 15:37:40

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,3.8,7.9,1.4
1983/12/2,8.9,12.4,4.0
1983/12/3,4.1,9.0,-0.1
1983/12/4,1.6,4.8,-1.1
1983/12/5,3.8,8.4,0.5
1983/12/6,2.8,7.1,-1.3
1983/12/7,2.2,8.4,-2.3
1983/12/8,3.6,9.8,-3.2
1983/12/9,3.3,9.4,-0.7
1983/12/10,6.1,11.2,1.1
1983/12/11,7.7,12.7,2.9
1983/12/12,3.2,6.2,0.0
1983/12/13,3.4,7.1,-1.9
1983/12/14,2.9,8.1,-1.6
1983/12/15,-0.5,3.8,-3.3
1983/12/16,-2.6,0.9,-6.1
1983/12/17,-2.2,1.5,-6.4
1983/12/18,-2.8,2.7,-6.5
1983/12/19,-0.4,4.1,-5.8
1983/12/20,-0.2,3.3,-3.2
1983/12/21,0.3,8.3,-5.9
1983/12/22,5.3,10.2,-2.1
1983/12/23,4.9,10.3,-1.0
1983/12/24,-0.9,4.1,-4.3
1983/12/25,-0.8,4.4,-3.9
1983/12/26,0.4,1.5,-1.2
1983/12/27,-0.4,4.2,-4.0
1983/12/28,-1.8,3.1,-6.3
1983/12/29,-0.8,4.8,-4.6
1983/12/30,-0.6,5.2,-4.6
1983/12/31,-1.0,4.6,-5.5
1984/1/1,-1.1,4.0,-6.0
1984/1/2,0.1,4.5,-2.8
1984/1/3,0.0,3.8,-2.9
1984/1/4,1.4,3.2,-0.5
1984/1/5,-0.1,3.6,-1.8
1984/1/6,-1.6,2.4,-5.2
1984/1/7,-3.4,1.2,-8.7
1984/1/8,-3.2,3.3,-10.0
1984/1/9,-0.6,4.9,-5.3
1984/1/10,0.7,4.9,-3.2
1984/1/11,-1.5,2.1,-4.6
1984/1/12,-2.6,2.0,-6.8
1984/1/13,-3.1,2.7,-9.5
1984/1/14,-0.7,5.0,-7.0
1984/1/15,0.6,3.4,-2.7
1984/1/16,-4.7,-2.3,-6.2
1984/1/17,-5.1,-2.4,-7.0
1984/1/18,-3.5,-0.6,-5.9
1984/1/19,-4.6,-1.3,-8.7
1984/1/20,-3.7,1.8,-8.8
1984/1/21,-2.9,2.8,-9.5
1984/1/22,-0.3,0.6,-2.1
1984/1/23,0.2,3.0,-1.9
1984/1/24,-1.9,1.5,-4.5
1984/1/25,-2.5,2.5,-9.0
1984/1/26,-2.3,2.1,-7.0
1984/1/27,-1.8,3.0,-5.9
1984/1/28,-3.2,1.6,-8.3
1984/1/29,-3.7,0.9,-5.9
1984/1/30,-3.1,1.9,-8.5
1984/1/31,-1.6,1.9,-5.9
1984/2/1,0.0,2.8,-1.5
1984/2/2,-0.3,2.8,-3.8
1984/2/3,-4.6,-0.5,-8.2
1984/2/4,-6.4,-3.0,-12.9
1984/2/5,-3.9,-0.5,-6.9
1984/2/6,-6.6,-2.7,-9.8
1984/2/7,-7.3,-2.8,-12.2
1984/2/8,-4.3,0.4,-9.6
1984/2/9,-3.4,0.8,-10.3
1984/2/10,-0.6,2.8,-3.1
1984/2/11,-1.4,2.9,-5.8
1984/2/12,-2.7,2.6,-9.4
1984/2/13,0.3,3.3,-2.9
1984/2/14,-0.4,4.1,-2.5
1984/2/15,-3.0,1.9,-7.3
1984/2/16,-4.8,-0.1,-10.2
1984/2/17,-4.2,-1.1,-9.8
1984/2/18,-3.9,0.8,-7.7
1984/2/19,-3.9,0.6,-9.1
1984/2/20,-3.3,2.3,-9.6
1984/2/21,-0.2,3.8,-5.1
1984/2/22,-0.2,2.6,-2.9
1984/2/23,-1.8,0.2,-5.2
1984/2/24,0.4,3.6,-2.2
1984/2/25,-0.9,3.2,-5.2
1984/2/26,-0.2,1.3,-1.4
1984/2/27,-0.9,0.7,-3.8
1984/2/28,-2.2,2.1,-6.5
1984/2/29,-3.1,0.8,-6.3
1984/3/1,-2.7,0.4,-6.4
1984/3/2,-1.3,5.6,-8.7
1984/3/3,1.2,6.3,-3.5
1984/3/4,-2.0,2.7,-6.9
1984/3/5,-1.8,3.8,-7.6
1984/3/6,-0.4,4.8,-5.0
1984/3/7,-1.0,4.5,-6.3
1984/3/8,-1.0,3.5,-3.3
1984/3/9,-0.5,4.7,-6.4
1984/3/10,-0.9,2.4,-5.8
1984/3/11,0.7,4.9,-2.8
1984/3/12,-0.7,3.1,-4.1
1984/3/13,-1.0,3.6,-4.6
1984/3/14,-2.1,2.3,-7.2
1984/3/15,-0.6,6.2,-6.0
1984/3/16,-0.6,2.8,-5.6
1984/3/17,1.6,5.0,-0.3
1984/3/18,2.7,7.7,-1.0
1984/3/19,1.6,4.2,-1.6
1984/3/20,0.3,1.6,-0.4
1984/3/21,-0.8,0.3,-2.3
1984/3/22,1.0,5.1,-2.5
1984/3/23,-0.3,3.6,-2.9
1984/3/24,0.5,4.9,-6.1
1984/3/25,4.2,7.4,1.2
1984/3/26,1.5,5.0,-1.6
1984/3/27,1.7,7.2,-4.4
1984/3/28,-0.7,5.2,-4.2
1984/3/29,0.5,9.3,-4.0
1984/3/30,2.3,5.7,-1.0
1984/3/31,0.3,2.8,-1.8
