ダウンロードした時刻：2019/10/10 16:01:52

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,,,
1991/12/2,,,
1991/12/3,,,
1991/12/4,,,
1991/12/5,,,
1991/12/6,,,
1991/12/7,,,
1991/12/8,,,
1991/12/9,,,
1991/12/10,,,
1991/12/11,,,
1991/12/12,,,
1991/12/13,,,
1991/12/14,,,
1991/12/15,,,
1991/12/16,,,
1991/12/17,,,
1991/12/18,14.6,18.1,11.4
1991/12/19,10.0,12.3,8.2
1991/12/20,7.9,9.2,6.3
1991/12/21,9.3,13.1,4.8
1991/12/22,10.9,14.3,9.1
1991/12/23,11.2,16.1,8.1
1991/12/24,13.4,17.3,9.1
1991/12/25,10.2,12.9,6.0
1991/12/26,5.4,6.7,4.7
1991/12/27,6.1,8.4,5.2
1991/12/28,8.9,12.5,5.7
1991/12/29,6.3,9.0,3.8
1991/12/30,5.1,9.4,-0.9
1991/12/31,7.2,12.1,3.3
1992/1/1,8.8,13.0,4.4
1992/1/2,8.5,12.0,5.3
1992/1/3,9.4,14.8,3.8
1992/1/4,8.9,12.1,5.4
1992/1/5,7.8,11.6,6.0
1992/1/6,8.2,9.9,5.9
1992/1/7,9.3,13.2,6.0
1992/1/8,11.0,15.0,6.8
1992/1/9,8.3,11.3,7.2
1992/1/10,8.3,11.4,5.4
1992/1/11,6.0,10.2,2.3
1992/1/12,7.6,11.8,3.1
1992/1/13,10.1,14.3,4.1
1992/1/14,9.2,13.2,5.0
1992/1/15,4.9,6.8,3.2
1992/1/16,5.7,6.9,3.6
1992/1/17,8.2,12.3,3.2
1992/1/18,6.7,8.8,5.1
1992/1/19,5.5,8.2,3.0
1992/1/20,5.3,9.2,1.5
1992/1/21,7.6,10.7,3.6
1992/1/22,10.3,13.4,7.9
1992/1/23,7.7,10.0,5.4
1992/1/24,6.6,10.1,1.5
1992/1/25,8.2,10.6,1.2
1992/1/26,8.9,10.2,5.5
1992/1/27,10.1,13.4,5.2
1992/1/28,10.1,13.2,3.4
1992/1/29,12.4,15.0,7.8
1992/1/30,9.3,11.0,6.9
1992/1/31,6.0,8.3,2.4
1992/2/1,3.8,5.6,1.9
1992/2/2,3.9,10.2,-1.2
1992/2/3,10.3,15.1,0.9
1992/2/4,12.1,16.5,6.7
1992/2/5,6.7,8.8,4.3
1992/2/6,6.5,9.3,2.9
1992/2/7,8.1,12.7,3.0
1992/2/8,6.0,9.8,2.5
1992/2/9,5.2,8.4,1.2
1992/2/10,7.1,10.3,2.6
1992/2/11,6.6,10.7,1.5
1992/2/12,9.5,12.3,5.7
1992/2/13,10.4,13.3,5.6
1992/2/14,9.6,12.8,4.4
1992/2/15,7.8,11.4,1.5
1992/2/16,8.8,13.0,5.5
1992/2/17,5.9,8.3,2.5
1992/2/18,9.0,11.6,3.5
1992/2/19,8.7,11.8,5.3
1992/2/20,6.4,9.5,4.4
1992/2/21,4.3,8.3,-0.7
1992/2/22,6.3,10.0,-0.9
1992/2/23,7.5,11.1,1.6
1992/2/24,5.2,8.0,1.1
1992/2/25,6.1,10.5,0.4
1992/2/26,4.8,10.6,0.0
1992/2/27,8.0,13.5,0.1
1992/2/28,11.9,16.0,4.7
1992/2/29,14.2,16.9,12.3
1992/3/1,15.2,17.4,12.9
1992/3/2,10.4,13.5,7.7
1992/3/3,6.2,7.8,5.3
1992/3/4,7.3,11.5,4.2
1992/3/5,7.0,9.6,5.8
1992/3/6,9.6,13.3,6.1
1992/3/7,7.4,10.5,4.7
1992/3/8,9.4,14.2,2.7
1992/3/9,10.5,14.0,4.5
1992/3/10,11.6,14.0,9.4
1992/3/11,12.5,15.0,10.1
1992/3/12,11.1,12.5,9.9
1992/3/13,13.4,17.4,9.0
1992/3/14,14.1,17.5,9.6
1992/3/15,16.3,18.3,11.9
1992/3/16,13.0,16.2,7.3
1992/3/17,5.2,8.0,4.1
1992/3/18,6.3,10.7,3.6
1992/3/19,10.3,12.0,8.7
1992/3/20,11.0,14.4,7.8
1992/3/21,6.5,11.2,2.9
1992/3/22,7.8,12.0,4.3
1992/3/23,6.2,8.8,4.9
1992/3/24,9.2,13.6,5.3
1992/3/25,11.3,14.3,8.1
1992/3/26,10.9,12.2,9.8
1992/3/27,9.1,10.7,7.0
1992/3/28,10.5,12.2,7.9
1992/3/29,10.6,11.6,9.8
1992/3/30,14.6,19.3,10.9
1992/3/31,14.5,18.6,11.2
