ダウンロードした時刻：2019/10/10 16:23:44

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,8.2,12.7,3.3
1985/12/2,7.9,12.3,2.3
1985/12/3,6.0,12.8,-0.1
1985/12/4,8.6,12.4,3.8
1985/12/5,10.1,16.7,4.5
1985/12/6,7.9,9.5,5.2
1985/12/7,11.3,15.9,5.0
1985/12/8,9.3,13.8,5.9
1985/12/9,4.0,6.7,1.9
1985/12/10,2.8,6.2,-1.5
1985/12/11,4.1,8.1,1.2
1985/12/12,4.8,7.1,3.0
1985/12/13,5.0,7.0,2.9
1985/12/14,5.5,6.8,3.6
1985/12/15,0.8,4.9,-2.2
1985/12/16,0.3,5.0,-4.1
1985/12/17,0.4,5.2,-3.8
1985/12/18,2.0,7.2,-5.0
1985/12/19,4.4,8.2,0.5
1985/12/20,2.9,8.4,-1.9
1985/12/21,5.5,12.5,-2.2
1985/12/22,6.6,9.4,4.7
1985/12/23,5.9,8.9,3.1
1985/12/24,3.4,9.3,-1.1
1985/12/25,4.5,10.8,-2.2
1985/12/26,6.3,12.9,0.9
1985/12/27,6.5,13.3,-0.4
1985/12/28,6.8,14.8,0.4
1985/12/29,8.3,11.5,2.2
1985/12/30,12.2,16.3,9.0
1985/12/31,8.6,11.6,5.2
1986/1/1,4.5,5.6,2.9
1986/1/2,2.1,5.3,-2.1
1986/1/3,3.6,9.0,-3.1
1986/1/4,4.1,7.5,0.3
1986/1/5,-0.9,1.2,-2.1
1986/1/6,1.3,5.2,-2.3
1986/1/7,2.5,4.6,0.6
1986/1/8,3.8,6.0,1.9
1986/1/9,2.9,6.5,0.1
1986/1/10,2.1,5.2,-0.2
1986/1/11,1.6,5.7,-2.4
1986/1/12,0.7,7.7,-4.6
1986/1/13,2.4,7.7,-2.6
1986/1/14,2.1,9.2,-3.9
1986/1/15,5.0,10.7,-1.2
1986/1/16,7.2,11.9,4.2
1986/1/17,5.7,12.8,-0.1
1986/1/18,6.4,9.9,4.1
1986/1/19,6.8,9.6,3.2
1986/1/20,5.2,12.0,-1.0
1986/1/21,5.9,12.1,-0.7
1986/1/22,4.5,6.9,2.5
1986/1/23,4.8,7.6,2.1
1986/1/24,4.8,9.8,0.2
1986/1/25,2.3,6.6,-2.7
1986/1/26,3.0,6.1,-0.4
1986/1/27,2.4,6.8,-1.4
1986/1/28,2.2,8.8,-2.7
1986/1/29,4.4,11.9,-2.0
1986/1/30,5.9,11.7,0.0
1986/1/31,6.9,12.8,3.3
1986/2/1,3.7,7.5,0.3
1986/2/2,3.7,10.1,-0.5
1986/2/3,2.0,9.0,-2.6
1986/2/4,1.2,6.1,-3.4
1986/2/5,2.3,7.5,-3.1
1986/2/6,2.0,6.4,-0.4
1986/2/7,2.2,6.9,-1.3
1986/2/8,2.0,5.8,-0.8
1986/2/9,3.3,8.9,-1.2
1986/2/10,3.5,9.9,-1.8
1986/2/11,3.9,9.3,0.5
1986/2/12,4.2,10.3,-1.2
1986/2/13,7.0,13.2,-1.6
1986/2/14,11.6,16.5,8.6
1986/2/15,6.1,10.7,0.7
1986/2/16,3.4,8.7,-2.0
1986/2/17,5.3,10.7,-0.7
1986/2/18,9.5,14.8,6.1
1986/2/19,7.2,12.7,2.9
1986/2/20,4.7,11.9,-0.6
1986/2/21,5.0,9.0,1.5
1986/2/22,3.7,9.6,-1.5
1986/2/23,4.8,10.8,-0.7
1986/2/24,2.2,7.5,-1.8
1986/2/25,2.8,9.8,-4.2
1986/2/26,5.1,11.2,-2.6
1986/2/27,2.7,6.3,0.8
1986/2/28,3.1,8.3,-1.9
1986/3/1,1.8,6.5,-3.2
1986/3/2,3.4,7.1,-1.0
1986/3/3,6.4,11.4,1.5
1986/3/4,6.1,12.9,-1.9
1986/3/5,9.2,18.1,-0.3
1986/3/6,8.8,17.3,0.4
1986/3/7,8.6,17.5,0.1
1986/3/8,10.1,19.8,0.2
1986/3/9,13.9,21.5,3.4
1986/3/10,12.4,15.2,9.9
1986/3/11,8.6,11.7,5.2
1986/3/12,8.1,14.8,1.5
1986/3/13,11.4,18.8,3.5
1986/3/14,13.0,15.6,10.8
1986/3/15,13.9,18.4,9.6
1986/3/16,11.3,16.3,5.2
1986/3/17,8.7,14.8,1.1
1986/3/18,11.5,14.5,7.7
1986/3/19,10.5,13.3,7.8
1986/3/20,9.7,15.0,5.3
1986/3/21,11.8,18.2,6.3
1986/3/22,8.0,10.6,5.9
1986/3/23,7.0,10.8,2.4
1986/3/24,6.7,14.1,-0.8
1986/3/25,8.3,15.6,-0.1
1986/3/26,9.7,16.3,3.3
1986/3/27,9.9,12.8,5.8
1986/3/28,11.8,13.1,10.5
1986/3/29,13.4,17.5,9.6
1986/3/30,12.3,18.3,7.7
1986/3/31,12.0,17.7,7.8
