ダウンロードした時刻：2019/10/10 15:34:52

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,3.1,7.5,-0.9
2010/12/2,6.9,12.3,-0.5
2010/12/3,12.1,14.1,8.5
2010/12/4,5.0,8.6,2.9
2010/12/5,8.7,11.6,5.4
2010/12/6,6.4,9.9,3.6
2010/12/7,2.5,4.7,0.9
2010/12/8,1.8,3.9,0.2
2010/12/9,2.0,4.9,-0.6
2010/12/10,-0.2,2.1,-3.0
2010/12/11,5.3,9.5,-0.7
2010/12/12,-1.8,0.7,-3.8
2010/12/13,2.1,5.3,-3.0
2010/12/14,2.7,5.7,-0.3
2010/12/15,-5.6,-0.3,-8.2
2010/12/16,-4.5,-1.0,-7.4
2010/12/17,-2.9,-0.8,-5.9
2010/12/18,-0.7,1.3,-3.6
2010/12/19,0.2,4.2,-6.1
2010/12/20,4.8,7.6,3.1
2010/12/21,2.6,6.2,-1.7
2010/12/22,2.8,4.7,-1.4
2010/12/23,3.8,6.3,2.1
2010/12/24,-2.2,3.4,-7.2
2010/12/25,-5.6,-4.8,-7.1
2010/12/26,-2.2,0.2,-5.5
2010/12/27,-2.0,1.6,-6.6
2010/12/28,-0.1,2.1,-2.0
2010/12/29,0.7,2.5,-1.2
2010/12/30,-0.3,2.8,-3.5
2010/12/31,1.8,2.8,0.5
2011/1/1,0.3,3.1,-2.3
2011/1/2,-1.3,1.8,-5.3
2011/1/3,-1.3,2.3,-4.9
2011/1/4,-0.3,2.4,-1.7
2011/1/5,-0.5,1.7,-2.5
2011/1/6,-5.9,-1.0,-11.3
2011/1/7,-8.4,-5.7,-12.1
2011/1/8,-5.7,-2.6,-10.1
2011/1/9,-5.5,-2.7,-9.0
2011/1/10,-7.6,-4.3,-11.4
2011/1/11,-7.5,-3.8,-11.2
2011/1/12,-5.1,-0.8,-11.3
2011/1/13,-7.5,-5.1,-9.8
2011/1/14,-7.2,-4.6,-9.4
2011/1/15,-7.0,-2.4,-11.9
2011/1/16,-3.6,0.9,-11.8
2011/1/17,-1.9,0.7,-5.4
2011/1/18,-2.6,0.5,-7.7
2011/1/19,-3.1,-0.2,-5.8
2011/1/20,-3.7,-1.5,-5.8
2011/1/21,-3.7,-0.5,-5.5
2011/1/22,-4.1,-1.4,-8.2
2011/1/23,-5.3,0.0,-9.5
2011/1/24,-4.8,-0.4,-9.5
2011/1/25,-3.0,3.4,-9.4
2011/1/26,-3.2,2.2,-7.1
2011/1/27,-3.1,1.6,-8.8
2011/1/28,-2.1,1.3,-5.8
2011/1/29,-6.3,-3.6,-10.0
2011/1/30,-6.6,-3.1,-9.5
2011/1/31,-6.0,-2.8,-10.6
2011/2/1,-5.1,-2.5,-8.7
2011/2/2,-1.2,2.8,-6.5
2011/2/3,2.4,6.8,-2.1
2011/2/4,2.1,6.2,-2.4
2011/2/5,-1.3,2.9,-7.1
2011/2/6,-1.2,3.3,-8.7
2011/2/7,-2.3,2.5,-6.7
2011/2/8,-4.0,-2.1,-6.2
2011/2/9,-3.1,1.3,-8.4
2011/2/10,-2.5,0.6,-6.0
2011/2/11,-2.6,1.2,-6.8
2011/2/12,-1.8,2.2,-7.5
2011/2/13,-2.1,1.2,-5.4
2011/2/14,-3.2,1.3,-8.6
2011/2/15,-2.2,2.3,-9.1
2011/2/16,3.7,6.3,0.5
2011/2/17,3.2,4.7,1.8
2011/2/18,1.8,5.0,-2.2
2011/2/19,-0.6,1.9,-3.9
2011/2/20,0.1,3.5,-3.2
2011/2/21,-0.5,5.2,-6.5
2011/2/22,1.5,6.3,-4.8
2011/2/23,4.2,8.2,0.9
2011/2/24,6.7,11.5,0.7
2011/2/25,0.7,7.7,-5.1
2011/2/26,-3.7,-0.7,-6.9
2011/2/27,-0.2,2.9,-2.9
2011/2/28,-0.5,2.0,-2.9
2011/3/1,1.6,4.4,-0.3
2011/3/2,-1.3,2.5,-4.1
2011/3/3,-4.5,-1.6,-6.8
2011/3/4,-3.5,1.1,-8.7
2011/3/5,-0.1,3.8,-5.8
2011/3/6,3.3,7.1,0.0
2011/3/7,-0.3,3.6,-3.8
2011/3/8,-1.8,1.8,-4.2
2011/3/9,-4.6,-2.2,-9.0
2011/3/10,-2.7,2.2,-8.9
2011/3/11,-1.2,3.1,-4.3
2011/3/12,1.4,5.3,-4.6
2011/3/13,6.8,10.0,3.6
2011/3/14,5.0,9.0,0.1
2011/3/15,0.6,3.3,-1.9
2011/3/16,-0.3,3.5,-2.7
2011/3/17,-1.2,2.8,-4.1
2011/3/18,0.3,4.5,-5.1
2011/3/19,6.0,10.8,0.6
2011/3/20,5.7,10.0,1.1
2011/3/21,3.2,6.4,0.5
2011/3/22,1.1,5.2,-1.6
2011/3/23,-0.4,4.0,-4.1
2011/3/24,-0.3,4.4,-3.1
2011/3/25,-0.1,4.3,-3.9
2011/3/26,0.3,5.0,-4.2
2011/3/27,0.3,6.1,-4.1
2011/3/28,3.0,8.5,-4.5
2011/3/29,6.3,11.1,2.2
2011/3/30,5.2,9.5,-0.6
2011/3/31,5.7,11.0,1.3
