ダウンロードした時刻：2017/07/24 15:45:12

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,10.3,15.1,5.5
2002/1/2,4.6,8.5,0.6
2002/1/3,3.8,6.6,0.4
2002/1/4,9.8,13.7,4.0
2002/1/5,9.7,12.8,4.6
2002/1/6,6.0,9.7,3.6
2002/1/7,8.0,16.3,3.8
2002/1/8,7.0,13.8,4.3
2002/1/9,6.3,8.5,4.6
2002/1/10,9.6,13.0,6.1
2002/1/11,13.5,16.4,11.0
2002/1/12,13.2,17.0,10.2
2002/1/13,13.0,17.8,8.9
2002/1/14,11.8,15.3,9.0
2002/1/15,14.7,17.6,11.7
2002/1/16,17.6,19.6,15.9
2002/1/17,12.7,16.6,7.0
2002/1/18,6.6,9.3,4.2
2002/1/19,8.0,11.3,4.9
2002/1/20,10.7,14.6,8.6
2002/1/21,13.6,17.1,8.6
2002/1/22,7.5,9.7,5.6
2002/1/23,5.5,8.2,3.3
2002/1/24,5.2,8.3,3.1
2002/1/25,6.6,11.0,3.7
2002/1/26,7.8,11.4,4.8
2002/1/27,9.8,12.5,6.2
2002/1/28,8.2,11.9,5.5
2002/1/29,4.7,7.4,2.8
2002/1/30,5.5,9.2,2.5
2002/1/31,5.7,9.8,2.8
2002/2/1,6.6,11.4,1.7
2002/2/2,6.9,10.4,4.4
2002/2/3,8.8,11.8,6.2
2002/2/4,8.7,12.2,5.4
2002/2/5,9.4,11.5,8.0
2002/2/6,10.1,15.3,6.2
2002/2/7,10.7,14.1,7.0
2002/2/8,10.5,14.3,4.6
2002/2/9,10.3,13.2,5.5
2002/2/10,5.8,9.7,3.3
2002/2/11,5.1,8.2,3.5
2002/2/12,5.8,9.2,2.6
2002/2/13,7.0,10.5,4.4
2002/2/14,7.0,11.8,4.4
2002/2/15,5.9,11.4,2.0
2002/2/16,7.7,13.0,1.9
2002/2/17,8.9,10.5,7.9
2002/2/18,8.9,12.0,3.7
2002/2/19,4.9,8.5,3.1
2002/2/20,8.4,14.4,1.6
2002/2/21,12.1,15.2,5.5
2002/2/22,14.1,17.8,9.8
2002/2/23,12.0,16.3,8.5
2002/2/24,10.4,13.6,7.2
2002/2/25,9.4,13.3,5.2
2002/2/26,11.7,15.3,9.2
2002/2/27,10.4,11.6,9.4
2002/2/28,11.3,12.5,10.5
2002/3/1,13.4,16.9,11.3
2002/3/2,12.4,15.6,8.0
2002/3/3,9.8,13.8,6.3
2002/3/4,10.5,15.8,6.5
2002/3/5,12.5,18.5,9.5
2002/3/6,15.0,18.9,8.8
2002/3/7,8.9,12.0,6.5
2002/3/8,7.8,12.3,4.2
2002/3/9,10.2,15.5,3.1
2002/3/10,14.6,16.9,10.3
2002/3/11,14.5,18.0,11.8
2002/3/12,14.8,18.7,11.3
2002/3/13,12.5,16.1,8.7
2002/3/14,14.6,19.4,8.6
2002/3/15,18.3,20.7,14.6
2002/3/16,14.3,18.1,10.4
2002/3/17,15.3,19.7,9.7
2002/3/18,14.9,20.3,10.4
2002/3/19,13.6,16.8,6.7
2002/3/20,16.0,19.8,12.1
2002/3/21,17.4,20.8,11.8
2002/3/22,13.0,16.5,10.0
2002/3/23,10.6,13.2,7.8
2002/3/24,10.5,14.6,7.0
2002/3/25,9.4,12.2,7.1
2002/3/26,13.0,17.1,9.0
2002/3/27,14.5,20.6,9.3
2002/3/28,11.5,15.6,7.2
2002/3/29,14.3,17.5,9.7
2002/3/30,16.7,20.7,13.7
2002/3/31,16.8,21.6,11.7
2002/4/1,15.9,19.7,10.4
2002/4/2,18.4,23.6,14.1
2002/4/3,18.7,22.7,14.0
2002/4/4,16.4,21.3,11.6
2002/4/5,16.4,21.6,9.6
2002/4/6,15.9,19.2,11.7
2002/4/7,15.3,17.4,14.1
2002/4/8,18.5,23.2,15.1
2002/4/9,17.4,19.6,12.0
2002/4/10,14.4,18.3,10.6
2002/4/11,12.7,15.1,10.1
2002/4/12,14.2,19.5,10.5
2002/4/13,15.2,19.9,10.3
2002/4/14,17.6,22.0,11.9
2002/4/15,19.5,22.8,17.6
2002/4/16,20.5,23.1,17.9
2002/4/17,19.6,21.4,14.6
2002/4/18,15.0,19.2,13.4
2002/4/19,15.1,18.5,11.9
2002/4/20,17.4,22.2,15.0
2002/4/21,16.6,17.4,15.4
2002/4/22,18.5,21.7,15.3
2002/4/23,17.5,20.0,15.7
2002/4/24,18.1,20.9,16.2
2002/4/25,16.8,19.2,14.6
2002/4/26,15.8,18.9,13.4
2002/4/27,15.9,18.5,14.5
2002/4/28,16.5,19.6,14.6
2002/4/29,16.4,20.1,15.0
2002/4/30,19.7,22.5,15.6
2002/5/1,19.3,20.2,17.7
