ダウンロードした時刻：2019/10/10 16:22:39

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,9.2,11.7,6.6
2012/12/2,9.0,10.8,7.0
2012/12/3,10.0,12.8,7.7
2012/12/4,8.8,12.7,3.9
2012/12/5,6.0,9.5,2.1
2012/12/6,,,
2012/12/7,5.8,10.5,1.0
2012/12/8,8.0,11.8,5.1
2012/12/9,4.7,6.7,2.6
2012/12/10,5.0,8.7,1.4
2012/12/11,4.7,9.3,1.1
2012/12/12,5.5,10.7,1.3
2012/12/13,5.5,11.8,-0.1
2012/12/14,8.7,13.7,2.2
2012/12/15,13.2,18.4,10.5
2012/12/16,11.7,13.7,8.1
2012/12/17,10.9,15.2,6.6
2012/12/18,7.6,12.6,5.0
2012/12/19,6.2,10.0,1.8
2012/12/20,5.2,11.5,-0.6
2012/12/21,6.4,12.0,1.1
2012/12/22,10.8,12.0,8.7
2012/12/23,5.6,10.5,2.1
2012/12/24,1.8,4.1,-1.0
2012/12/25,5.2,9.7,-1.2
2012/12/26,5.9,9.2,1.1
2012/12/27,4.1,9.0,-0.4
2012/12/28,7.9,12.6,4.0
2012/12/29,11.1,14.2,6.7
2012/12/30,7.8,10.4,3.9
2012/12/31,3.1,6.5,0.6
2013/1/1,4.2,8.8,-0.5
2013/1/2,6.3,12.4,2.2
2013/1/3,2.9,6.0,1.4
2013/1/4,3.2,7.1,-0.4
2013/1/5,2.9,8.6,-1.3
2013/1/6,3.8,9.3,-1.2
2013/1/7,5.0,10.6,-0.2
2013/1/8,7.1,11.0,3.6
2013/1/9,6.3,9.1,3.8
2013/1/10,4.4,7.5,0.8
2013/1/11,3.4,8.9,-0.7
2013/1/12,5.9,12.7,1.3
2013/1/13,5.0,8.0,1.6
2013/1/14,7.8,12.3,4.2
2013/1/15,6.0,8.9,1.2
2013/1/16,5.0,10.4,-0.8
2013/1/17,5.5,7.8,3.2
2013/1/18,3.7,6.7,0.8
2013/1/19,4.6,10.7,-1.6
2013/1/20,4.6,10.0,0.1
2013/1/21,6.6,9.7,2.7
2013/1/22,10.2,14.0,8.2
2013/1/23,7.3,9.3,3.3
2013/1/24,7.5,13.5,1.0
2013/1/25,6.0,10.1,3.2
2013/1/26,4.2,8.2,2.0
2013/1/27,3.3,7.8,-0.2
2013/1/28,4.6,9.4,0.6
2013/1/29,4.6,11.5,-1.6
2013/1/30,6.8,13.2,1.0
2013/1/31,7.0,12.1,1.8
2013/2/1,8.4,12.3,4.1
2013/2/2,12.5,18.0,9.1
2013/2/3,8.8,13.1,3.7
2013/2/4,11.7,19.3,8.2
2013/2/5,8.4,10.4,6.8
2013/2/6,9.3,13.0,7.2
2013/2/7,7.5,12.4,3.5
2013/2/8,1.5,4.0,-0.8
2013/2/9,3.4,7.9,-0.2
2013/2/10,4.7,11.1,-1.5
2013/2/11,6.1,10.2,0.8
2013/2/12,4.3,8.6,-0.2
2013/2/13,6.0,9.3,2.5
2013/2/14,5.7,9.8,0.6
2013/2/15,7.2,11.0,4.7
2013/2/16,6.6,10.8,2.9
2013/2/17,5.4,9.1,-0.2
2013/2/18,9.8,13.5,7.3
2013/2/19,6.4,8.0,5.7
2013/2/20,5.9,10.3,1.6
2013/2/21,4.1,9.3,-1.1
2013/2/22,6.6,11.7,0.5
2013/2/23,8.4,13.9,5.1
2013/2/24,7.6,12.1,3.7
2013/2/25,6.4,11.5,1.0
2013/2/26,7.3,9.7,4.4
2013/2/27,10.5,15.8,6.4
2013/2/28,9.0,15.5,3.4
2013/3/1,12.7,19.8,6.0
2013/3/2,7.7,10.4,5.2
2013/3/3,6.2,10.6,1.2
2013/3/4,8.1,14.1,1.4
2013/3/5,8.7,14.1,3.4
2013/3/6,8.9,16.1,1.9
2013/3/7,12.2,20.5,3.9
2013/3/8,17.7,23.6,12.8
2013/3/9,16.9,23.3,10.1
2013/3/10,16.2,24.2,8.3
2013/3/11,7.9,11.4,4.4
2013/3/12,10.1,16.5,2.0
2013/3/13,15.5,22.3,9.9
2013/3/14,7.5,10.4,4.0
2013/3/15,6.6,12.6,0.9
2013/3/16,10.5,18.0,2.5
2013/3/17,11.6,16.7,5.7
2013/3/18,16.8,21.2,12.3
2013/3/19,14.7,18.8,10.1
2013/3/20,13.6,17.2,9.8
2013/3/21,9.5,13.1,6.1
2013/3/22,8.3,13.2,3.1
2013/3/23,11.3,15.9,6.0
2013/3/24,12.1,15.2,9.6
2013/3/25,11.9,15.5,8.9
2013/3/26,8.9,11.5,4.3
2013/3/27,9.1,10.3,7.2
2013/3/28,13.3,18.0,10.0
2013/3/29,13.5,17.3,10.4
2013/3/30,11.8,16.0,6.7
2013/3/31,12.3,16.7,9.7
