ダウンロードした時刻：2019/10/10 16:18:17

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,13.7,17.2,10.4
1991/12/2,12.2,15.8,8.1
1991/12/3,10.7,16.0,6.1
1991/12/4,11.5,16.6,7.6
1991/12/5,11.0,15.7,5.0
1991/12/6,13.9,17.7,10.5
1991/12/7,13.3,18.8,10.0
1991/12/8,12.4,17.1,9.2
1991/12/9,10.0,13.0,7.1
1991/12/10,9.6,13.6,6.4
1991/12/11,11.1,18.7,6.1
1991/12/12,6.1,9.0,3.0
1991/12/13,5.7,9.8,2.9
1991/12/14,6.8,12.7,2.1
1991/12/15,6.9,10.0,3.2
1991/12/16,10.1,14.5,4.3
1991/12/17,13.5,16.2,9.8
1991/12/18,12.0,14.1,8.7
1991/12/19,9.0,11.3,7.1
1991/12/20,8.2,11.8,4.3
1991/12/21,7.9,14.1,2.2
1991/12/22,11.0,15.9,5.7
1991/12/23,14.2,17.4,11.1
1991/12/24,14.2,17.1,11.8
1991/12/25,10.2,13.1,8.2
1991/12/26,9.3,11.7,7.5
1991/12/27,7.6,8.8,6.5
1991/12/28,6.7,9.4,3.0
1991/12/29,4.2,6.8,2.8
1991/12/30,5.8,9.1,3.4
1991/12/31,6.0,10.6,0.5
1992/1/1,7.9,11.7,5.0
1992/1/2,8.3,13.2,5.5
1992/1/3,9.4,13.3,6.2
1992/1/4,8.5,11.6,6.2
1992/1/5,7.6,10.6,3.5
1992/1/6,8.4,12.2,6.6
1992/1/7,11.1,14.5,8.1
1992/1/8,10.4,13.3,7.4
1992/1/9,8.8,10.6,7.2
1992/1/10,7.9,10.1,4.7
1992/1/11,6.3,10.8,3.3
1992/1/12,7.0,13.4,2.1
1992/1/13,7.9,13.1,2.8
1992/1/14,6.4,9.1,3.2
1992/1/15,4.2,7.3,2.0
1992/1/16,4.7,9.1,0.1
1992/1/17,6.6,10.9,2.2
1992/1/18,4.9,7.3,3.2
1992/1/19,5.8,8.5,3.9
1992/1/20,5.1,9.1,1.7
1992/1/21,4.8,8.0,1.6
1992/1/22,7.2,12.9,1.7
1992/1/23,6.2,9.6,4.3
1992/1/24,5.6,10.6,1.2
1992/1/25,6.1,11.1,0.9
1992/1/26,8.0,13.4,3.8
1992/1/27,9.8,15.4,4.5
1992/1/28,8.2,13.3,3.6
1992/1/29,9.7,14.9,3.9
1992/1/30,8.9,10.8,7.9
1992/1/31,7.0,10.3,3.9
1992/2/1,4.4,6.7,2.6
1992/2/2,4.6,8.6,1.6
1992/2/3,8.2,13.4,3.9
1992/2/4,9.7,12.8,6.2
1992/2/5,6.4,9.4,3.9
1992/2/6,5.4,10.4,0.7
1992/2/7,7.5,10.4,3.1
1992/2/8,6.1,9.5,3.6
1992/2/9,5.1,10.2,2.1
1992/2/10,6.2,11.9,1.1
1992/2/11,6.1,9.3,3.5
1992/2/12,5.3,9.0,1.0
1992/2/13,8.3,12.8,3.9
1992/2/14,7.2,10.3,4.5
1992/2/15,6.3,9.6,2.8
1992/2/16,6.5,9.8,3.6
1992/2/17,5.1,9.4,1.8
1992/2/18,8.0,12.9,2.3
1992/2/19,8.3,10.9,6.6
1992/2/20,6.2,8.4,3.7
1992/2/21,4.0,7.5,1.2
1992/2/22,4.7,8.4,1.5
1992/2/23,6.0,10.6,1.5
1992/2/24,5.0,8.4,2.1
1992/2/25,6.0,8.9,3.8
1992/2/26,5.7,10.5,2.0
1992/2/27,7.5,14.5,0.4
1992/2/28,9.3,13.0,3.2
1992/2/29,12.6,16.8,9.2
1992/3/1,13.9,17.4,10.5
1992/3/2,8.5,11.2,6.4
1992/3/3,6.6,10.4,3.7
1992/3/4,7.7,11.2,3.7
1992/3/5,9.0,10.8,6.6
1992/3/6,8.8,12.0,5.4
1992/3/7,7.0,11.0,3.8
1992/3/8,7.1,12.0,1.0
1992/3/9,9.4,13.5,4.5
1992/3/10,12.5,16.7,9.4
1992/3/11,10.9,15.3,6.9
1992/3/12,11.0,16.0,5.7
1992/3/13,11.8,16.3,7.3
1992/3/14,13.5,18.2,7.3
1992/3/15,13.4,14.9,12.2
1992/3/16,10.5,13.1,7.8
1992/3/17,7.2,9.4,4.7
1992/3/18,8.2,9.8,6.3
1992/3/19,9.6,11.3,7.6
1992/3/20,9.3,11.9,7.2
1992/3/21,8.0,10.6,6.1
1992/3/22,7.9,12.1,4.5
1992/3/23,9.6,13.0,5.5
1992/3/24,11.4,13.2,9.7
1992/3/25,12.9,17.0,10.1
1992/3/26,10.6,12.1,9.4
1992/3/27,8.3,10.0,7.4
1992/3/28,10.2,11.8,8.4
1992/3/29,12.1,13.5,10.6
1992/3/30,14.7,18.9,11.0
1992/3/31,13.3,17.0,8.2
