ダウンロードした時刻：2017/07/24 15:45:38

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,6.8,10.9,3.3
1992/1/2,6.1,12.1,2.1
1992/1/3,8.7,12.1,4.1
1992/1/4,7.9,11.9,3.1
1992/1/5,5.9,10.0,0.5
1992/1/6,7.6,9.5,5.7
1992/1/7,11.5,16.2,8.1
1992/1/8,9.7,12.4,4.7
1992/1/9,8.8,11.0,7.7
1992/1/10,7.4,10.5,1.9
1992/1/11,4.5,9.9,-0.1
1992/1/12,6.2,13.6,0.0
1992/1/13,7.0,13.0,1.1
1992/1/14,6.1,8.0,2.7
1992/1/15,3.5,6.9,0.8
1992/1/16,3.6,9.1,-1.9
1992/1/17,6.2,10.1,0.3
1992/1/18,4.6,7.2,3.3
1992/1/19,5.3,7.9,3.5
1992/1/20,3.8,8.2,-0.6
1992/1/21,4.0,8.1,-0.3
1992/1/22,6.4,11.8,1.1
1992/1/23,6.1,8.8,3.1
1992/1/24,5.8,9.9,0.3
1992/1/25,6.9,11.7,1.3
1992/1/26,7.7,12.3,3.6
1992/1/27,8.6,13.6,3.1
1992/1/28,8.2,14.4,2.0
1992/1/29,12.1,16.1,4.5
1992/1/30,8.0,10.3,6.3
1992/1/31,6.5,9.3,3.6
1992/2/1,4.2,6.8,2.0
1992/2/2,3.9,8.2,0.8
1992/2/3,6.0,8.4,3.5
1992/2/4,9.1,12.8,4.5
1992/2/5,5.2,9.4,1.9
1992/2/6,4.7,9.6,-0.3
1992/2/7,7.6,10.2,3.9
1992/2/8,5.7,8.9,2.7
1992/2/9,4.2,9.4,0.2
1992/2/10,5.3,10.9,-0.9
1992/2/11,5.2,9.3,1.3
1992/2/12,4.3,9.0,-1.1
1992/2/13,7.3,13.3,2.0
1992/2/14,6.6,9.7,3.3
1992/2/15,6.3,9.6,2.4
1992/2/16,6.9,10.5,3.1
1992/2/17,4.2,8.9,-0.4
1992/2/18,7.0,12.1,0.8
1992/2/19,7.9,11.3,5.7
1992/2/20,6.0,8.7,3.6
1992/2/21,4.5,8.7,2.7
1992/2/22,5.0,8.8,1.6
1992/2/23,5.4,12.1,-0.7
1992/2/24,5.2,9.8,1.6
1992/2/25,6.0,9.8,3.4
1992/2/26,4.9,11.3,-0.7
1992/2/27,8.2,17.0,-0.6
1992/2/28,7.8,11.6,2.1
1992/2/29,11.4,15.0,7.4
1992/3/1,14.2,19.3,10.8
1992/3/2,8.4,10.8,6.0
1992/3/3,6.4,10.7,3.3
1992/3/4,6.3,9.4,0.5
1992/3/5,8.7,11.2,6.0
1992/3/6,8.2,12.0,4.8
1992/3/7,6.4,11.3,2.1
1992/3/8,6.2,11.4,-0.4
1992/3/9,8.3,12.5,3.3
1992/3/10,12.0,16.8,8.5
1992/3/11,9.9,15.4,4.3
1992/3/12,10.2,16.7,3.4
1992/3/13,10.2,16.2,3.8
1992/3/14,11.3,16.6,4.8
1992/3/15,11.7,13.2,10.3
1992/3/16,10.1,12.4,7.8
1992/3/17,6.8,9.0,4.3
1992/3/18,7.4,8.8,5.8
1992/3/19,8.9,11.7,4.2
1992/3/20,8.3,11.4,6.3
1992/3/21,8.0,11.4,6.0
1992/3/22,7.2,11.9,2.5
1992/3/23,9.0,11.8,6.0
1992/3/24,11.0,12.8,9.7
1992/3/25,13.1,17.9,10.2
1992/3/26,10.1,11.8,9.2
1992/3/27,8.4,10.3,7.4
1992/3/28,9.7,11.0,8.2
1992/3/29,11.8,12.8,10.6
1992/3/30,14.3,19.0,9.0
1992/3/31,11.5,16.9,5.5
1992/4/1,13.6,16.1,10.8
1992/4/2,15.9,20.6,12.3
1992/4/3,14.2,18.8,9.3
1992/4/4,12.5,13.4,10.2
1992/4/5,14.2,18.5,10.9
1992/4/6,14.1,19.6,7.9
1992/4/7,13.9,18.4,9.8
1992/4/8,13.5,18.5,7.9
1992/4/9,15.8,22.4,9.7
1992/4/10,15.9,18.0,14.2
1992/4/11,14.0,17.2,10.3
1992/4/12,9.8,15.5,6.5
1992/4/13,10.3,14.9,7.4
1992/4/14,10.0,15.0,3.3
1992/4/15,13.2,23.2,6.1
1992/4/16,12.2,16.3,8.0
1992/4/17,11.1,18.0,4.8
1992/4/18,13.7,19.7,6.1
1992/4/19,14.1,19.2,9.5
1992/4/20,16.0,24.4,6.7
1992/4/21,16.6,26.0,8.9
1992/4/22,16.7,21.2,12.8
1992/4/23,17.4,25.1,9.7
1992/4/24,15.3,19.8,10.4
1992/4/25,17.2,22.8,12.0
1992/4/26,15.5,21.1,9.8
1992/4/27,17.1,23.8,9.4
1992/4/28,20.6,27.2,13.5
1992/4/29,19.1,23.1,14.8
1992/4/30,14.3,17.5,12.1
1992/5/1,14.8,20.0,10.1
