ダウンロードした時刻：2019/10/10 15:36:56

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,-0.4,1.8,-4.4
1987/12/2,0.2,4.0,-4.1
1987/12/3,-1.4,1.2,-6.1
1987/12/4,-2.4,0.0,-4.1
1987/12/5,-2.4,0.4,-4.9
1987/12/6,-3.3,0.6,-7.2
1987/12/7,-4.4,3.9,-11.0
1987/12/8,-2.9,3.5,-9.7
1987/12/9,1.0,5.8,-4.6
1987/12/10,4.8,9.4,1.4
1987/12/11,4.9,8.4,2.4
1987/12/12,0.3,4.7,-3.3
1987/12/13,-1.3,2.4,-5.1
1987/12/14,-0.8,3.5,-5.8
1987/12/15,0.7,3.6,-1.8
1987/12/16,2.1,5.3,-0.2
1987/12/17,-3.8,-0.2,-7.1
1987/12/18,-2.7,1.2,-5.9
1987/12/19,-1.2,3.4,-6.9
1987/12/20,1.4,5.5,-2.2
1987/12/21,-2.1,2.0,-6.7
1987/12/22,0.9,3.4,-1.3
1987/12/23,1.5,5.8,-0.9
1987/12/24,3.9,8.5,-1.4
1987/12/25,7.9,10.6,4.8
1987/12/26,6.6,10.5,3.5
1987/12/27,9.7,14.0,3.3
1987/12/28,10.5,14.2,5.2
1987/12/29,9.5,12.9,4.0
1987/12/30,1.3,8.2,-5.3
1987/12/31,-3.9,-1.8,-6.3
1988/1/1,-1.6,2.5,-8.0
1988/1/2,2.0,5.0,-1.4
1988/1/3,-1.2,2.4,-5.3
1988/1/4,-1.0,0.6,-4.0
1988/1/5,-2.5,0.3,-4.3
1988/1/6,-2.4,1.9,-5.7
1988/1/7,-1.0,2.6,-6.4
1988/1/8,1.8,5.8,-0.2
1988/1/9,-1.7,1.0,-5.2
1988/1/10,-4.6,-1.8,-6.9
1988/1/11,-3.2,-0.8,-6.9
1988/1/12,1.2,4.3,-2.5
1988/1/13,0.9,4.6,-2.9
1988/1/14,5.1,7.6,2.2
1988/1/15,4.2,8.3,0.6
1988/1/16,-0.1,3.2,-2.0
1988/1/17,-0.6,1.7,-2.5
1988/1/18,-3.4,-1.4,-5.9
1988/1/19,-1.1,2.6,-5.9
1988/1/20,0.2,5.5,-7.5
1988/1/21,4.6,7.3,-0.2
1988/1/22,8.4,13.2,5.0
1988/1/23,1.9,7.7,-3.0
1988/1/24,-4.2,-2.1,-5.8
1988/1/25,-3.9,-1.7,-6.1
1988/1/26,-4.0,-1.2,-5.2
1988/1/27,-3.8,1.0,-7.8
1988/1/28,-4.3,-0.5,-7.0
1988/1/29,-3.7,-1.8,-6.0
1988/1/30,-3.6,-1.0,-6.8
1988/1/31,-3.2,-0.1,-6.4
1988/2/1,-4.2,1.1,-7.8
1988/2/2,-2.9,1.7,-8.1
1988/2/3,-7.7,-4.8,-9.0
1988/2/4,-5.0,-0.6,-9.6
1988/2/5,-3.5,-0.1,-9.1
1988/2/6,-0.3,3.0,-3.6
1988/2/7,-5.6,-3.0,-8.7
1988/2/8,-4.6,1.2,-11.9
1988/2/9,-4.0,1.0,-9.3
1988/2/10,-5.5,-0.1,-12.4
1988/2/11,-3.9,-0.3,-7.5
1988/2/12,-3.7,0.7,-9.6
1988/2/13,-2.4,1.5,-6.3
1988/2/14,-5.6,-1.9,-9.9
1988/2/15,-7.3,-0.5,-13.1
1988/2/16,-7.8,-1.3,-13.1
1988/2/17,-7.6,-2.6,-14.4
1988/2/18,-6.5,-0.3,-11.2
1988/2/19,-5.9,-1.3,-12.0
1988/2/20,-3.2,2.0,-7.1
1988/2/21,-5.4,-1.4,-9.9
1988/2/22,-4.3,0.7,-13.4
1988/2/23,-1.6,2.4,-5.8
1988/2/24,-2.6,2.4,-7.6
1988/2/25,-3.3,2.8,-7.9
1988/2/26,-2.6,2.9,-9.4
1988/2/27,-2.1,2.3,-6.8
1988/2/28,-2.8,0.6,-5.6
1988/2/29,-0.8,2.7,-3.9
1988/3/1,0.8,4.5,-2.0
1988/3/2,0.7,2.1,-0.1
1988/3/3,-0.9,3.1,-4.4
1988/3/4,-0.9,3.3,-3.5
1988/3/5,-1.9,2.7,-5.7
1988/3/6,-3.8,0.8,-8.3
1988/3/7,-2.7,0.5,-6.1
1988/3/8,-2.1,1.6,-6.4
1988/3/9,-4.2,0.9,-7.5
1988/3/10,-1.9,4.9,-8.5
1988/3/11,3.8,11.7,-3.5
1988/3/12,3.5,8.4,1.0
1988/3/13,5.4,9.8,1.7
1988/3/14,6.8,13.4,0.7
1988/3/15,0.3,5.7,-6.4
1988/3/16,-1.5,2.1,-6.9
1988/3/17,2.5,8.1,-1.7
1988/3/18,2.7,6.7,-1.0
1988/3/19,3.1,7.6,-1.1
1988/3/20,1.8,6.6,-1.5
1988/3/21,2.3,8.6,-3.6
1988/3/22,1.8,2.8,0.5
1988/3/23,4.9,9.6,2.3
1988/3/24,1.0,4.1,-0.6
1988/3/25,3.4,9.1,-0.9
1988/3/26,3.6,9.9,-3.7
1988/3/27,3.4,9.8,-1.9
1988/3/28,3.4,9.0,-3.2
1988/3/29,4.9,12.2,-0.8
1988/3/30,3.9,11.8,-0.4
1988/3/31,2.7,6.4,0.1
