ダウンロードした時刻：2019/10/10 16:20:03

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,11.6,14.3,8.4
1997/12/2,4.0,8.4,1.8
1997/12/3,1.8,5.3,-0.4
1997/12/4,4.6,11.3,-0.8
1997/12/5,8.1,13.8,3.8
1997/12/6,14.6,17.8,8.4
1997/12/7,15.4,18.2,12.9
1997/12/8,9.9,12.9,5.9
1997/12/9,5.8,7.8,4.3
1997/12/10,3.2,4.4,2.0
1997/12/11,5.5,8.8,2.2
1997/12/12,4.3,5.9,1.2
1997/12/13,5.9,8.7,2.2
1997/12/14,8.8,12.0,6.0
1997/12/15,10.3,13.3,5.9
1997/12/16,9.8,14.2,5.6
1997/12/17,11.7,14.4,9.1
1997/12/18,10.7,13.1,7.9
1997/12/19,13.4,16.6,8.5
1997/12/20,13.6,15.6,9.9
1997/12/21,12.0,15.8,8.1
1997/12/22,10.8,11.9,10.2
1997/12/23,10.5,12.2,8.5
1997/12/24,9.3,11.8,7.8
1997/12/25,10.5,12.4,8.1
1997/12/26,11.1,15.8,7.3
1997/12/27,11.0,15.8,6.2
1997/12/28,8.3,12.9,4.7
1997/12/29,8.0,12.5,3.4
1997/12/30,9.0,10.9,7.1
1997/12/31,7.8,12.4,2.4
1998/1/1,7.7,10.6,5.1
1998/1/2,6.6,12.9,3.4
1998/1/3,9.3,14.6,2.6
1998/1/4,6.7,11.3,1.5
1998/1/5,5.3,7.8,1.2
1998/1/6,6.7,8.0,4.1
1998/1/7,6.6,10.1,2.4
1998/1/8,9.3,10.8,8.0
1998/1/9,8.1,10.9,5.1
1998/1/10,10.0,12.0,5.5
1998/1/11,9.5,12.3,6.8
1998/1/12,7.1,9.7,4.9
1998/1/13,7.9,10.6,3.8
1998/1/14,10.1,10.7,9.2
1998/1/15,8.4,10.6,6.3
1998/1/16,7.6,10.3,5.8
1998/1/17,9.3,11.2,7.0
1998/1/18,7.0,9.2,1.7
1998/1/19,0.5,1.8,-0.9
1998/1/20,3.6,5.8,0.4
1998/1/21,4.1,6.3,1.1
1998/1/22,3.7,6.4,-0.2
1998/1/23,4.3,6.2,1.9
1998/1/24,-1.1,2.2,-3.1
1998/1/25,1.3,4.6,-2.8
1998/1/26,3.8,5.7,2.6
1998/1/27,3.8,7.0,0.3
1998/1/28,3.9,5.9,1.7
1998/1/29,2.8,7.4,-0.8
1998/1/30,4.8,7.1,-0.5
1998/1/31,6.0,10.7,1.6
1998/2/1,5.8,11.3,1.4
1998/2/2,6.1,12.1,1.9
1998/2/3,6.5,10.5,2.1
1998/2/4,5.7,7.9,4.2
1998/2/5,4.3,8.5,0.1
1998/2/6,4.7,10.2,-0.7
1998/2/7,7.7,10.3,3.8
1998/2/8,3.4,7.0,1.3
1998/2/9,5.9,13.9,-1.3
1998/2/10,5.4,10.5,0.3
1998/2/11,7.8,14.3,-0.2
1998/2/12,15.8,19.5,12.0
1998/2/13,14.6,17.9,10.2
1998/2/14,11.1,17.5,7.7
1998/2/15,8.3,10.4,5.0
1998/2/16,7.7,11.6,4.4
1998/2/17,8.1,11.4,4.6
1998/2/18,9.2,10.7,7.4
1998/2/19,12.1,14.1,6.8
1998/2/20,13.6,16.4,10.9
1998/2/21,9.7,10.9,8.8
1998/2/22,9.2,10.0,8.7
1998/2/23,10.3,11.4,9.4
1998/2/24,10.3,11.6,9.3
1998/2/25,9.3,11.0,8.2
1998/2/26,8.2,12.9,4.3
1998/2/27,10.6,15.2,5.4
1998/2/28,8.5,10.1,7.3
1998/3/1,7.3,11.0,3.2
1998/3/2,8.1,14.6,2.8
1998/3/3,9.8,15.1,4.7
1998/3/4,12.0,13.9,9.5
1998/3/5,10.7,13.6,5.4
1998/3/6,11.7,16.8,4.9
1998/3/7,9.8,12.6,8.4
1998/3/8,9.2,11.0,8.0
1998/3/9,11.4,14.7,8.4
1998/3/10,9.7,10.8,8.3
1998/3/11,9.9,11.1,9.0
1998/3/12,9.7,12.1,8.1
1998/3/13,11.9,14.5,8.8
1998/3/14,12.2,15.2,6.7
1998/3/15,5.6,8.7,2.8
1998/3/16,7.9,13.0,3.8
1998/3/17,9.7,14.7,4.0
1998/3/18,11.5,14.6,8.7
1998/3/19,14.9,16.5,8.4
1998/3/20,6.7,12.5,5.5
1998/3/21,6.7,9.7,3.8
1998/3/22,5.8,8.7,2.7
1998/3/23,8.3,11.1,3.4
1998/3/24,10.8,14.4,7.9
1998/3/25,11.6,15.4,7.5
1998/3/26,10.8,14.5,7.0
1998/3/27,13.1,16.8,10.6
1998/3/28,12.8,18.0,8.8
1998/3/29,14.5,20.7,9.7
1998/3/30,16.3,22.9,9.4
1998/3/31,15.7,18.8,13.7
