ダウンロードした時刻：2019/10/10 15:49:32

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,2.4,11.5,-5.5
1986/12/2,3.0,7.9,-1.7
1986/12/3,5.9,13.3,-4.4
1986/12/4,6.1,10.6,1.5
1986/12/5,2.7,8.9,-1.4
1986/12/6,3.3,10.7,-4.5
1986/12/7,6.5,12.6,-0.4
1986/12/8,1.9,8.3,-1.5
1986/12/9,0.7,10.0,-5.7
1986/12/10,6.2,15.5,-6.3
1986/12/11,4.4,11.5,-1.2
1986/12/12,0.5,8.4,-5.1
1986/12/13,4.6,12.5,-2.3
1986/12/14,6.8,11.8,0.6
1986/12/15,3.8,6.9,1.2
1986/12/16,1.3,6.0,-2.3
1986/12/17,0.3,6.5,-4.5
1986/12/18,5.0,11.7,-4.2
1986/12/19,7.2,11.2,3.4
1986/12/20,0.7,4.6,-3.2
1986/12/21,3.2,10.2,-4.1
1986/12/22,-0.4,3.4,-5.3
1986/12/23,-2.3,3.6,-7.8
1986/12/24,2.8,12.6,-4.2
1986/12/25,1.8,7.8,-2.8
1986/12/26,1.8,7.6,-2.0
1986/12/27,-0.5,3.5,-2.9
1986/12/28,-1.0,3.9,-4.8
1986/12/29,-3.3,2.4,-8.1
1986/12/30,-2.7,4.5,-9.5
1986/12/31,5.5,9.2,-2.9
1987/1/1,1.4,8.2,-2.2
1987/1/2,1.5,7.1,-2.8
1987/1/3,7.6,16.1,1.3
1987/1/4,0.6,6.7,-2.9
1987/1/5,-1.8,0.0,-2.9
1987/1/6,-1.0,2.6,-4.8
1987/1/7,0.0,5.1,-6.4
1987/1/8,5.5,10.2,2.5
1987/1/9,3.0,9.0,-1.0
1987/1/10,-2.0,3.6,-6.0
1987/1/11,-4.8,0.9,-9.2
1987/1/12,-2.4,3.1,-8.8
1987/1/13,-0.7,3.3,-3.4
1987/1/14,-1.6,2.9,-5.3
1987/1/15,-1.9,4.4,-8.5
1987/1/16,1.6,6.5,-5.7
1987/1/17,5.2,8.7,1.2
1987/1/18,0.2,4.1,-3.2
1987/1/19,-0.6,4.1,-4.6
1987/1/20,-4.6,0.1,-7.6
1987/1/21,-4.7,2.2,-10.4
1987/1/22,-3.0,5.2,-10.0
1987/1/23,6.5,9.4,-4.4
1987/1/24,2.9,10.0,-2.0
1987/1/25,-3.0,0.2,-6.0
1987/1/26,-2.8,2.6,-8.2
1987/1/27,-1.6,5.8,-7.3
1987/1/28,0.2,7.9,-5.2
1987/1/29,3.4,13.1,-6.7
1987/1/30,4.3,10.5,-1.8
1987/1/31,-1.8,4.7,-4.9
1987/2/1,-4.0,2.1,-7.6
1987/2/2,-3.3,3.5,-9.1
1987/2/3,-1.6,2.4,-3.9
1987/2/4,-3.8,1.3,-9.1
1987/2/5,-5.0,3.0,-12.2
1987/2/6,-1.6,4.3,-8.7
1987/2/7,0.2,9.7,-7.4
1987/2/8,0.2,6.9,-5.2
1987/2/9,4.0,12.4,-6.1
1987/2/10,6.4,15.9,-3.6
1987/2/11,14.7,19.4,9.8
1987/2/12,4.9,14.2,-0.1
1987/2/13,0.1,3.2,-2.3
1987/2/14,4.1,11.2,-1.5
1987/2/15,-0.5,5.4,-4.2
1987/2/16,-0.9,7.3,-5.9
1987/2/17,-2.4,0.4,-6.1
1987/2/18,0.0,2.8,-1.9
1987/2/19,-1.7,1.8,-4.1
1987/2/20,-2.2,3.9,-6.7
1987/2/21,-1.8,4.5,-8.5
1987/2/22,-0.5,4.3,-5.0
1987/2/23,3.4,11.2,-1.6
1987/2/24,5.0,12.0,-2.3
1987/2/25,-0.5,5.5,-3.9
1987/2/26,-2.5,1.1,-3.9
1987/2/27,-1.7,3.0,-4.7
1987/2/28,-1.4,4.5,-7.7
1987/3/1,-2.3,2.2,-7.0
1987/3/2,-3.4,1.6,-8.3
1987/3/3,0.2,7.9,-9.2
1987/3/4,6.1,12.9,-3.8
1987/3/5,9.3,14.6,6.2
1987/3/6,5.3,11.9,-1.4
1987/3/7,-2.2,-0.5,-3.4
1987/3/8,0.0,3.9,-2.8
1987/3/9,1.5,9.6,-1.7
1987/3/10,-0.2,4.6,-4.6
1987/3/11,0.1,3.3,-2.0
1987/3/12,2.6,9.2,-2.1
1987/3/13,4.9,8.4,-1.4
1987/3/14,7.5,17.7,2.9
1987/3/15,2.4,7.2,-0.5
1987/3/16,2.8,10.1,-2.4
1987/3/17,1.0,6.1,-2.8
1987/3/18,3.5,10.1,0.5
1987/3/19,6.4,15.5,-1.1
1987/3/20,6.9,13.9,1.4
1987/3/21,8.5,19.5,-1.3
1987/3/22,10.2,20.0,1.1
1987/3/23,10.3,12.5,8.3
1987/3/24,12.2,17.3,9.1
1987/3/25,6.2,12.4,-0.8
1987/3/26,1.1,7.3,-4.0
1987/3/27,3.0,12.7,-4.7
1987/3/28,4.4,12.0,-2.4
1987/3/29,6.3,13.8,0.5
1987/3/30,11.1,20.4,-0.6
1987/3/31,2.7,13.9,-4.3
