ダウンロードした時刻：2017/07/24 15:40:39

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,10.8,13.4,7.7
1991/1/2,9.7,11.0,8.1
1991/1/3,6.0,8.8,3.1
1991/1/4,3.8,6.2,2.3
1991/1/5,3.3,6.6,-0.1
1991/1/6,2.5,4.8,0.2
1991/1/7,3.1,4.8,0.6
1991/1/8,4.0,6.7,1.9
1991/1/9,4.2,6.8,1.2
1991/1/10,5.7,8.6,4.2
1991/1/11,5.7,8.1,2.9
1991/1/12,4.6,9.9,0.2
1991/1/13,3.7,5.3,2.0
1991/1/14,1.6,3.9,0.3
1991/1/15,1.3,2.4,0.4
1991/1/16,2.2,4.9,0.6
1991/1/17,5.0,8.4,2.0
1991/1/18,3.7,5.9,2.0
1991/1/19,4.5,9.3,0.9
1991/1/20,6.4,11.9,1.1
1991/1/21,6.6,8.5,2.9
1991/1/22,6.2,7.9,4.1
1991/1/23,2.2,4.3,-0.1
1991/1/24,3.9,8.1,-1.6
1991/1/25,6.3,7.5,4.3
1991/1/26,4.2,6.2,2.3
1991/1/27,3.1,5.3,0.9
1991/1/28,2.8,4.9,1.1
1991/1/29,2.4,4.6,0.5
1991/1/30,2.9,5.1,1.5
1991/1/31,3.0,5.2,1.4
1991/2/1,2.4,3.9,1.3
1991/2/2,2.3,4.4,0.9
1991/2/3,3.1,5.8,0.9
1991/2/4,2.6,5.4,0.4
1991/2/5,3.2,6.3,0.6
1991/2/6,4.1,7.4,0.2
1991/2/7,6.1,9.4,3.3
1991/2/8,3.8,5.8,2.2
1991/2/9,5.0,8.6,0.9
1991/2/10,7.9,11.8,3.6
1991/2/11,8.5,11.6,4.4
1991/2/12,5.8,8.3,3.2
1991/2/13,5.1,7.6,2.4
1991/2/14,6.9,11.2,0.5
1991/2/15,11.5,14.2,8.9
1991/2/16,6.5,9.3,3.3
1991/2/17,2.7,5.6,0.6
1991/2/18,2.4,5.2,0.7
1991/2/19,2.7,5.4,0.4
1991/2/20,1.7,5.5,-0.1
1991/2/21,1.7,6.9,-1.7
1991/2/22,0.9,4.1,-2.0
1991/2/23,-0.1,2.0,-2.5
1991/2/24,-1.4,0.7,-3.3
1991/2/25,1.9,4.4,-0.3
1991/2/26,2.8,8.2,-1.4
1991/2/27,5.7,9.6,-1.4
1991/2/28,7.3,10.3,4.5
1991/3/1,4.8,7.9,3.2
1991/3/2,4.4,9.1,1.1
1991/3/3,5.3,9.9,1.3
1991/3/4,8.5,12.4,1.6
1991/3/5,10.7,15.2,8.1
1991/3/6,10.5,14.7,6.5
1991/3/7,7.4,10.9,4.3
1991/3/8,6.8,10.8,3.8
1991/3/9,10.0,12.2,7.2
1991/3/10,8.4,11.1,6.8
1991/3/11,6.8,7.8,5.0
1991/3/12,7.6,11.1,4.2
1991/3/13,7.6,12.7,3.4
1991/3/14,5.3,8.0,1.5
1991/3/15,3.8,7.2,0.5
1991/3/16,3.9,6.9,2.5
1991/3/17,6.2,7.6,5.0
1991/3/18,7.0,10.9,1.4
1991/3/19,13.5,18.2,8.1
1991/3/20,13.2,15.5,8.9
1991/3/21,7.8,10.8,5.8
1991/3/22,9.9,12.3,5.7
1991/3/23,11.3,13.1,9.8
1991/3/24,10.6,13.1,8.7
1991/3/25,9.4,12.6,6.1
1991/3/26,10.1,14.7,6.3
1991/3/27,14.6,17.1,8.9
1991/3/28,9.2,11.1,7.9
1991/3/29,9.0,12.1,6.4
1991/3/30,11.5,14.2,8.6
1991/3/31,8.9,11.4,6.3
1991/4/1,6.6,9.8,4.8
1991/4/2,6.3,10.3,1.4
1991/4/3,5.8,11.4,0.6
1991/4/4,12.0,18.8,1.8
1991/4/5,15.6,20.3,11.6
1991/4/6,15.1,18.6,12.7
1991/4/7,13.0,16.0,12.1
1991/4/8,14.4,20.8,11.4
1991/4/9,11.2,11.8,10.5
1991/4/10,16.6,21.7,7.8
1991/4/11,16.4,20.2,13.5
1991/4/12,18.2,26.0,12.0
1991/4/13,17.0,18.8,12.4
1991/4/14,11.5,12.4,9.3
1991/4/15,12.4,18.2,6.0
1991/4/16,13.3,18.2,8.7
1991/4/17,18.7,25.6,9.2
1991/4/18,14.8,21.7,9.7
1991/4/19,10.6,14.3,6.9
1991/4/20,8.6,14.2,3.9
1991/4/21,10.4,15.8,2.5
1991/4/22,12.4,17.5,5.7
1991/4/23,16.2,21.2,13.4
1991/4/24,13.9,17.5,12.0
1991/4/25,15.1,18.1,12.1
1991/4/26,16.8,22.1,12.9
1991/4/27,14.1,17.0,10.7
1991/4/28,19.4,24.0,15.6
1991/4/29,16.7,23.8,12.0
1991/4/30,12.8,16.5,8.8
1991/5/1,13.4,17.5,10.0
