ダウンロードした時刻：2019/10/10 15:45:52

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,5.2,10.9,1.4
1980/12/2,9.4,15.1,-0.6
1980/12/3,9.3,13.3,4.9
1980/12/4,5.7,11.1,1.0
1980/12/5,2.9,9.1,-0.7
1980/12/6,2.7,9.4,-2.5
1980/12/7,3.7,9.5,0.4
1980/12/8,2.0,6.4,-0.7
1980/12/9,3.7,10.4,-2.4
1980/12/10,3.3,8.2,-1.1
1980/12/11,4.6,12.3,-3.7
1980/12/12,5.2,11.1,1.6
1980/12/13,1.6,2.8,0.6
1980/12/14,-1.6,0.9,-2.6
1980/12/15,-1.4,1.1,-4.9
1980/12/16,-3.5,-0.1,-8.2
1980/12/17,0.5,3.5,-3.2
1980/12/18,0.9,5.8,-4.2
1980/12/19,0.1,1.7,-1.2
1980/12/20,-1.6,0.6,-2.9
1980/12/21,-1.9,1.5,-4.3
1980/12/22,-2.3,2.8,-6.0
1980/12/23,-1.3,3.4,-7.0
1980/12/24,0.7,2.5,-0.2
1980/12/25,2.0,5.2,-1.9
1980/12/26,-0.9,2.5,-3.9
1980/12/27,-1.7,-0.8,-2.6
1980/12/28,-3.3,-2.2,-3.9
1980/12/29,-2.2,1.1,-4.2
1980/12/30,-2.5,1.1,-6.3
1980/12/31,-3.4,0.7,-7.2
1981/1/1,-3.4,2.0,-9.3
1981/1/2,1.9,4.3,-0.2
1981/1/3,-1.7,0.1,-2.2
1981/1/4,-1.9,0.8,-5.0
1981/1/5,-3.5,-0.2,-6.3
1981/1/6,-2.8,-0.6,-4.4
1981/1/7,-3.8,-1.8,-5.6
1981/1/8,-1.7,2.1,-6.6
1981/1/9,-1.9,2.5,-7.3
1981/1/10,-1.3,1.6,-3.4
1981/1/11,-3.1,-1.9,-4.6
1981/1/12,-3.8,-2.5,-5.4
1981/1/13,-4.3,-2.4,-6.6
1981/1/14,-3.7,2.0,-8.2
1981/1/15,-3.3,0.1,-6.7
1981/1/16,-3.2,-1.0,-7.0
1981/1/17,-5.2,0.5,-10.6
1981/1/18,-5.8,-0.8,-11.0
1981/1/19,-3.1,0.9,-7.6
1981/1/20,-2.8,0.5,-4.7
1981/1/21,-3.0,-0.7,-4.6
1981/1/22,-4.0,0.0,-7.7
1981/1/23,-2.8,1.8,-6.2
1981/1/24,-2.7,0.0,-6.8
1981/1/25,-1.2,0.5,-3.7
1981/1/26,-3.3,-1.0,-4.8
1981/1/27,-4.0,-1.1,-7.0
1981/1/28,-4.2,-0.6,-8.0
1981/1/29,-4.5,1.0,-11.3
1981/1/30,-2.8,0.6,-6.7
1981/1/31,-4.2,3.1,-10.3
1981/2/1,-2.8,-1.0,-5.5
1981/2/2,-2.0,0.9,-5.4
1981/2/3,-2.2,3.1,-6.7
1981/2/4,-3.2,-0.5,-4.8
1981/2/5,-3.9,0.9,-8.1
1981/2/6,-3.8,1.7,-9.8
1981/2/7,-3.0,2.9,-8.6
1981/2/8,-0.6,2.7,-3.6
1981/2/9,0.2,3.8,-2.1
1981/2/10,-0.3,6.2,-4.4
1981/2/11,-2.9,-0.1,-6.0
1981/2/12,-3.2,0.9,-9.7
1981/2/13,1.2,7.2,-5.2
1981/2/14,3.3,6.5,1.2
1981/2/15,4.6,11.9,0.1
1981/2/16,3.3,7.6,0.4
1981/2/17,-1.8,1.6,-6.4
1981/2/18,-2.3,4.4,-10.0
1981/2/19,0.5,5.1,-3.3
1981/2/20,-1.9,0.9,-5.7
1981/2/21,-2.0,1.5,-4.6
1981/2/22,-2.3,2.8,-8.1
1981/2/23,-1.4,0.6,-3.8
1981/2/24,0.7,3.6,-0.8
1981/2/25,-3.8,0.9,-6.6
1981/2/26,-6.5,-3.4,-8.2
1981/2/27,-6.0,-3.7,-8.4
1981/2/28,-5.3,-0.5,-9.5
1981/3/1,-2.4,2.9,-7.4
1981/3/2,-1.1,3.7,-4.3
1981/3/3,0.0,6.4,-7.7
1981/3/4,2.4,4.2,0.1
1981/3/5,0.3,3.3,-1.4
1981/3/6,-1.1,2.1,-2.9
1981/3/7,2.0,10.3,-6.1
1981/3/8,0.4,4.0,-2.5
1981/3/9,0.1,2.7,-2.6
1981/3/10,-0.6,2.8,-3.3
1981/3/11,-0.8,3.1,-3.3
1981/3/12,2.5,11.3,-4.7
1981/3/13,6.1,12.3,-2.4
1981/3/14,9.8,14.8,6.1
1981/3/15,4.9,8.6,0.3
1981/3/16,1.5,6.9,-2.0
1981/3/17,1.2,5.6,-2.2
1981/3/18,4.3,12.0,-1.9
1981/3/19,7.6,17.3,-1.1
1981/3/20,10.2,17.1,5.2
1981/3/21,7.5,12.7,3.7
1981/3/22,7.6,13.4,4.5
1981/3/23,4.7,8.4,1.6
1981/3/24,5.6,12.9,-1.1
1981/3/25,9.6,14.1,5.5
1981/3/26,8.0,13.5,2.0
1981/3/27,2.9,7.7,0.4
1981/3/28,3.1,9.8,-0.7
1981/3/29,4.0,11.8,-1.8
1981/3/30,4.4,8.8,1.9
1981/3/31,2.9,5.8,1.4
