ダウンロードした時刻：2019/10/10 15:49:37

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,15.2,19.7,10.7
1990/12/2,8.4,11.6,6.1
1990/12/3,6.1,10.2,1.3
1990/12/4,2.9,10.6,-2.3
1990/12/5,2.6,11.3,-3.3
1990/12/6,2.9,12.7,-3.2
1990/12/7,2.5,11.7,-3.6
1990/12/8,3.1,13.0,-3.8
1990/12/9,5.5,12.3,-2.9
1990/12/10,7.8,17.3,1.1
1990/12/11,5.1,14.8,-1.0
1990/12/12,3.8,7.9,-0.8
1990/12/13,1.6,7.3,-1.8
1990/12/14,7.7,9.4,-0.8
1990/12/15,3.8,8.4,1.3
1990/12/16,1.7,7.3,-0.3
1990/12/17,-0.8,3.8,-4.2
1990/12/18,2.8,7.3,-2.9
1990/12/19,1.1,4.9,-2.1
1990/12/20,3.4,7.8,-3.1
1990/12/21,5.6,11.1,2.5
1990/12/22,6.9,11.9,-0.2
1990/12/23,4.2,7.8,0.8
1990/12/24,2.4,6.7,-0.3
1990/12/25,1.5,8.9,-4.0
1990/12/26,4.1,10.3,-0.8
1990/12/27,-1.8,0.4,-5.4
1990/12/28,-4.3,0.5,-10.0
1990/12/29,-1.9,2.1,-6.0
1990/12/30,-1.9,4.5,-5.5
1990/12/31,-2.0,3.5,-8.3
1991/1/1,2.0,7.6,-1.7
1991/1/2,2.6,4.8,0.3
1991/1/3,2.4,7.7,-0.5
1991/1/4,1.3,4.5,-2.1
1991/1/5,1.3,5.6,-2.6
1991/1/6,-1.8,0.5,-3.6
1991/1/7,-0.7,3.8,-6.4
1991/1/8,-0.4,3.2,-4.7
1991/1/9,-1.9,3.3,-6.8
1991/1/10,-1.9,3.0,-7.1
1991/1/11,0.2,4.6,-2.6
1991/1/12,0.9,7.1,-2.4
1991/1/13,1.1,6.3,-1.6
1991/1/14,-0.5,4.5,-4.0
1991/1/15,-2.5,4.0,-6.8
1991/1/16,-0.5,6.0,-5.1
1991/1/17,0.5,5.4,-4.9
1991/1/18,-2.2,2.2,-6.3
1991/1/19,-1.6,6.9,-8.3
1991/1/20,1.0,11.7,-6.0
1991/1/21,-2.0,-0.1,-4.8
1991/1/22,0.7,3.5,-2.0
1991/1/23,-2.9,0.6,-7.5
1991/1/24,-4.2,3.2,-11.9
1991/1/25,3.6,8.6,-1.3
1991/1/26,-1.2,5.0,-5.6
1991/1/27,-2.6,4.7,-8.1
1991/1/28,-2.8,2.6,-6.6
1991/1/29,-3.7,3.9,-8.5
1991/1/30,-3.6,2.9,-9.0
1991/1/31,-3.6,4.6,-10.1
1991/2/1,-2.7,5.2,-9.3
1991/2/2,-2.0,4.1,-5.5
1991/2/3,-3.2,4.5,-9.7
1991/2/4,-1.3,4.9,-6.3
1991/2/5,-1.1,4.1,-6.2
1991/2/6,-2.3,7.2,-9.3
1991/2/7,-1.2,5.0,-5.0
1991/2/8,-2.2,2.9,-6.8
1991/2/9,-3.4,3.1,-8.9
1991/2/10,-1.2,4.3,-7.0
1991/2/11,3.1,8.8,0.3
1991/2/12,1.6,7.9,-2.4
1991/2/13,-0.4,4.4,-5.1
1991/2/14,0.7,7.3,-6.1
1991/2/15,1.7,4.5,-0.2
1991/2/16,1.3,5.0,-0.8
1991/2/17,-1.9,1.9,-6.3
1991/2/18,-3.8,0.0,-8.2
1991/2/19,-2.2,0.7,-5.5
1991/2/20,-3.1,3.4,-10.2
1991/2/21,-1.5,1.7,-4.0
1991/2/22,-1.4,2.9,-4.8
1991/2/23,-3.0,0.4,-4.5
1991/2/24,-3.3,1.2,-5.8
1991/2/25,-3.1,3.9,-8.1
1991/2/26,-0.7,8.5,-9.0
1991/2/27,1.2,9.5,-7.0
1991/2/28,6.0,9.9,0.3
1991/3/1,-0.3,2.4,-1.9
1991/3/2,0.3,6.7,-3.3
1991/3/3,0.4,7.5,-4.1
1991/3/4,3.7,13.4,-6.7
1991/3/5,7.0,17.1,-0.7
1991/3/6,6.8,18.7,-0.7
1991/3/7,2.8,8.6,-1.0
1991/3/8,1.3,6.3,-1.8
1991/3/9,9.5,16.3,1.9
1991/3/10,3.4,8.8,-1.2
1991/3/11,2.1,3.7,0.1
1991/3/12,3.5,8.2,1.4
1991/3/13,5.6,14.1,-1.4
1991/3/14,-0.1,3.1,-3.9
1991/3/15,-1.4,4.8,-7.4
1991/3/16,1.6,6.2,-2.0
1991/3/17,3.0,10.0,-0.6
1991/3/18,4.4,12.0,-0.6
1991/3/19,9.0,18.8,-1.9
1991/3/20,12.5,16.7,6.5
1991/3/21,3.3,7.0,0.5
1991/3/22,1.6,4.6,-1.1
1991/3/23,3.6,7.7,0.2
1991/3/24,9.7,17.1,4.7
1991/3/25,8.3,12.5,3.6
1991/3/26,10.2,18.1,5.8
1991/3/27,10.5,14.8,5.7
1991/3/28,6.9,12.9,3.7
1991/3/29,6.0,11.8,2.5
1991/3/30,8.9,15.6,4.4
1991/3/31,4.0,6.1,2.2
