ダウンロードした時刻：2017/07/24 15:39:20

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,5.1,9.4,1.9
1989/1/2,4.3,10.2,-0.3
1989/1/3,5.9,12.3,-0.4
1989/1/4,3.0,5.0,1.1
1989/1/5,3.5,6.8,0.8
1989/1/6,4.2,9.4,1.9
1989/1/7,7.1,12.6,1.8
1989/1/8,7.3,9.3,5.4
1989/1/9,8.0,11.0,5.6
1989/1/10,9.5,13.1,6.6
1989/1/11,8.8,13.6,4.9
1989/1/12,5.4,7.3,2.2
1989/1/13,2.0,5.2,0.0
1989/1/14,0.8,6.1,-1.5
1989/1/15,0.4,2.9,-1.3
1989/1/16,2.7,8.7,-2.0
1989/1/17,2.2,4.9,-1.2
1989/1/18,4.7,10.9,-2.2
1989/1/19,9.7,14.4,6.3
1989/1/20,9.4,14.1,7.5
1989/1/21,6.9,9.4,5.7
1989/1/22,3.9,6.7,0.8
1989/1/23,5.8,10.1,-0.3
1989/1/24,5.3,8.1,2.5
1989/1/25,2.7,7.3,-1.1
1989/1/26,6.1,12.9,-2.4
1989/1/27,2.4,7.9,-0.2
1989/1/28,-1.1,0.3,-2.4
1989/1/29,1.7,4.6,-2.0
1989/1/30,3.5,7.8,0.1
1989/1/31,4.8,11.2,-2.0
1989/2/1,4.1,8.5,0.5
1989/2/2,0.8,2.3,-0.7
1989/2/3,0.9,3.5,-0.4
1989/2/4,2.4,5.2,-0.2
1989/2/5,4.1,8.2,1.9
1989/2/6,5.2,10.9,0.0
1989/2/7,4.6,9.9,1.1
1989/2/8,4.8,10.7,-0.9
1989/2/9,5.4,7.6,3.9
1989/2/10,3.5,5.2,2.4
1989/2/11,0.3,3.0,-1.7
1989/2/12,1.8,7.2,-1.6
1989/2/13,1.4,6.0,-1.6
1989/2/14,4.1,8.9,0.7
1989/2/15,6.5,12.1,-1.5
1989/2/16,7.9,11.7,5.0
1989/2/17,5.3,8.1,2.7
1989/2/18,3.9,6.2,1.9
1989/2/19,3.5,7.5,-1.1
1989/2/20,7.1,14.2,-1.7
1989/2/21,4.3,8.5,2.6
1989/2/22,2.3,5.0,0.9
1989/2/23,3.1,7.3,0.1
1989/2/24,2.5,3.8,0.5
1989/2/25,3.1,4.4,2.0
1989/2/26,4.1,5.7,2.6
1989/2/27,3.9,9.4,0.2
1989/2/28,12.9,18.6,0.8
1989/3/1,6.6,13.9,-0.2
1989/3/2,4.4,11.4,-1.4
1989/3/3,12.6,17.8,1.8
1989/3/4,13.3,22.4,4.7
1989/3/5,3.4,5.3,1.0
1989/3/6,3.1,8.4,0.4
1989/3/7,3.0,5.2,-0.2
1989/3/8,1.1,3.3,0.4
1989/3/9,3.0,8.3,-1.1
1989/3/10,5.1,10.7,0.2
1989/3/11,7.1,13.5,0.1
1989/3/12,8.9,15.8,1.7
1989/3/13,10.4,16.1,4.5
1989/3/14,10.2,15.9,7.5
1989/3/15,7.3,10.9,4.3
1989/3/16,5.2,9.4,3.4
1989/3/17,3.5,6.0,0.9
1989/3/18,5.2,9.2,1.4
1989/3/19,5.5,8.6,4.3
1989/3/20,5.3,9.6,2.8
1989/3/21,5.3,8.2,3.0
1989/3/22,7.2,11.9,4.3
1989/3/23,4.5,7.8,1.4
1989/3/24,8.1,14.4,0.8
1989/3/25,7.0,12.1,4.4
1989/3/26,6.4,11.5,2.3
1989/3/27,7.0,12.8,0.4
1989/3/28,6.5,8.7,3.8
1989/3/29,7.6,12.6,2.1
1989/3/30,8.0,16.2,-0.9
1989/3/31,13.1,17.4,3.5
1989/4/1,12.8,21.0,5.5
1989/4/2,10.9,16.1,2.9
1989/4/3,14.9,24.6,6.9
1989/4/4,7.1,13.0,2.5
1989/4/5,7.1,15.0,0.0
1989/4/6,7.6,15.0,0.6
1989/4/7,11.7,18.9,1.8
1989/4/8,12.7,16.3,9.9
1989/4/9,12.2,16.9,8.5
1989/4/10,10.8,15.1,6.3
1989/4/11,7.9,12.1,4.8
1989/4/12,8.7,12.0,5.9
1989/4/13,11.5,19.6,6.1
1989/4/14,12.5,21.6,4.1
1989/4/15,14.5,23.2,8.9
1989/4/16,15.2,20.5,12.0
1989/4/17,13.0,17.3,9.2
1989/4/18,13.6,20.2,7.8
1989/4/19,12.8,19.7,7.6
1989/4/20,13.1,24.4,4.9
1989/4/21,12.4,19.4,7.8
1989/4/22,17.4,25.9,7.1
1989/4/23,15.0,18.2,12.8
1989/4/24,11.5,13.5,9.5
1989/4/25,9.7,13.7,6.5
1989/4/26,10.7,18.1,3.2
1989/4/27,14.5,23.0,6.9
1989/4/28,7.7,11.6,4.2
1989/4/29,9.5,16.6,1.2
1989/4/30,13.3,20.9,2.6
1989/5/1,14.3,18.9,8.8
