ダウンロードした時刻：2019/10/10 15:59:04

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,9.3,13.6,5.4
1988/12/2,9.3,14.2,4.3
1988/12/3,8.4,11.8,4.6
1988/12/4,10.0,13.4,6.3
1988/12/5,11.5,17.9,7.7
1988/12/6,9.9,13.6,6.2
1988/12/7,9.4,14.4,5.1
1988/12/8,10.4,15.2,5.9
1988/12/9,11.6,16.3,7.4
1988/12/10,9.9,12.7,7.6
1988/12/11,8.5,13.0,3.2
1988/12/12,10.2,14.3,5.4
1988/12/13,10.5,12.5,8.0
1988/12/14,11.3,17.2,7.0
1988/12/15,9.6,13.2,7.2
1988/12/16,6.1,10.2,3.0
1988/12/17,5.4,9.5,0.8
1988/12/18,6.8,10.7,2.8
1988/12/19,8.6,12.7,3.1
1988/12/20,10.5,15.2,3.9
1988/12/21,8.8,12.0,5.9
1988/12/22,7.0,10.9,4.7
1988/12/23,6.9,9.8,3.2
1988/12/24,6.8,11.5,2.8
1988/12/25,6.9,10.1,4.4
1988/12/26,6.6,10.6,3.2
1988/12/27,5.9,9.0,2.5
1988/12/28,5.0,9.4,1.4
1988/12/29,5.8,10.0,2.4
1988/12/30,6.3,10.9,2.1
1988/12/31,7.4,11.1,1.3
1989/1/1,8.2,12.0,5.2
1989/1/2,9.3,13.3,4.2
1989/1/3,8.2,14.1,2.8
1989/1/4,6.7,9.7,3.8
1989/1/5,5.9,9.5,1.7
1989/1/6,7.9,11.6,3.4
1989/1/7,8.4,11.5,4.7
1989/1/8,8.1,10.0,6.0
1989/1/9,9.4,10.7,7.9
1989/1/10,9.8,11.9,7.1
1989/1/11,11.1,13.9,8.4
1989/1/12,9.0,11.3,8.0
1989/1/13,7.9,8.9,7.2
1989/1/14,6.9,8.2,6.2
1989/1/15,4.4,6.5,2.8
1989/1/16,5.3,8.5,2.2
1989/1/17,6.8,9.9,1.8
1989/1/18,8.5,11.8,4.4
1989/1/19,10.9,15.5,7.8
1989/1/20,14.6,19.2,10.1
1989/1/21,11.0,13.6,7.0
1989/1/22,8.4,11.0,5.8
1989/1/23,4.3,7.5,2.7
1989/1/24,8.3,12.7,5.3
1989/1/25,7.8,10.9,4.9
1989/1/26,5.7,7.8,3.6
1989/1/27,8.9,15.3,4.2
1989/1/28,3.3,6.4,0.9
1989/1/29,5.3,10.6,1.0
1989/1/30,9.2,13.0,4.5
1989/1/31,10.7,15.6,3.8
1989/2/1,8.0,13.3,6.5
1989/2/2,5.3,8.0,3.0
1989/2/3,5.2,8.7,1.9
1989/2/4,5.8,9.2,2.4
1989/2/5,7.3,11.7,3.1
1989/2/6,7.7,11.8,3.9
1989/2/7,9.2,13.1,5.8
1989/2/8,8.9,12.6,4.4
1989/2/9,9.8,13.1,7.6
1989/2/10,5.5,8.3,4.3
1989/2/11,5.6,8.7,2.1
1989/2/12,6.5,10.3,2.6
1989/2/13,6.0,9.4,4.2
1989/2/14,7.6,12.2,3.4
1989/2/15,9.1,13.5,2.4
1989/2/16,13.6,17.2,7.6
1989/2/17,9.2,16.1,7.2
1989/2/18,5.8,7.2,4.9
1989/2/19,8.3,11.5,5.3
1989/2/20,9.7,13.7,4.9
1989/2/21,9.1,14.2,5.4
1989/2/22,6.2,8.8,4.0
1989/2/23,5.2,8.1,3.0
1989/2/24,4.2,5.8,2.3
1989/2/25,5.1,6.2,4.2
1989/2/26,7.3,12.7,4.1
1989/2/27,8.1,11.9,3.6
1989/2/28,10.7,14.1,6.8
1989/3/1,13.2,16.3,7.2
1989/3/2,7.6,11.8,4.2
1989/3/3,8.9,11.9,4.0
1989/3/4,15.9,20.2,9.4
1989/3/5,7.8,14.1,5.4
1989/3/6,7.8,10.7,4.5
1989/3/7,5.2,8.5,3.1
1989/3/8,4.1,7.3,1.7
1989/3/9,6.0,9.2,2.5
1989/3/10,8.5,12.2,3.1
1989/3/11,9.4,13.9,5.1
1989/3/12,11.6,15.4,4.8
1989/3/13,12.5,17.3,8.3
1989/3/14,14.2,19.2,9.8
1989/3/15,12.3,16.2,8.3
1989/3/16,9.6,13.7,6.6
1989/3/17,7.8,12.4,5.1
1989/3/18,7.7,12.3,3.8
1989/3/19,8.9,13.9,5.2
1989/3/20,9.6,15.2,5.6
1989/3/21,9.4,14.3,6.5
1989/3/22,7.6,10.7,5.7
1989/3/23,9.2,13.4,5.7
1989/3/24,8.8,10.6,7.4
1989/3/25,11.1,16.9,6.2
1989/3/26,10.9,14.3,7.0
1989/3/27,10.0,13.6,6.7
1989/3/28,7.2,8.6,5.7
1989/3/29,10.6,16.0,6.2
1989/3/30,11.6,15.2,6.0
1989/3/31,12.0,16.4,8.8
