ダウンロードした時刻：2019/10/10 16:24:27

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,12.7,21.2,7.7
1980/12/2,12.1,15.8,9.0
1980/12/3,11.8,17.2,6.2
1980/12/4,8.7,12.5,3.9
1980/12/5,7.8,13.8,3.1
1980/12/6,7.6,15.1,2.1
1980/12/7,8.6,16.3,3.6
1980/12/8,8.5,15.3,1.2
1980/12/9,6.9,13.7,2.0
1980/12/10,5.9,13.9,0.2
1980/12/11,9.2,18.3,2.2
1980/12/12,8.3,13.9,4.4
1980/12/13,5.2,9.3,3.1
1980/12/14,6.9,11.3,0.2
1980/12/15,6.0,12.3,0.7
1980/12/16,5.8,13.6,0.1
1980/12/17,6.2,14.0,0.4
1980/12/18,9.1,15.0,1.9
1980/12/19,9.4,13.8,4.7
1980/12/20,6.4,11.0,0.5
1980/12/21,4.8,12.9,-0.6
1980/12/22,5.3,13.4,-1.3
1980/12/23,7.3,13.5,3.9
1980/12/24,6.0,10.6,2.7
1980/12/25,8.4,12.1,3.0
1980/12/26,6.5,10.0,2.8
1980/12/27,3.1,6.7,0.8
1980/12/28,2.8,6.9,0.6
1980/12/29,2.2,5.5,-1.2
1980/12/30,2.5,7.4,-2.2
1980/12/31,2.7,10.0,-3.3
1981/1/1,4.5,12.7,-2.8
1981/1/2,5.1,8.7,2.7
1981/1/3,3.8,7.6,1.6
1981/1/4,3.3,8.7,-1.2
1981/1/5,4.1,8.1,-0.5
1981/1/6,3.3,8.2,-1.8
1981/1/7,4.4,14.0,-3.6
1981/1/8,4.1,13.2,-3.8
1981/1/9,8.6,15.2,2.4
1981/1/10,6.5,9.7,3.6
1981/1/11,3.3,6.2,0.7
1981/1/12,6.4,11.0,3.7
1981/1/13,5.6,9.9,3.0
1981/1/14,3.8,11.5,-1.6
1981/1/15,6.5,14.9,-1.3
1981/1/16,5.2,10.4,1.1
1981/1/17,3.9,13.4,-2.9
1981/1/18,5.7,14.8,-0.5
1981/1/19,7.8,14.5,2.5
1981/1/20,6.1,12.9,1.1
1981/1/21,4.7,11.5,1.3
1981/1/22,2.5,11.1,-4.9
1981/1/23,2.6,10.8,-3.7
1981/1/24,9.6,18.9,0.5
1981/1/25,10.0,16.6,4.1
1981/1/26,4.9,11.1,1.0
1981/1/27,3.9,10.2,-1.1
1981/1/28,5.4,11.9,0.2
1981/1/29,6.7,15.0,0.5
1981/1/30,5.2,12.0,-2.0
1981/1/31,5.0,8.8,-0.8
1981/2/1,7.2,11.6,2.2
1981/2/2,5.4,13.9,-1.0
1981/2/3,7.1,13.6,0.8
1981/2/4,3.2,11.1,-4.6
1981/2/5,4.5,12.1,-1.9
1981/2/6,5.9,12.5,0.2
1981/2/7,6.4,12.0,-0.8
1981/2/8,7.1,16.3,0.2
1981/2/9,7.8,15.7,1.5
1981/2/10,7.8,12.4,5.0
1981/2/11,8.3,14.8,4.2
1981/2/12,6.9,11.5,0.3
1981/2/13,12.5,16.8,6.7
1981/2/14,13.1,18.0,7.3
1981/2/15,12.8,19.8,6.0
1981/2/16,13.8,20.1,8.9
1981/2/17,9.4,15.7,5.0
1981/2/18,9.0,13.3,3.6
1981/2/19,10.2,12.8,7.1
1981/2/20,6.9,12.1,0.4
1981/2/21,7.5,14.7,1.2
1981/2/22,8.1,12.1,1.8
1981/2/23,11.7,16.4,9.3
1981/2/24,9.5,14.5,5.7
1981/2/25,3.3,6.3,-0.2
1981/2/26,-1.1,3.2,-4.9
1981/2/27,0.2,7.7,-6.6
1981/2/28,4.3,10.7,-4.2
1981/3/1,5.1,6.2,3.3
1981/3/2,6.9,11.9,3.2
1981/3/3,8.2,10.5,3.9
1981/3/4,11.6,17.8,7.6
1981/3/5,9.1,16.8,3.1
1981/3/6,7.5,16.8,0.7
1981/3/7,9.3,17.7,1.2
1981/3/8,10.3,17.2,2.1
1981/3/9,11.2,19.8,4.6
1981/3/10,7.5,15.1,-0.7
1981/3/11,6.3,14.1,-1.0
1981/3/12,10.3,16.5,4.0
1981/3/13,13.9,15.6,11.5
1981/3/14,16.0,19.8,10.2
1981/3/15,11.8,16.1,8.6
1981/3/16,9.3,15.6,3.6
1981/3/17,11.4,19.6,4.0
1981/3/18,12.1,19.9,4.1
1981/3/19,12.2,14.6,9.4
1981/3/20,15.3,21.3,11.9
1981/3/21,13.1,14.3,12.0
1981/3/22,15.8,21.7,9.2
1981/3/23,15.0,22.6,7.9
1981/3/24,13.3,17.8,8.3
1981/3/25,17.9,24.9,14.4
1981/3/26,12.3,16.9,8.3
1981/3/27,9.3,14.7,3.3
1981/3/28,11.3,15.1,6.0
1981/3/29,10.5,12.1,9.1
1981/3/30,11.8,15.8,9.2
1981/3/31,11.2,14.0,7.8
