É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:39:32

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2003/1/1,2.4,6.2,0.2
2003/1/2,0.4,4.7,-3.2
2003/1/3,-0.7,2.6,-4.5
2003/1/4,3.1,9.4,0.0
2003/1/5,0.8,4.9,-3.0
2003/1/6,0.8,7.1,-4.0
2003/1/7,0.9,7.5,-5.8
2003/1/8,1.4,7.2,-4.2
2003/1/9,1.8,8.2,-2.9
2003/1/10,4.2,11.7,-3.0
2003/1/11,3.8,8.9,-0.7
2003/1/12,2.8,10.6,-2.8
2003/1/13,4.3,10.7,-0.9
2003/1/14,5.5,12.4,-1.9
2003/1/15,1.3,4.9,-3.2
2003/1/16,-0.8,5.2,-6.3
2003/1/17,2.6,10.9,-5.1
2003/1/18,3.1,8.8,-2.0
2003/1/19,3.1,6.2,-1.4
2003/1/20,4.1,8.7,-0.1
2003/1/21,1.6,6.9,-2.4
2003/1/22,1.1,7.8,-4.9
2003/1/23,1.6,4.2,-0.8
2003/1/24,2.4,7.5,-2.3
2003/1/25,2.3,8.5,-3.1
2003/1/26,2.4,7.3,-2.4
2003/1/27,2.2,4.5,0.4
2003/1/28,6.2,12.0,0.3
2003/1/29,1.4,6.1,-2.2
2003/1/30,1.3,7.2,-3.4
2003/1/31,1.4,9.0,-4.6
2003/2/1,1.0,7.7,-4.1
2003/2/2,0.5,5.9,-5.2
2003/2/3,1.9,8.1,-3.4
2003/2/4,1.6,7.0,-3.5
2003/2/5,2.6,7.2,-0.3
2003/2/6,1.9,7.5,-2.1
2003/2/7,2.3,9.8,-4.9
2003/2/8,5.5,13.2,-2.5
2003/2/9,8.3,16.4,2.8
2003/2/10,8.0,13.3,1.9
2003/2/11,7.2,8.6,4.7
2003/2/12,4.4,10.1,-0.7
2003/2/13,2.4,8.3,-3.1
2003/2/14,3.2,10.5,-2.5
2003/2/15,3.1,9.6,-3.8
2003/2/16,3.0,6.2,-0.3
2003/2/17,3.7,11.6,-1.9
2003/2/18,1.9,5.7,-2.0
2003/2/19,3.5,9.1,-1.3
2003/2/20,4.7,9.1,1.9
2003/2/21,4.5,10.3,-1.1
2003/2/22,3.9,7.9,1.2
2003/2/23,5.3,11.4,3.0
2003/2/24,1.4,3.1,-0.4
2003/2/25,2.3,9.0,-3.7
2003/2/26,4.6,10.9,-1.7
2003/2/27,4.7,10.9,-0.2
2003/2/28,3.4,10.6,-3.2
2003/3/1,3.7,7.3,-1.2
2003/3/2,9.1,14.3,2.6
2003/3/3,6.8,12.2,2.5
2003/3/4,2.2,6.4,-1.0
2003/3/5,1.7,7.4,-4.0
2003/3/6,3.1,8.6,-1.1
2003/3/7,4.5,8.4,0.6
2003/3/8,7.1,13.7,1.8
2003/3/9,4.4,10.0,-0.5
2003/3/10,2.9,9.4,-3.3
2003/3/11,1.4,7.8,-3.5
2003/3/12,2.1,9.3,-3.7
2003/3/13,3.0,10.3,-3.7
2003/3/14,4.7,11.5,-2.4
2003/3/15,6.2,10.5,3.6
2003/3/16,6.6,12.0,1.7
2003/3/17,4.5,7.6,1.8
2003/3/18,5.2,10.7,2.5
2003/3/19,5.2,12.3,1.2
2003/3/20,4.4,10.9,-1.4
2003/3/21,3.9,11.5,-2.9
2003/3/22,4.8,8.8,1.5
2003/3/23,8.5,15.8,0.5
2003/3/24,11.9,18.3,4.7
2003/3/25,9.7,11.6,7.9
2003/3/26,12.4,19.3,5.7
2003/3/27,13.0,19.4,6.1
2003/3/28,11.9,17.0,7.3
2003/3/29,8.7,14.5,4.2
2003/3/30,7.8,15.1,0.7
2003/3/31,12.3,20.8,2.6
2003/4/1,11.3,20.0,6.1
2003/4/2,8.8,10.1,7.3
2003/4/3,9.1,15.6,3.8
2003/4/4,8.1,14.5,3.0
2003/4/5,5.5,7.0,4.4
2003/4/6,8.8,14.5,3.5
2003/4/7,11.2,19.4,1.6
2003/4/8,12.8,19.0,8.8
2003/4/9,12.4,20.5,6.3
2003/4/10,8.5,14.7,2.7
2003/4/11,10.1,17.0,2.6
2003/4/12,13.9,19.0,9.0
2003/4/13,16.5,24.2,10.7
2003/4/14,12.9,17.8,9.3
2003/4/15,10.4,13.0,8.5
2003/4/16,14.2,21.9,8.5
2003/4/17,16.2,23.8,9.6
2003/4/18,19.0,27.6,10.7
2003/4/19,17.9,24.5,11.7
2003/4/20,12.5,16.8,8.3
2003/4/21,11.9,21.1,8.2
2003/4/22,11.9,18.7,5.6
2003/4/23,11.9,14.1,8.7
2003/4/24,15.3,19.2,11.6
2003/4/25,14.4,15.3,13.0
2003/4/26,17.5,25.8,12.3
2003/4/27,15.4,22.9,11.3
2003/4/28,17.0,23.5,10.9
2003/4/29,18.0,25.5,10.9
2003/4/30,16.5,21.1,11.6
2003/5/1,13.1,18.9,8.4
