ダウンロードした時刻：2017/07/24 15:47:46

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/1/1,6.1,12.6,0.3
1994/1/2,8.2,16.9,1.7
1994/1/3,7.7,12.1,4.3
1994/1/4,9.5,17.4,2.8
1994/1/5,8.4,14.6,2.9
1994/1/6,11.6,17.0,7.4
1994/1/7,9.9,14.2,5.4
1994/1/8,7.4,9.9,4.6
1994/1/9,8.7,14.4,3.2
1994/1/10,8.9,16.3,2.8
1994/1/11,10.6,17.7,4.2
1994/1/12,10.0,15.3,4.1
1994/1/13,7.5,9.8,3.5
1994/1/14,6.7,14.5,2.0
1994/1/15,5.3,12.4,-0.6
1994/1/16,8.3,16.0,0.7
1994/1/17,13.5,17.5,9.6
1994/1/18,10.0,14.5,4.1
1994/1/19,4.3,8.7,1.1
1994/1/20,4.7,10.6,0.0
1994/1/21,4.5,8.3,0.9
1994/1/22,4.8,10.9,-0.5
1994/1/23,5.2,10.1,1.3
1994/1/24,3.7,9.9,-2.8
1994/1/25,7.1,14.9,0.7
1994/1/26,9.7,17.1,2.0
1994/1/27,10.0,13.6,5.7
1994/1/28,8.0,14.2,4.0
1994/1/29,6.0,9.8,1.5
1994/1/30,3.9,9.2,-1.2
1994/1/31,7.2,12.9,0.9
1994/2/1,12.1,15.8,7.8
1994/2/2,7.8,11.9,4.6
1994/2/3,7.3,12.1,4.2
1994/2/4,6.7,10.1,1.9
1994/2/5,10.9,16.2,5.1
1994/2/6,11.5,14.9,8.1
1994/2/7,11.7,17.3,6.1
1994/2/8,8.5,14.5,2.5
1994/2/9,7.4,11.1,2.8
1994/2/10,6.5,13.0,2.7
1994/2/11,4.9,8.2,1.9
1994/2/12,10.9,15.0,5.3
1994/2/13,7.6,15.7,0.6
1994/2/14,9.4,16.3,0.6
1994/2/15,8.8,12.1,6.5
1994/2/16,8.7,14.0,4.0
1994/2/17,7.2,13.2,2.0
1994/2/18,8.4,15.0,1.3
1994/2/19,11.6,14.5,8.5
1994/2/20,12.9,15.4,11.5
1994/2/21,10.4,13.2,5.9
1994/2/22,9.5,16.1,4.5
1994/2/23,10.5,15.8,5.0
1994/2/24,7.7,11.2,4.9
1994/2/25,7.0,11.0,3.4
1994/2/26,7.2,12.1,1.1
1994/2/27,6.9,12.2,-0.1
1994/2/28,9.6,14.4,4.9
1994/3/1,9.8,14.4,6.3
1994/3/2,8.6,13.5,3.6
1994/3/3,6.0,9.6,2.9
1994/3/4,7.5,14.8,0.7
1994/3/5,11.0,18.7,2.8
1994/3/6,9.6,14.8,4.3
1994/3/7,11.4,14.7,6.9
1994/3/8,16.3,21.2,13.1
1994/3/9,14.9,17.9,10.6
1994/3/10,9.6,13.9,5.4
1994/3/11,8.2,13.8,1.9
1994/3/12,9.9,13.7,7.5
1994/3/13,11.5,15.8,8.4
1994/3/14,8.0,12.1,4.6
1994/3/15,7.6,14.1,1.4
1994/3/16,7.4,12.3,1.8
1994/3/17,9.9,14.9,5.3
1994/3/18,10.4,16.7,3.7
1994/3/19,11.4,16.6,5.5
1994/3/20,12.4,17.5,8.2
1994/3/21,9.9,14.7,3.3
1994/3/22,10.0,14.4,6.6
1994/3/23,11.9,15.9,9.9
1994/3/24,10.0,16.1,6.6
1994/3/25,9.3,14.9,4.6
1994/3/26,8.5,12.2,4.2
1994/3/27,8.2,15.0,0.5
1994/3/28,12.3,17.5,5.5
1994/3/29,14.7,19.0,11.5
1994/3/30,13.8,18.0,9.8
1994/3/31,14.2,19.5,8.5
1994/4/1,13.4,16.0,10.2
1994/4/2,17.1,23.6,12.4
1994/4/3,16.4,21.6,9.9
1994/4/4,18.1,23.5,13.2
1994/4/5,18.2,21.7,15.6
1994/4/6,16.2,17.4,15.2
1994/4/7,19.4,24.8,15.7
1994/4/8,17.7,20.3,15.0
1994/4/9,12.6,16.0,8.1
1994/4/10,12.7,17.7,5.4
1994/4/11,14.4,16.1,12.5
1994/4/12,17.3,20.8,14.4
1994/4/13,15.0,20.1,11.4
1994/4/14,14.5,19.7,10.3
1994/4/15,15.0,19.2,9.4
1994/4/16,17.1,21.8,13.6
1994/4/17,18.7,23.0,13.4
1994/4/18,16.8,18.0,15.4
1994/4/19,18.1,21.6,15.6
1994/4/20,17.3,18.5,16.5
1994/4/21,17.0,18.2,16.1
1994/4/22,18.5,22.1,16.3
1994/4/23,19.1,21.2,16.9
1994/4/24,19.4,24.1,15.6
1994/4/25,17.3,20.4,15.8
1994/4/26,19.6,25.8,14.7
1994/4/27,18.4,24.5,11.8
1994/4/28,18.8,22.7,15.3
1994/4/29,19.1,25.5,12.5
1994/4/30,19.2,25.5,12.3
1994/5/1,22.1,29.1,14.5
