ダウンロードした時刻：2019/10/10 15:39:18

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,4.0,9.1,-1.1
2005/12/2,3.8,9.0,-1.1
2005/12/3,0.4,1.6,-0.8
2005/12/4,2.3,6.7,-1.5
2005/12/5,0.9,2.6,-0.5
2005/12/6,1.6,4.5,-0.1
2005/12/7,1.8,6.7,-1.8
2005/12/8,1.2,5.6,-3.6
2005/12/9,3.6,8.8,0.3
2005/12/10,-0.1,1.5,-1.5
2005/12/11,-1.5,0.1,-2.5
2005/12/12,-1.2,3.0,-5.1
2005/12/13,-1.8,1.4,-4.0
2005/12/14,-1.2,1.6,-3.9
2005/12/15,-2.2,2.9,-5.9
2005/12/16,-0.6,2.8,-6.0
2005/12/17,1.6,7.4,-2.5
2005/12/18,-3.0,-0.6,-4.5
2005/12/19,-3.7,-1.2,-5.9
2005/12/20,-0.7,4.3,-4.9
2005/12/21,-1.1,1.9,-4.3
2005/12/22,-1.2,1.9,-5.3
2005/12/23,-0.1,3.5,-3.0
2005/12/24,-1.3,1.6,-3.9
2005/12/25,0.2,4.9,-4.7
2005/12/26,-2.2,0.3,-2.9
2005/12/27,-2.8,-2.0,-3.4
2005/12/28,-3.0,-1.9,-5.3
2005/12/29,-1.9,1.4,-4.4
2005/12/30,-1.3,2.6,-5.1
2005/12/31,-1.4,2.0,-4.7
2006/1/1,-2.6,2.3,-5.9
2006/1/2,-1.8,1.2,-3.7
2006/1/3,-2.9,-0.6,-4.7
2006/1/4,-2.8,-0.4,-4.5
2006/1/5,-3.3,0.0,-7.2
2006/1/6,-3.5,-0.3,-7.1
2006/1/7,-5.0,-0.9,-7.6
2006/1/8,-3.6,-1.6,-5.6
2006/1/9,-3.4,1.9,-6.3
2006/1/10,-4.0,0.1,-8.7
2006/1/11,0.0,3.2,-2.2
2006/1/12,-2.4,2.0,-7.2
2006/1/13,-4.1,-0.9,-9.3
2006/1/14,0.8,2.5,-1.0
2006/1/15,1.3,5.7,-2.6
2006/1/16,0.9,6.4,-5.1
2006/1/17,-0.4,2.0,-3.2
2006/1/18,-1.7,2.1,-5.1
2006/1/19,-3.1,-0.6,-5.0
2006/1/20,-2.9,1.3,-7.8
2006/1/21,-1.0,3.9,-7.0
2006/1/22,-2.2,1.9,-4.9
2006/1/23,-4.3,-1.8,-7.1
2006/1/24,-1.7,2.4,-5.8
2006/1/25,0.4,3.6,-2.5
2006/1/26,-1.0,0.4,-1.8
2006/1/27,-0.5,3.6,-4.2
2006/1/28,-0.9,2.4,-3.1
2006/1/29,-0.5,5.3,-3.4
2006/1/30,1.6,9.2,-3.6
2006/1/31,-0.5,1.6,-2.8
2006/2/1,-0.4,0.5,-1.1
2006/2/2,-0.9,2.5,-5.0
2006/2/3,-4.7,-2.2,-7.2
2006/2/4,-5.6,-2.1,-9.8
2006/2/5,-3.9,-1.4,-6.5
2006/2/6,-1.6,2.0,-5.1
2006/2/7,0.4,4.5,-2.4
2006/2/8,1.1,3.1,-1.5
2006/2/9,-2.9,-0.6,-5.2
2006/2/10,2.2,4.6,-3.3
2006/2/11,0.5,4.2,-2.3
2006/2/12,-3.3,-0.8,-4.5
2006/2/13,3.1,7.6,-2.9
2006/2/14,8.6,13.5,3.8
2006/2/15,4.8,10.8,2.7
2006/2/16,0.8,2.7,0.1
2006/2/17,-1.4,2.0,-5.6
2006/2/18,-0.4,3.8,-5.1
2006/2/19,1.0,6.7,-4.8
2006/2/20,1.7,6.0,-3.5
2006/2/21,4.1,8.5,1.0
2006/2/22,5.0,12.5,-0.9
2006/2/23,2.6,4.9,-2.2
2006/2/24,0.4,4.4,-3.1
2006/2/25,1.8,8.3,-4.2
2006/2/26,3.3,9.8,0.4
2006/2/27,0.8,5.7,-2.1
2006/2/28,0.1,3.8,-3.3
2006/3/1,0.6,1.8,-0.9
2006/3/2,2.6,6.4,-0.9
2006/3/3,-0.2,4.0,-2.5
2006/3/4,1.2,6.8,-4.2
2006/3/5,4.7,11.4,-2.4
2006/3/6,5.2,9.4,0.7
2006/3/7,2.4,8.8,-3.2
2006/3/8,4.3,10.1,-1.1
2006/3/9,2.5,8.0,-2.3
2006/3/10,4.5,10.2,-0.4
2006/3/11,8.7,16.5,0.5
2006/3/12,2.1,10.1,-1.6
2006/3/13,-2.5,0.7,-3.7
2006/3/14,-0.9,2.3,-3.6
2006/3/15,3.4,8.8,-1.9
2006/3/16,4.6,9.9,-1.4
2006/3/17,5.0,8.2,1.7
2006/3/18,5.6,11.8,-0.8
2006/3/19,3.1,7.4,-1.1
2006/3/20,2.4,5.9,-1.6
2006/3/21,4.7,10.4,-0.6
2006/3/22,5.7,11.5,-1.1
2006/3/23,4.5,9.4,0.4
2006/3/24,4.9,9.0,1.1
2006/3/25,5.6,14.2,-1.4
2006/3/26,7.0,17.4,0.6
2006/3/27,5.6,11.6,0.8
2006/3/28,8.1,18.3,-0.4
2006/3/29,1.6,6.6,-1.5
2006/3/30,0.5,4.4,-1.7
2006/3/31,0.4,2.8,-1.1
