É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:40

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2006/12/1,7.3,14.2,2.3
2006/12/2,7.7,15.6,1.0
2006/12/3,6.8,12.8,1.7
2006/12/4,5.1,13.1,-1.1
2006/12/5,3.8,11.0,-2.0
2006/12/6,4.8,12.2,-1.3
2006/12/7,5.5,9.8,0.9
2006/12/8,8.6,12.1,4.5
2006/12/9,7.9,8.8,7.1
2006/12/10,9.1,15.5,6.4
2006/12/11,7.1,12.3,3.2
2006/12/12,5.1,8.5,1.8
2006/12/13,4.6,8.8,0.3
2006/12/14,6.9,8.8,4.9
2006/12/15,9.5,14.1,6.6
2006/12/16,9.9,13.8,6.7
2006/12/17,8.5,12.6,4.3
2006/12/18,6.1,11.8,1.8
2006/12/19,3.3,7.5,0.0
2006/12/20,3.6,11.0,-2.1
2006/12/21,4.6,9.9,-0.5
2006/12/22,5.9,9.9,2.3
2006/12/23,4.7,12.1,-1.4
2006/12/24,5.9,12.8,-0.9
2006/12/25,6.2,11.8,1.4
2006/12/26,5.4,6.2,4.2
2006/12/27,11.7,18.1,5.9
2006/12/28,7.3,14.9,1.7
2006/12/29,3.7,6.3,0.6
2006/12/30,4.9,9.5,-0.6
2006/12/31,1.3,7.4,-2.8
2007/1/1,1.3,8.2,-4.2
2007/1/2,3.6,7.4,-0.6
2007/1/3,5.6,9.4,0.4
2007/1/4,4.9,11.5,0.7
2007/1/5,3.2,9.6,-2.9
2007/1/6,1.3,4.1,0.4
2007/1/7,3.0,7.0,-0.1
2007/1/8,4.7,10.2,-0.4
2007/1/9,3.2,9.3,-2.6
2007/1/10,3.7,10.7,-2.4
2007/1/11,3.3,10.7,-3.0
2007/1/12,3.5,7.8,-0.3
2007/1/13,3.3,11.9,-3.1
2007/1/14,2.6,9.3,-3.6
2007/1/15,1.7,9.1,-4.0
2007/1/16,3.4,10.2,-3.2
2007/1/17,5.1,6.4,3.6
2007/1/18,6.7,11.9,3.0
2007/1/19,5.4,10.1,0.8
2007/1/20,4.2,8.7,-0.3
2007/1/21,5.3,9.7,-0.1
2007/1/22,4.4,10.4,1.1
2007/1/23,4.3,10.3,-2.0
2007/1/24,4.3,9.5,0.2
2007/1/25,3.7,11.7,-2.5
2007/1/26,4.7,11.3,-1.5
2007/1/27,6.0,13.4,1.3
2007/1/28,4.8,10.9,-1.2
2007/1/29,6.7,12.2,3.1
2007/1/30,5.2,13.1,-1.7
2007/1/31,7.0,15.4,0.8
2007/2/1,3.9,11.6,-0.8
2007/2/2,3.7,8.5,-1.8
2007/2/3,1.9,10.3,-5.1
2007/2/4,6.2,14.6,-1.5
2007/2/5,4.9,13.8,-3.9
2007/2/6,9.4,17.5,1.4
2007/2/7,7.9,15.5,0.8
2007/2/8,6.5,13.4,-0.6
2007/2/9,8.9,16.2,2.2
2007/2/10,11.1,16.6,7.2
2007/2/11,7.7,11.9,1.8
2007/2/12,5.6,14.2,-2.0
2007/2/13,6.1,13.8,-1.6
2007/2/14,7.0,10.0,2.8
2007/2/15,7.8,11.3,4.4
2007/2/16,6.5,13.1,1.7
2007/2/17,5.0,11.3,-1.4
2007/2/18,7.3,12.9,4.4
2007/2/19,8.0,14.7,2.7
2007/2/20,7.5,10.5,4.8
2007/2/21,8.5,16.9,2.4
2007/2/22,6.9,13.9,-0.2
2007/2/23,8.2,11.5,5.8
2007/2/24,5.3,10.9,0.5
2007/2/25,3.5,9.8,-2.8
2007/2/26,5.2,13.2,-1.9
2007/2/27,6.9,15.6,-1.0
2007/2/28,8.3,13.7,3.8
2007/3/1,7.5,18.1,-0.6
2007/3/2,8.6,15.8,1.5
2007/3/3,10.6,19.8,3.7
2007/3/4,12.6,21.9,4.6
2007/3/5,13.7,20.6,8.3
2007/3/6,11.4,18.7,3.9
2007/3/7,5.8,12.3,0.6
2007/3/8,5.0,11.6,-1.7
2007/3/9,5.9,13.3,-1.2
2007/3/10,8.2,14.3,0.8
2007/3/11,6.9,13.9,2.1
2007/3/12,6.1,10.4,1.9
2007/3/13,7.1,13.7,1.1
2007/3/14,6.8,13.3,0.6
2007/3/15,5.3,10.6,-2.0
2007/3/16,7.5,13.0,3.4
2007/3/17,6.5,14.0,2.0
2007/3/18,5.2,12.6,-0.8
2007/3/19,6.0,13.2,-0.8
2007/3/20,7.5,13.8,2.5
2007/3/21,7.0,14.8,1.0
2007/3/22,8.6,16.6,0.7
2007/3/23,10.8,19.8,2.3
2007/3/24,10.6,17.3,4.0
2007/3/25,12.7,16.6,8.6
2007/3/26,12.5,20.7,4.2
2007/3/27,10.2,15.4,4.5
2007/3/28,13.5,22.8,5.2
2007/3/29,15.7,24.3,6.7
2007/3/30,14.2,22.1,9.4
2007/3/31,11.9,16.9,7.9
