ダウンロードした時刻：2017/07/24 15:41:02

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/1/1,5.6,11.1,0.8
2003/1/2,3.0,6.4,-0.3
2003/1/3,2.8,5.0,0.1
2003/1/4,4.5,8.8,1.1
2003/1/5,0.9,4.6,-1.4
2003/1/6,0.5,5.0,-3.1
2003/1/7,1.9,6.3,-2.2
2003/1/8,3.1,9.0,-1.1
2003/1/9,3.9,9.7,-2.1
2003/1/10,5.7,11.6,0.2
2003/1/11,6.3,12.1,1.8
2003/1/12,6.3,12.2,1.7
2003/1/13,5.1,10.9,0.3
2003/1/14,5.7,11.7,0.7
2003/1/15,1.9,6.0,-1.2
2003/1/16,1.5,6.2,-3.4
2003/1/17,5.5,11.9,-1.2
2003/1/18,5.7,9.6,3.0
2003/1/19,3.6,6.0,1.3
2003/1/20,5.8,11.2,2.4
2003/1/21,4.1,7.7,1.1
2003/1/22,3.5,6.6,-0.9
2003/1/23,3.9,6.7,1.0
2003/1/24,3.2,7.8,1.0
2003/1/25,3.6,8.9,-1.5
2003/1/26,4.4,8.2,-0.5
2003/1/27,6.7,10.6,4.4
2003/1/28,4.9,9.0,1.4
2003/1/29,-0.2,3.7,-4.4
2003/1/30,0.2,5.0,-3.8
2003/1/31,2.7,6.9,-0.8
2003/2/1,2.4,7.6,-0.6
2003/2/2,2.6,8.2,-0.4
2003/2/3,2.9,9.0,-2.2
2003/2/4,3.6,8.7,-0.2
2003/2/5,4.4,9.5,0.9
2003/2/6,3.7,8.4,0.0
2003/2/7,4.7,10.9,-1.6
2003/2/8,5.9,10.4,0.9
2003/2/9,9.6,16.0,5.0
2003/2/10,10.7,15.1,6.9
2003/2/11,9.6,11.4,7.5
2003/2/12,6.1,9.8,3.3
2003/2/13,5.0,9.8,1.4
2003/2/14,5.1,9.6,1.4
2003/2/15,6.5,12.6,0.2
2003/2/16,5.9,7.9,3.9
2003/2/17,7.0,12.8,1.7
2003/2/18,5.8,10.2,0.9
2003/2/19,6.3,12.1,0.3
2003/2/20,5.7,11.6,2.4
2003/2/21,5.5,10.6,1.5
2003/2/22,4.9,7.6,3.4
2003/2/23,8.1,14.0,4.5
2003/2/24,6.0,10.9,2.3
2003/2/25,6.6,13.3,1.4
2003/2/26,6.7,12.8,0.5
2003/2/27,6.4,10.4,1.9
2003/2/28,6.1,12.9,0.3
2003/3/1,7.4,10.3,5.6
2003/3/2,9.6,14.6,6.1
2003/3/3,6.2,8.1,4.4
2003/3/4,2.6,6.4,-0.3
2003/3/5,3.3,8.7,-1.3
2003/3/6,5.6,11.3,1.3
2003/3/7,9.0,12.4,5.6
2003/3/8,6.3,10.2,4.1
2003/3/9,4.7,9.2,1.9
2003/3/10,4.6,11.3,0.7
2003/3/11,3.7,9.1,0.1
2003/3/12,4.3,10.8,-0.1
2003/3/13,5.5,12.4,-0.5
2003/3/14,7.2,13.2,0.7
2003/3/15,7.9,10.1,5.7
2003/3/16,7.3,13.3,2.6
2003/3/17,9.9,15.3,6.8
2003/3/18,7.9,14.1,4.1
2003/3/19,6.3,12.1,1.5
2003/3/20,7.1,13.8,1.9
2003/3/21,7.7,14.7,1.1
2003/3/22,7.1,9.5,4.6
2003/3/23,9.3,16.5,1.5
2003/3/24,12.0,19.6,5.0
2003/3/25,11.9,17.7,9.7
2003/3/26,13.1,18.8,8.1
2003/3/27,13.1,19.6,6.3
2003/3/28,11.5,16.6,7.4
2003/3/29,10.3,15.9,6.4
2003/3/30,10.2,17.8,2.9
2003/3/31,12.9,19.4,5.7
2003/4/1,14.6,20.8,11.4
2003/4/2,11.4,12.9,10.0
2003/4/3,13.6,18.9,9.8
2003/4/4,11.3,15.3,8.2
2003/4/5,8.8,10.8,7.3
2003/4/6,10.8,17.3,6.3
2003/4/7,13.4,21.1,4.7
2003/4/8,15.1,17.5,12.1
2003/4/9,11.7,16.6,7.7
2003/4/10,11.0,16.9,5.7
2003/4/11,9.8,12.0,6.4
2003/4/12,14.3,16.4,11.4
2003/4/13,16.3,22.3,11.9
2003/4/14,14.2,19.7,8.6
2003/4/15,13.2,14.7,11.4
2003/4/16,15.9,24.2,10.0
2003/4/17,17.7,25.0,10.7
2003/4/18,19.9,28.2,12.9
2003/4/19,18.4,23.6,14.7
2003/4/20,18.1,19.9,16.7
2003/4/21,14.4,19.4,8.7
2003/4/22,13.4,19.7,7.2
2003/4/23,13.3,15.2,11.5
2003/4/24,16.6,18.0,15.1
2003/4/25,18.1,20.7,16.3
2003/4/26,18.1,21.3,13.1
2003/4/27,16.9,23.0,11.9
2003/4/28,18.3,24.4,12.3
2003/4/29,18.8,24.1,13.7
2003/4/30,15.4,19.4,10.6
2003/5/1,14.6,21.1,8.4
