ダウンロードした時刻：2019/10/10 15:38:47

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,7.6,11.5,1.7
1980/12/2,6.0,11.6,-1.3
1980/12/3,9.1,12.5,6.6
1980/12/4,3.7,9.0,0.4
1980/12/5,3.1,5.9,0.7
1980/12/6,3.4,8.0,-0.5
1980/12/7,3.9,6.2,1.8
1980/12/8,1.3,2.7,-2.0
1980/12/9,1.4,6.3,-2.7
1980/12/10,3.5,6.7,0.4
1980/12/11,4.2,12.0,-1.0
1980/12/12,5.0,9.6,-0.9
1980/12/13,0.3,4.5,-1.3
1980/12/14,-0.5,0.1,-0.8
1980/12/15,-0.2,1.0,-1.4
1980/12/16,2.0,5.4,-0.7
1980/12/17,0.8,4.4,-3.4
1980/12/18,1.0,3.1,-1.4
1980/12/19,-0.8,1.6,-3.6
1980/12/20,-2.0,-0.3,-4.0
1980/12/21,-1.5,1.0,-4.3
1980/12/22,-0.7,1.6,-2.9
1980/12/23,-1.0,0.6,-4.7
1980/12/24,0.3,1.7,-0.2
1980/12/25,2.0,6.8,-1.0
1980/12/26,0.3,2.5,-2.5
1980/12/27,0.1,2.4,-1.7
1980/12/28,-0.4,0.8,-1.6
1980/12/29,0.5,2.0,-0.9
1980/12/30,1.3,4.3,0.2
1980/12/31,0.5,2.5,-1.5
1981/1/1,-0.3,3.3,-3.7
1981/1/2,0.5,3.2,-4.2
1981/1/3,1.1,3.1,-0.1
1981/1/4,0.0,2.1,-1.9
1981/1/5,-1.2,0.5,-3.0
1981/1/6,-2.7,0.2,-6.0
1981/1/7,-3.5,-2.5,-4.3
1981/1/8,-2.1,-1.0,-3.4
1981/1/9,0.3,3.3,-1.7
1981/1/10,-0.3,1.3,-2.0
1981/1/11,-1.9,1.1,-4.6
1981/1/12,-3.3,-1.9,-4.7
1981/1/13,-3.8,-1.5,-5.7
1981/1/14,-5.1,-1.7,-8.0
1981/1/15,-4.4,0.6,-8.8
1981/1/16,-3.7,-1.8,-5.7
1981/1/17,-2.9,0.3,-7.7
1981/1/18,-1.1,2.9,-6.4
1981/1/19,-0.8,1.1,-2.7
1981/1/20,-2.4,0.6,-4.7
1981/1/21,-4.1,-1.9,-6.5
1981/1/22,-3.6,-0.2,-8.8
1981/1/23,-1.2,2.4,-4.8
1981/1/24,1.6,4.8,-2.4
1981/1/25,-1.3,1.2,-3.7
1981/1/26,-3.5,-1.0,-6.1
1981/1/27,-4.0,-2.0,-6.2
1981/1/28,-2.9,-0.9,-6.3
1981/1/29,-2.2,1.7,-5.4
1981/1/30,-1.7,0.2,-4.5
1981/1/31,0.0,2.2,-2.1
1981/2/1,-1.3,0.5,-4.1
1981/2/2,-0.2,3.1,-2.9
1981/2/3,-1.0,3.6,-6.1
1981/2/4,-0.9,1.2,-3.4
1981/2/5,-1.2,2.5,-5.5
1981/2/6,0.9,3.9,-1.6
1981/2/7,0.1,4.3,-4.4
1981/2/8,-0.5,1.3,-2.9
1981/2/9,-1.1,1.4,-2.3
1981/2/10,-0.3,4.3,-5.3
1981/2/11,-2.9,-1.6,-4.5
1981/2/12,2.2,5.2,-3.5
1981/2/13,1.5,5.7,-2.3
1981/2/14,2.2,6.2,-1.5
1981/2/15,1.0,5.6,-4.4
1981/2/16,3.2,9.3,-0.8
1981/2/17,-0.6,1.8,-1.7
1981/2/18,0.7,5.3,-3.6
1981/2/19,0.5,3.6,-2.6
1981/2/20,-0.7,2.1,-2.7
1981/2/21,-2.1,1.1,-4.4
1981/2/22,-2.1,1.0,-4.9
1981/2/23,-2.4,0.4,-5.9
1981/2/24,-0.6,2.1,-1.9
1981/2/25,-1.8,2.5,-4.3
1981/2/26,-4.3,-1.5,-6.6
1981/2/27,-4.2,-0.8,-7.7
1981/2/28,-3.7,-0.6,-6.9
1981/3/1,-3.1,0.4,-7.2
1981/3/2,-1.1,3.4,-4.4
1981/3/3,0.5,6.0,-4.5
1981/3/4,1.6,6.5,-3.9
1981/3/5,1.5,4.4,-1.0
1981/3/6,-1.4,0.2,-3.3
1981/3/7,0.9,6.4,-5.8
1981/3/8,0.5,4.0,-2.7
1981/3/9,-1.0,0.3,-3.4
1981/3/10,-0.2,3.4,-3.0
1981/3/11,-1.3,2.3,-5.0
1981/3/12,-0.5,7.1,-7.6
1981/3/13,3.8,11.0,-3.5
1981/3/14,4.4,8.1,1.2
1981/3/15,4.5,9.0,0.9
1981/3/16,-0.2,2.9,-2.2
1981/3/17,0.1,3.7,-3.0
1981/3/18,2.2,9.5,-3.4
1981/3/19,3.7,11.3,-3.4
1981/3/20,5.8,14.1,1.6
1981/3/21,5.2,10.4,0.3
1981/3/22,7.0,12.6,2.5
1981/3/23,4.5,8.7,0.5
1981/3/24,4.4,9.5,-0.4
1981/3/25,2.0,3.6,0.3
1981/3/26,6.5,12.6,1.3
1981/3/27,2.1,4.3,0.3
1981/3/28,3.4,8.6,-0.8
1981/3/29,3.6,10.8,-2.5
1981/3/30,2.9,8.3,-1.3
1981/3/31,1.9,7.8,-3.2
