ダウンロードした時刻：2017/07/24 15:47:35

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,9.1,13.2,4.8
1996/1/2,8.2,15.1,1.9
1996/1/3,9.9,16.0,6.8
1996/1/4,6.6,11.1,3.5
1996/1/5,7.2,15.5,0.7
1996/1/6,9.0,14.5,2.8
1996/1/7,12.2,16.2,8.9
1996/1/8,9.0,15.2,2.2
1996/1/9,3.7,7.3,1.6
1996/1/10,7.3,10.3,3.9
1996/1/11,7.4,13.3,2.8
1996/1/12,8.6,14.4,2.3
1996/1/13,12.4,16.5,8.2
1996/1/14,15.4,18.0,12.9
1996/1/15,15.3,18.7,12.9
1996/1/16,9.9,12.9,5.0
1996/1/17,7.3,12.2,2.0
1996/1/18,7.9,8.7,6.9
1996/1/19,9.3,12.4,6.4
1996/1/20,8.2,12.2,4.2
1996/1/21,7.5,11.2,2.8
1996/1/22,8.8,10.2,6.5
1996/1/23,8.3,12.2,4.7
1996/1/24,6.0,10.3,2.5
1996/1/25,5.1,7.9,1.8
1996/1/26,5.8,10.3,2.8
1996/1/27,6.4,11.3,2.7
1996/1/28,7.3,12.5,1.8
1996/1/29,7.7,13.3,3.8
1996/1/30,5.3,10.0,1.7
1996/1/31,4.8,9.3,0.6
1996/2/1,3.9,7.6,1.1
1996/2/2,2.4,5.7,-0.2
1996/2/3,2.9,6.9,-0.9
1996/2/4,5.8,11.5,-0.8
1996/2/5,7.1,13.4,3.3
1996/2/6,4.2,8.2,1.6
1996/2/7,5.7,11.2,-0.5
1996/2/8,9.0,14.2,2.6
1996/2/9,5.1,9.1,0.8
1996/2/10,2.4,6.3,-0.4
1996/2/11,4.5,10.9,-2.4
1996/2/12,10.6,18.3,2.8
1996/2/13,14.7,19.6,10.9
1996/2/14,14.6,19.3,10.5
1996/2/15,16.8,22.7,10.9
1996/2/16,12.1,16.9,8.4
1996/2/17,9.6,11.3,8.2
1996/2/18,9.2,13.6,6.4
1996/2/19,8.5,13.9,5.0
1996/2/20,7.4,12.7,4.2
1996/2/21,5.1,9.3,2.1
1996/2/22,5.9,11.7,1.5
1996/2/23,6.9,13.2,1.6
1996/2/24,8.8,12.8,4.5
1996/2/25,9.3,13.4,6.0
1996/2/26,9.0,15.1,4.1
1996/2/27,7.5,12.1,5.2
1996/2/28,7.7,13.2,1.7
1996/2/29,9.7,12.3,5.6
1996/3/1,9.9,14.0,6.4
1996/3/2,7.7,12.5,3.9
1996/3/3,7.6,13.7,1.6
1996/3/4,9.5,14.7,4.0
1996/3/5,9.3,14.4,6.0
1996/3/6,9.3,14.4,3.2
1996/3/7,15.5,20.7,9.3
1996/3/8,13.3,20.6,9.1
1996/3/9,9.5,13.7,7.8
1996/3/10,9.1,13.4,6.9
1996/3/11,9.4,14.1,4.3
1996/3/12,8.3,13.1,3.4
1996/3/13,10.8,15.2,8.0
1996/3/14,11.3,16.0,5.8
1996/3/15,16.4,22.1,9.8
1996/3/16,12.5,17.4,7.5
1996/3/17,16.5,23.5,11.1
1996/3/18,10.5,12.5,8.1
1996/3/19,10.3,15.1,4.7
1996/3/20,12.9,15.3,10.5
1996/3/21,16.3,18.4,14.7
1996/3/22,15.7,19.9,11.1
1996/3/23,13.6,17.7,10.7
1996/3/24,12.3,14.0,9.8
1996/3/25,13.8,17.3,11.6
1996/3/26,11.9,13.8,9.2
1996/3/27,13.3,14.8,10.8
1996/3/28,13.6,15.5,11.8
1996/3/29,14.9,17.5,10.6
1996/3/30,16.6,22.1,12.7
1996/3/31,14.2,18.5,10.9
1996/4/1,10.5,14.0,7.9
1996/4/2,8.2,11.4,5.7
1996/4/3,7.9,12.5,4.5
1996/4/4,9.2,14.7,4.3
1996/4/5,11.2,17.9,3.4
1996/4/6,13.1,17.0,7.2
1996/4/7,17.1,21.8,12.4
1996/4/8,13.9,19.9,8.7
1996/4/9,15.1,20.7,9.5
1996/4/10,11.8,14.9,9.7
1996/4/11,11.9,17.8,6.9
1996/4/12,10.9,16.2,4.3
1996/4/13,13.1,17.9,9.5
1996/4/14,12.4,13.7,11.5
1996/4/15,14.9,18.6,10.3
1996/4/16,13.6,16.2,9.7
1996/4/17,16.7,24.2,8.4
1996/4/18,16.8,22.1,12.7
1996/4/19,12.1,14.5,10.3
1996/4/20,12.7,16.8,8.9
1996/4/21,11.9,17.4,6.6
1996/4/22,13.7,20.0,6.2
1996/4/23,15.7,21.3,8.8
1996/4/24,17.3,23.0,10.6
1996/4/25,18.0,23.8,12.9
1996/4/26,18.4,25.5,13.4
1996/4/27,18.6,24.9,12.0
1996/4/28,19.4,25.3,13.6
1996/4/29,18.7,20.3,17.3
1996/4/30,19.0,21.5,16.8
1996/5/1,19.7,22.2,17.6
