ダウンロードした時刻：2019/10/10 15:34:20

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,-1.4,0.7,-4.1
1985/12/2,-0.8,2.6,-5.8
1985/12/3,0.9,2.9,-2.2
1985/12/4,4.0,8.5,0.8
1985/12/5,-1.4,1.7,-3.2
1985/12/6,-3.7,-1.2,-5.1
1985/12/7,-2.2,0.4,-5.0
1985/12/8,-0.4,1.6,-2.6
1985/12/9,-1.0,3.9,-5.7
1985/12/10,-6.4,-4.4,-7.8
1985/12/11,-3.0,1.0,-7.6
1985/12/12,-4.7,-0.5,-9.3
1985/12/13,-1.6,0.7,-5.1
1985/12/14,-5.9,-1.7,-9.4
1985/12/15,-9.7,-5.7,-13.1
1985/12/16,-7.0,-4.8,-13.0
1985/12/17,-7.2,-1.8,-11.6
1985/12/18,-2.6,1.4,-6.6
1985/12/19,-3.2,1.5,-6.6
1985/12/20,-3.0,0.3,-5.8
1985/12/21,-4.3,-2.7,-9.1
1985/12/22,-0.4,2.9,-5.9
1985/12/23,0.9,4.2,-1.9
1985/12/24,-6.3,-1.9,-7.8
1985/12/25,-4.5,-1.8,-6.7
1985/12/26,-2.5,0.0,-4.6
1985/12/27,-3.2,0.8,-5.8
1985/12/28,-1.8,1.0,-6.3
1985/12/29,5.4,8.1,-0.8
1985/12/30,3.4,5.6,1.3
1985/12/31,1.0,5.6,-2.4
1986/1/1,-2.1,0.2,-3.6
1986/1/2,-5.9,-3.3,-7.5
1986/1/3,-5.9,-2.0,-8.2
1986/1/4,4.6,7.6,-2.0
1986/1/5,-3.1,2.0,-6.3
1986/1/6,-5.9,-3.8,-7.3
1986/1/7,-2.5,0.4,-6.4
1986/1/8,-0.4,3.6,-6.7
1986/1/9,0.6,4.1,-1.1
1986/1/10,-0.4,1.4,-3.9
1986/1/11,-3.6,0.1,-6.9
1986/1/12,-4.4,-1.5,-9.8
1986/1/13,-0.8,2.5,-3.8
1986/1/14,-5.4,-3.0,-6.4
1986/1/15,-4.6,-1.2,-7.3
1986/1/16,-3.7,1.7,-10.8
1986/1/17,0.5,2.9,-2.3
1986/1/18,-1.4,1.9,-5.6
1986/1/19,-2.2,0.1,-5.6
1986/1/20,-2.9,-0.1,-7.9
1986/1/21,-7.7,-2.3,-11.4
1986/1/22,-9.7,-6.0,-12.6
1986/1/23,-10.8,-7.4,-12.6
1986/1/24,-7.3,-2.7,-12.8
1986/1/25,-8.1,-5.1,-12.1
1986/1/26,-9.1,-4.8,-14.8
1986/1/27,-8.5,-6.7,-9.5
1986/1/28,-8.4,-4.0,-11.7
1986/1/29,-7.8,-4.2,-13.0
1986/1/30,-6.0,-2.9,-11.4
1986/1/31,-5.6,-2.1,-10.1
1986/2/1,-7.8,-6.0,-10.3
1986/2/2,-7.2,-5.2,-8.9
1986/2/3,-7.7,-3.7,-10.3
1986/2/4,-7.5,-5.5,-9.2
1986/2/5,-7.5,-4.6,-10.6
1986/2/6,-6.3,-1.2,-10.0
1986/2/7,-5.8,0.5,-12.9
1986/2/8,-4.5,0.6,-9.6
1986/2/9,-5.0,-1.8,-8.8
1986/2/10,-5.2,-2.9,-8.6
1986/2/11,-4.1,-1.1,-6.1
1986/2/12,-2.7,0.0,-5.8
1986/2/13,-0.6,3.6,-4.4
1986/2/14,-2.4,1.9,-5.7
1986/2/15,-4.7,-2.2,-8.0
1986/2/16,-4.2,0.6,-8.9
1986/2/17,-4.5,-1.2,-8.9
1986/2/18,-4.6,0.3,-10.5
1986/2/19,-2.9,0.9,-8.0
1986/2/20,-2.5,0.9,-5.6
1986/2/21,-4.9,-2.2,-7.8
1986/2/22,-4.8,-0.7,-9.2
1986/2/23,-2.8,0.8,-7.1
1986/2/24,-1.4,1.7,-5.5
1986/2/25,-2.8,0.3,-9.1
1986/2/26,-0.1,4.7,-6.0
1986/2/27,-0.2,3.9,-6.2
1986/2/28,0.9,3.5,-1.1
1986/3/1,-0.7,2.4,-4.3
1986/3/2,0.5,2.5,-1.5
1986/3/3,-4.3,0.2,-9.6
1986/3/4,-5.2,-1.7,-12.4
1986/3/5,-1.1,1.1,-3.0
1986/3/6,-1.8,3.7,-6.6
1986/3/7,-0.6,3.5,-5.8
1986/3/8,0.2,3.4,-3.9
1986/3/9,1.9,4.9,-1.3
1986/3/10,2.7,6.1,0.9
1986/3/11,1.6,4.0,-0.2
1986/3/12,1.5,3.2,-0.2
1986/3/13,0.6,4.0,-3.2
1986/3/14,-0.3,3.5,-5.6
1986/3/15,1.4,2.5,-1.0
1986/3/16,2.1,6.0,-0.8
1986/3/17,0.2,3.8,-2.9
1986/3/18,0.0,4.6,-3.8
1986/3/19,0.0,2.7,-3.8
1986/3/20,1.7,3.1,0.0
1986/3/21,2.1,4.5,0.7
1986/3/22,2.7,7.3,-1.0
1986/3/23,1.8,5.3,-2.0
1986/3/24,3.6,7.9,1.1
1986/3/25,1.9,6.7,-2.0
1986/3/26,1.6,7.9,-4.1
1986/3/27,2.3,7.5,-2.0
1986/3/28,1.0,5.7,-4.9
1986/3/29,2.8,4.9,1.4
1986/3/30,3.0,6.0,-1.0
1986/3/31,4.2,8.6,2.1
