ダウンロードした時刻：2019/10/10 16:03:47

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,8.7,13.1,7.1
2006/12/2,6.9,9.6,3.9
2006/12/3,6.1,8.0,4.1
2006/12/4,6.6,10.2,5.2
2006/12/5,6.4,11.3,4.4
2006/12/6,7.4,14.1,3.5
2006/12/7,7.2,9.5,3.7
2006/12/8,9.1,10.7,8.3
2006/12/9,9.0,10.5,7.6
2006/12/10,8.6,11.8,7.0
2006/12/11,8.7,13.9,7.0
2006/12/12,9.2,14.3,6.1
2006/12/13,7.5,9.4,4.7
2006/12/14,7.7,9.4,5.7
2006/12/15,9.4,14.1,6.4
2006/12/16,8.8,12.7,5.4
2006/12/17,5.4,7.7,3.1
2006/12/18,5.1,6.9,3.0
2006/12/19,6.4,11.0,3.0
2006/12/20,5.6,12.8,0.3
2006/12/21,6.5,10.1,2.7
2006/12/22,7.5,12.9,2.1
2006/12/23,7.8,12.8,3.3
2006/12/24,7.9,11.5,4.5
2006/12/25,7.8,13.0,4.2
2006/12/26,7.2,10.1,4.1
2006/12/27,10.7,13.7,7.4
2006/12/28,4.0,9.9,-0.6
2006/12/29,1.5,3.5,-0.9
2006/12/30,2.9,5.4,0.3
2006/12/31,4.4,9.3,0.4
2007/1/1,4.3,9.5,-1.0
2007/1/2,7.6,9.6,5.6
2007/1/3,8.2,11.6,4.8
2007/1/4,6.7,10.7,2.8
2007/1/5,7.4,10.4,3.7
2007/1/6,4.7,7.8,1.9
2007/1/7,5.2,7.9,0.6
2007/1/8,6.0,8.4,4.0
2007/1/9,4.5,9.0,1.3
2007/1/10,4.8,10.2,0.0
2007/1/11,5.5,10.9,2.6
2007/1/12,4.9,9.3,1.0
2007/1/13,5.3,9.9,2.6
2007/1/14,3.8,9.7,0.7
2007/1/15,4.5,11.3,-0.6
2007/1/16,6.1,9.6,2.8
2007/1/17,6.7,8.1,4.9
2007/1/18,6.3,10.1,2.9
2007/1/19,5.4,9.6,1.4
2007/1/20,5.1,10.5,0.9
2007/1/21,4.8,10.3,0.4
2007/1/22,5.3,8.6,1.6
2007/1/23,5.0,9.8,1.5
2007/1/24,4.7,9.3,1.3
2007/1/25,5.5,11.4,1.7
2007/1/26,4.3,13.0,0.0
2007/1/27,3.7,6.2,2.1
2007/1/28,3.6,9.2,2.0
2007/1/29,5.3,8.6,1.4
2007/1/30,5.4,13.2,0.2
2007/1/31,5.3,7.9,3.6
2007/2/1,3.2,7.1,-0.1
2007/2/2,0.6,2.4,-0.1
2007/2/3,4.9,9.6,-0.7
2007/2/4,6.9,10.5,1.5
2007/2/5,6.9,14.7,-1.3
2007/2/6,10.0,16.2,4.5
2007/2/7,7.8,14.4,3.2
2007/2/8,6.8,11.4,1.7
2007/2/9,9.4,10.5,8.4
2007/2/10,7.6,10.8,4.7
2007/2/11,6.7,11.4,2.4
2007/2/12,6.0,13.5,0.6
2007/2/13,7.6,15.1,0.9
2007/2/14,11.7,17.1,5.7
2007/2/15,5.5,8.0,3.6
2007/2/16,4.4,9.7,-0.3
2007/2/17,4.6,6.2,1.6
2007/2/18,7.5,9.3,6.0
2007/2/19,6.4,11.7,3.2
2007/2/20,6.9,13.3,0.5
2007/2/21,7.6,15.8,1.6
2007/2/22,10.0,18.3,1.0
2007/2/23,8.8,14.2,5.1
2007/2/24,6.0,8.8,4.1
2007/2/25,6.0,8.1,3.6
2007/2/26,7.0,13.1,0.6
2007/2/27,8.9,17.5,3.0
2007/2/28,6.6,10.3,2.8
2007/3/1,6.1,11.9,0.0
2007/3/2,9.1,15.1,4.2
2007/3/3,10.7,12.9,8.1
2007/3/4,16.1,20.6,11.6
2007/3/5,13.1,19.9,7.0
2007/3/6,3.6,7.1,1.8
2007/3/7,3.3,7.2,1.1
2007/3/8,4.2,8.2,0.6
2007/3/9,4.2,10.4,-1.4
2007/3/10,6.6,14.9,-0.2
2007/3/11,5.9,8.9,3.4
2007/3/12,5.9,9.8,2.0
2007/3/13,5.8,9.6,1.9
2007/3/14,6.3,13.4,0.3
2007/3/15,5.7,8.2,3.0
2007/3/16,6.3,9.6,3.0
2007/3/17,6.3,9.6,4.0
2007/3/18,5.3,10.1,0.7
2007/3/19,3.1,9.0,-1.5
2007/3/20,4.5,9.8,0.7
2007/3/21,6.6,15.1,-1.1
2007/3/22,8.9,16.2,2.8
2007/3/23,10.7,19.2,3.0
2007/3/24,14.1,17.7,9.3
2007/3/25,12.9,18.1,8.4
2007/3/26,13.2,18.1,7.7
2007/3/27,11.7,17.4,7.9
2007/3/28,13.1,19.5,7.8
2007/3/29,12.1,17.5,10.2
2007/3/30,11.2,17.6,6.7
2007/3/31,14.0,23.3,6.0
