ダウンロードした時刻：2019/10/10 16:08:17

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,7.5,10.4,2.1
1986/12/2,7.9,12.6,3.6
1986/12/3,7.5,11.9,1.6
1986/12/4,8.6,11.9,4.9
1986/12/5,6.9,11.1,3.0
1986/12/6,6.9,11.5,1.9
1986/12/7,7.9,11.5,5.6
1986/12/8,8.8,10.9,6.7
1986/12/9,6.3,12.6,1.7
1986/12/10,5.3,8.0,0.8
1986/12/11,8.6,13.3,3.9
1986/12/12,6.7,13.6,1.1
1986/12/13,8.3,13.5,3.8
1986/12/14,10.1,11.5,7.5
1986/12/15,9.8,11.7,6.8
1986/12/16,7.4,9.5,6.1
1986/12/17,7.1,10.5,2.0
1986/12/18,7.4,13.9,0.2
1986/12/19,9.4,11.6,5.9
1986/12/20,5.1,6.7,1.8
1986/12/21,5.1,9.2,0.2
1986/12/22,4.4,7.8,0.7
1986/12/23,4.0,8.8,-1.0
1986/12/24,6.9,10.9,2.0
1986/12/25,7.5,9.3,4.6
1986/12/26,6.8,9.6,4.4
1986/12/27,5.1,8.3,2.6
1986/12/28,4.8,8.2,2.6
1986/12/29,3.1,5.8,0.8
1986/12/30,5.5,7.8,2.4
1986/12/31,7.0,11.0,4.1
1987/1/1,4.5,10.8,3.1
1987/1/2,3.8,5.2,2.3
1987/1/3,8.7,11.6,5.1
1987/1/4,6.6,8.5,4.3
1987/1/5,3.1,4.4,1.5
1987/1/6,5.2,8.8,2.0
1987/1/7,6.5,8.8,2.6
1987/1/8,6.0,9.0,1.9
1987/1/9,6.8,10.8,1.8
1987/1/10,2.5,6.2,-0.5
1987/1/11,0.7,3.3,-1.4
1987/1/12,0.0,1.7,-2.2
1987/1/13,1.3,2.8,-0.7
1987/1/14,0.9,4.2,-1.2
1987/1/15,3.0,6.9,1.2
1987/1/16,3.4,7.7,-1.2
1987/1/17,6.9,13.1,2.9
1987/1/18,2.4,4.2,0.6
1987/1/19,2.5,5.5,0.6
1987/1/20,1.2,3.5,-1.6
1987/1/21,1.5,5.8,-3.2
1987/1/22,2.7,7.9,-2.7
1987/1/23,6.3,10.1,0.8
1987/1/24,5.2,9.0,1.7
1987/1/25,0.6,2.7,-1.8
1987/1/26,0.6,3.1,-2.1
1987/1/27,3.5,7.3,0.9
1987/1/28,4.2,7.3,1.1
1987/1/29,4.1,8.7,-1.3
1987/1/30,5.3,9.6,1.8
1987/1/31,2.4,6.3,0.9
1987/2/1,1.8,5.0,-1.2
1987/2/2,0.0,3.0,-2.5
1987/2/3,1.4,3.5,0.2
1987/2/4,1.9,3.7,0.1
1987/2/5,3.4,5.4,1.3
1987/2/6,5.1,8.8,2.9
1987/2/7,5.5,9.8,0.0
1987/2/8,6.5,11.1,2.6
1987/2/9,4.5,9.8,-0.3
1987/2/10,6.3,13.0,0.1
1987/2/11,11.4,19.1,5.0
1987/2/12,9.3,16.2,5.2
1987/2/13,5.7,10.5,2.1
1987/2/14,5.1,10.9,1.1
1987/2/15,4.4,6.5,3.2
1987/2/16,4.0,6.2,2.8
1987/2/17,2.4,4.5,0.7
1987/2/18,5.2,8.1,1.9
1987/2/19,2.6,5.1,1.4
1987/2/20,3.3,6.9,0.6
1987/2/21,3.4,7.4,-1.4
1987/2/22,2.9,5.6,-0.1
1987/2/23,4.5,8.2,2.1
1987/2/24,6.2,11.9,0.5
1987/2/25,2.8,9.6,-0.3
1987/2/26,1.3,3.9,-1.3
1987/2/27,1.2,4.7,-0.9
1987/2/28,0.9,4.7,-2.7
1987/3/1,1.3,5.1,-0.5
1987/3/2,0.6,3.3,-1.2
1987/3/3,2.6,7.2,-1.8
1987/3/4,5.2,10.2,-0.8
1987/3/5,9.4,15.4,2.7
1987/3/6,7.5,10.8,4.5
1987/3/7,2.0,4.5,0.2
1987/3/8,4.0,5.8,2.4
1987/3/9,3.3,5.4,0.5
1987/3/10,4.2,6.6,2.2
1987/3/11,5.0,8.3,2.6
1987/3/12,6.5,10.6,3.1
1987/3/13,7.4,11.3,3.1
1987/3/14,8.7,10.9,6.7
1987/3/15,6.5,9.3,3.8
1987/3/16,5.7,9.2,3.0
1987/3/17,4.6,6.1,2.7
1987/3/18,7.4,10.7,4.5
1987/3/19,9.6,16.2,2.4
1987/3/20,8.7,12.4,4.6
1987/3/21,9.5,16.9,2.4
1987/3/22,12.2,17.7,7.3
1987/3/23,12.6,15.4,10.0
1987/3/24,12.0,18.3,8.2
1987/3/25,4.4,9.0,1.2
1987/3/26,3.1,6.8,0.4
1987/3/27,5.6,11.0,0.1
1987/3/28,7.2,11.7,1.2
1987/3/29,8.1,11.9,5.5
1987/3/30,7.6,10.3,3.9
1987/3/31,6.1,9.8,2.9
