ダウンロードした時刻：2019/10/10 16:15:00

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,8.7,12.3,3.9
2017/12/2,6.4,11.7,2.6
2017/12/3,7.4,14.4,3.2
2017/12/4,5.7,9.9,2.0
2017/12/5,6.0,9.7,3.1
2017/12/6,4.6,9.5,1.2
2017/12/7,5.3,11.3,0.0
2017/12/8,4.7,8.2,1.4
2017/12/9,4.2,9.7,-0.3
2017/12/10,7.3,13.1,2.5
2017/12/11,7.5,11.1,2.8
2017/12/12,2.7,5.5,0.3
2017/12/13,3.0,7.4,-1.1
2017/12/14,3.4,7.8,-0.2
2017/12/15,5.3,10.2,2.1
2017/12/16,6.9,9.8,3.8
2017/12/17,3.4,7.0,0.7
2017/12/18,3.6,7.9,0.0
2017/12/19,4.7,10.7,0.7
2017/12/20,3.4,9.6,-1.3
2017/12/21,3.8,10.6,-0.7
2017/12/22,4.0,11.1,-1.1
2017/12/23,6.0,12.3,0.9
2017/12/24,7.9,15.6,1.7
2017/12/25,7.7,11.5,3.8
2017/12/26,5.7,8.5,3.8
2017/12/27,4.1,6.7,1.0
2017/12/28,4.1,8.5,2.3
2017/12/29,5.4,8.9,1.7
2017/12/30,5.3,10.2,2.0
2017/12/31,5.3,10.2,1.3
2018/1/1,5.6,10.4,1.6
2018/1/2,5.9,10.2,2.9
2018/1/3,3.8,6.9,-0.4
2018/1/4,1.9,7.3,-1.5
2018/1/5,1.6,2.7,0.3
2018/1/6,3.4,7.4,0.3
2018/1/7,4.0,8.5,-0.3
2018/1/8,5.7,10.2,1.8
2018/1/9,7.2,10.2,2.9
2018/1/10,3.1,6.0,0.4
2018/1/11,0.8,3.9,-1.3
2018/1/12,0.5,4.4,-2.0
2018/1/13,1.8,5.5,-2.3
2018/1/14,1.6,5.2,-1.8
2018/1/15,3.7,12.0,-2.7
2018/1/16,7.5,16.2,1.0
2018/1/17,9.7,13.2,7.2
2018/1/18,9.0,13.6,5.6
2018/1/19,6.4,11.2,2.6
2018/1/20,5.1,11.2,0.6
2018/1/21,5.1,11.2,0.6
2018/1/22,2.3,5.2,0.6
2018/1/23,4.6,10.0,0.7
2018/1/24,-0.1,3.5,-2.7
2018/1/25,-0.8,3.9,-3.9
2018/1/26,0.5,4.6,-1.7
2018/1/27,-0.1,5.7,-3.7
2018/1/28,0.7,4.7,-2.9
2018/1/29,3.5,8.2,-0.4
2018/1/30,1.3,5.9,-2.7
2018/1/31,2.1,5.8,-1.4
2018/2/1,1.8,3.1,0.4
2018/2/2,3.2,6.8,1.3
2018/2/3,3.0,7.7,-0.1
2018/2/4,1.6,4.3,-0.8
2018/2/5,0.8,4.1,-1.3
2018/2/6,0.1,3.7,-2.8
2018/2/7,0.7,4.4,-2.1
2018/2/8,1.4,6.8,-2.1
2018/2/9,2.5,9.0,-3.7
2018/2/10,3.9,7.5,0.9
2018/2/11,3.9,7.4,-0.8
2018/2/12,1.2,5.4,-1.7
2018/2/13,2.2,6.0,-0.6
2018/2/14,4.3,10.7,-2.3
2018/2/15,7.3,11.8,3.7
2018/2/16,5.9,11.7,0.2
2018/2/17,4.8,8.6,1.1
2018/2/18,2.4,7.7,-1.4
2018/2/19,3.9,8.7,-1.3
2018/2/20,6.1,12.8,0.7
2018/2/21,5.0,9.7,1.4
2018/2/22,4.8,9.8,-0.2
2018/2/23,4.9,10.8,0.0
2018/2/24,6.3,12.8,-0.4
2018/2/25,6.2,10.3,2.1
2018/2/26,7.3,12.8,3.4
2018/2/27,7.2,14.4,0.5
2018/2/28,9.7,17.1,1.5
2018/3/1,11.8,16.4,7.4
2018/3/2,7.2,12.3,2.8
2018/3/3,8.2,15.9,0.5
2018/3/4,13.2,22.5,5.0
2018/3/5,12.3,16.0,7.2
2018/3/6,6.8,11.7,2.0
2018/3/7,6.4,13.6,-0.2
2018/3/8,11.5,14.7,8.0
2018/3/9,7.0,11.5,3.1
2018/3/10,4.9,10.6,1.3
2018/3/11,6.2,13.8,-0.5
2018/3/12,7.8,14.8,1.9
2018/3/13,11.3,20.5,3.0
2018/3/14,13.9,22.1,6.9
2018/3/15,15.5,22.5,8.8
2018/3/16,9.2,16.2,2.9
2018/3/17,6.4,13.7,0.8
2018/3/18,10.6,18.6,2.1
2018/3/19,13.1,18.4,10.7
2018/3/20,7.5,11.4,5.0
2018/3/21,8.3,10.8,4.7
2018/3/22,9.2,12.2,6.1
2018/3/23,8.0,14.8,2.7
2018/3/24,9.0,16.6,1.3
2018/3/25,11.7,18.9,5.3
2018/3/26,13.2,21.8,6.2
2018/3/27,14.1,22.2,7.1
2018/3/28,15.8,24.0,8.6
2018/3/29,16.1,23.1,9.1
2018/3/30,11.6,18.4,5.7
2018/3/31,11.7,21.1,3.3
