É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:20

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1997/1/1,6.1,12.2,1.3
1997/1/2,7.6,15.8,2.8
1997/1/3,5.1,11.3,-0.7
1997/1/4,4.6,9.4,1.6
1997/1/5,2.9,7.3,0.3
1997/1/6,4.6,12.4,-0.1
1997/1/7,4.1,10.5,-2.5
1997/1/8,4.5,9.6,0.7
1997/1/9,4.1,9.7,0.6
1997/1/10,3.9,10.7,-1.6
1997/1/11,4.1,10.8,-2.0
1997/1/12,2.8,9.3,-2.1
1997/1/13,2.7,9.4,-2.4
1997/1/14,4.6,11.7,-2.1
1997/1/15,5.2,9.6,2.0
1997/1/16,2.3,8.4,-3.0
1997/1/17,4.6,11.8,-2.4
1997/1/18,5.8,15.2,-1.2
1997/1/19,6.6,11.2,2.9
1997/1/20,5.8,12.9,-0.5
1997/1/21,3.2,12.9,-1.7
1997/1/22,-0.6,3.0,-5.0
1997/1/23,4.8,10.6,-0.5
1997/1/24,4.9,11.0,-1.0
1997/1/25,4.1,9.4,0.9
1997/1/26,4.0,10.7,-1.6
1997/1/27,5.4,12.6,-1.4
1997/1/28,4.3,11.1,-2.1
1997/1/29,4.4,9.8,0.0
1997/1/30,2.2,7.1,-0.6
1997/1/31,3.8,9.0,-0.8
1997/2/1,4.0,9.8,0.3
1997/2/2,3.8,9.1,-2.1
1997/2/3,4.8,10.8,1.8
1997/2/4,3.9,7.4,0.5
1997/2/5,5.0,10.9,1.5
1997/2/6,5.3,10.2,2.3
1997/2/7,5.7,11.6,1.8
1997/2/8,5.1,10.9,0.1
1997/2/9,5.9,13.5,-0.4
1997/2/10,7.0,13.0,1.1
1997/2/11,5.6,10.2,2.3
1997/2/12,4.6,9.5,-0.6
1997/2/13,3.2,9.1,-1.3
1997/2/14,3.9,11.2,-2.4
1997/2/15,4.1,9.8,-2.3
1997/2/16,6.7,12.5,2.8
1997/2/17,6.1,10.6,2.5
1997/2/18,4.3,10.1,0.4
1997/2/19,3.2,8.4,-0.9
1997/2/20,5.3,13.6,-3.1
1997/2/21,2.4,8.7,-1.8
1997/2/22,-0.3,3.5,-4.6
1997/2/23,4.0,10.6,-1.7
1997/2/24,5.2,13.0,-1.8
1997/2/25,7.5,16.4,-1.2
1997/2/26,10.4,16.0,4.9
1997/2/27,8.5,15.1,3.5
1997/2/28,8.6,14.4,4.7
1997/3/1,8.9,17.9,3.8
1997/3/2,6.0,12.4,1.2
1997/3/3,5.2,9.0,2.2
1997/3/4,6.0,13.7,-1.9
1997/3/5,8.9,17.1,1.1
1997/3/6,9.6,17.4,2.3
1997/3/7,13.9,24.0,4.7
1997/3/8,10.9,17.1,6.1
1997/3/9,7.9,14.4,3.9
1997/3/10,8.5,14.5,2.4
1997/3/11,9.7,18.2,3.6
1997/3/12,8.1,14.8,3.8
1997/3/13,7.8,14.9,0.3
1997/3/14,12.5,20.1,4.3
1997/3/15,7.3,12.3,5.9
1997/3/16,5.2,6.4,3.8
1997/3/17,7.3,13.2,1.0
1997/3/18,8.6,14.6,3.1
1997/3/19,9.6,15.0,4.6
1997/3/20,9.7,14.5,4.9
1997/3/21,9.9,16.4,3.2
1997/3/22,10.2,15.2,7.6
1997/3/23,6.9,9.0,4.0
1997/3/24,5.2,9.4,1.7
1997/3/25,7.8,17.6,-1.5
1997/3/26,11.8,18.8,6.7
1997/3/27,9.1,11.8,7.9
1997/3/28,12.2,18.9,6.5
1997/3/29,10.5,13.0,6.9
1997/3/30,13.7,24.6,7.3
1997/3/31,10.3,16.4,5.1
1997/4/1,11.7,18.3,4.8
1997/4/2,12.5,17.4,8.9
1997/4/3,12.7,16.0,10.8
1997/4/4,15.1,20.9,11.1
1997/4/5,13.9,15.8,12.3
1997/4/6,13.1,14.3,12.5
1997/4/7,12.2,15.0,9.7
1997/4/8,16.8,24.0,10.3
1997/4/9,16.1,22.0,11.1
1997/4/10,14.2,20.3,9.1
1997/4/11,13.0,21.9,6.7
1997/4/12,13.2,21.8,4.9
1997/4/13,15.6,24.5,5.4
1997/4/14,16.0,24.1,8.0
1997/4/15,11.2,13.8,9.4
1997/4/16,11.9,18.3,7.5
1997/4/17,13.0,19.1,9.0
1997/4/18,15.4,22.2,8.8
1997/4/19,14.0,18.6,11.5
1997/4/20,14.8,20.7,11.1
1997/4/21,15.3,20.2,12.1
1997/4/22,15.6,21.5,12.1
1997/4/23,12.2,16.5,8.3
1997/4/24,12.8,18.5,8.1
1997/4/25,14.7,22.3,9.5
1997/4/26,16.1,24.2,8.0
1997/4/27,17.7,26.7,8.7
1997/4/28,14.4,17.7,11.7
1997/4/29,19.7,28.3,10.9
1997/4/30,18.4,23.7,12.7
1997/5/1,18.5,23.8,14.1
