ダウンロードした時刻：2019/10/10 15:59:54

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,16.8,23.0,11.2
1990/12/2,11.6,16.0,6.3
1990/12/3,8.8,14.2,5.4
1990/12/4,8.6,15.2,3.4
1990/12/5,9.2,15.8,3.8
1990/12/6,9.7,16.5,4.2
1990/12/7,10.0,16.9,4.3
1990/12/8,10.8,17.8,5.4
1990/12/9,11.8,14.6,6.8
1990/12/10,13.4,19.3,9.8
1990/12/11,12.8,20.3,8.3
1990/12/12,10.2,13.7,6.5
1990/12/13,9.4,14.8,4.4
1990/12/14,9.7,12.5,7.5
1990/12/15,10.4,16.1,7.0
1990/12/16,8.9,13.3,3.2
1990/12/17,7.9,11.4,3.2
1990/12/18,8.3,12.8,4.1
1990/12/19,7.1,12.8,3.1
1990/12/20,8.1,13.4,2.0
1990/12/21,9.9,14.5,5.8
1990/12/22,9.4,15.5,4.6
1990/12/23,7.6,12.4,1.6
1990/12/24,4.8,10.7,0.0
1990/12/25,5.9,12.4,0.6
1990/12/26,8.5,15.9,2.4
1990/12/27,5.9,8.6,2.0
1990/12/28,5.2,11.4,0.4
1990/12/29,7.6,12.8,1.6
1990/12/30,6.4,11.7,1.9
1990/12/31,8.6,13.1,2.4
1991/1/1,10.7,14.6,8.9
1991/1/2,11.0,15.9,7.9
1991/1/3,7.5,11.9,3.5
1991/1/4,6.6,10.8,1.3
1991/1/5,5.4,9.7,3.0
1991/1/6,5.0,7.6,2.9
1991/1/7,5.9,10.2,0.9
1991/1/8,7.3,10.7,2.9
1991/1/9,5.2,9.1,0.6
1991/1/10,6.2,12.3,-0.3
1991/1/11,6.9,11.9,1.7
1991/1/12,7.9,12.8,2.8
1991/1/13,5.7,8.7,1.9
1991/1/14,5.4,9.4,1.9
1991/1/15,4.8,10.2,0.2
1991/1/16,4.6,11.3,-0.7
1991/1/17,6.3,11.7,0.8
1991/1/18,4.6,9.8,0.8
1991/1/19,5.1,11.9,-0.1
1991/1/20,7.6,12.0,1.9
1991/1/21,8.6,9.2,7.8
1991/1/22,8.5,14.5,4.6
1991/1/23,5.3,8.4,-0.5
1991/1/24,5.3,10.3,-1.5
1991/1/25,9.2,14.9,4.5
1991/1/26,6.6,10.6,2.0
1991/1/27,5.0,11.1,-0.6
1991/1/28,4.7,8.6,0.0
1991/1/29,4.0,10.0,-1.0
1991/1/30,4.1,9.8,-0.9
1991/1/31,4.9,11.0,-0.6
1991/2/1,5.7,12.8,-0.5
1991/2/2,5.8,10.6,1.1
1991/2/3,4.4,9.8,-0.8
1991/2/4,7.4,11.6,2.6
1991/2/5,5.3,9.9,0.4
1991/2/6,4.5,10.3,-1.3
1991/2/7,7.1,12.6,2.3
1991/2/8,6.0,11.3,1.2
1991/2/9,5.3,11.4,-1.4
1991/2/10,8.5,12.5,5.1
1991/2/11,10.1,15.4,4.6
1991/2/12,8.9,13.3,5.9
1991/2/13,8.0,12.8,2.2
1991/2/14,9.4,12.1,6.6
1991/2/15,12.2,13.4,9.9
1991/2/16,9.3,12.8,6.3
1991/2/17,5.2,7.9,2.6
1991/2/18,4.6,8.0,1.2
1991/2/19,4.6,8.1,-0.1
1991/2/20,3.0,8.2,-0.8
1991/2/21,4.0,9.2,-1.3
1991/2/22,3.3,9.2,0.1
1991/2/23,1.3,4.6,-2.3
1991/2/24,2.3,6.6,-2.2
1991/2/25,3.2,8.7,-1.0
1991/2/26,3.8,10.9,-2.8
1991/2/27,7.2,13.0,-0.6
1991/2/28,12.9,18.5,8.0
1991/3/1,7.4,13.0,2.2
1991/3/2,5.9,11.8,-0.2
1991/3/3,6.9,13.7,0.9
1991/3/4,8.1,13.1,1.3
1991/3/5,10.8,15.0,8.4
1991/3/6,12.9,18.1,9.3
1991/3/7,12.0,18.5,5.1
1991/3/8,9.6,11.1,8.0
1991/3/9,13.2,18.3,7.9
1991/3/10,10.0,15.4,5.5
1991/3/11,10.5,12.0,8.9
1991/3/12,12.0,16.5,8.0
1991/3/13,10.7,16.3,5.8
1991/3/14,8.3,13.1,4.8
1991/3/15,6.2,10.8,1.1
1991/3/16,5.9,9.0,3.3
1991/3/17,8.4,14.1,2.9
1991/3/18,8.6,14.5,1.7
1991/3/19,10.4,14.9,4.3
1991/3/20,16.0,22.4,10.1
1991/3/21,12.8,15.4,9.2
1991/3/22,10.3,11.5,8.9
1991/3/23,13.5,20.6,10.1
1991/3/24,12.7,18.2,7.6
1991/3/25,13.4,18.2,8.6
1991/3/26,14.2,18.4,9.4
1991/3/27,14.2,15.7,12.7
1991/3/28,14.2,16.2,11.9
1991/3/29,12.3,16.2,7.0
1991/3/30,12.8,15.0,11.5
1991/3/31,12.2,14.0,10.1
