ダウンロードした時刻：2019/10/10 16:01:51

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,17.1,20.1,14.9
1990/12/2,12.0,15.0,10.1
1990/12/3,10.5,14.6,8.6
1990/12/4,9.8,13.0,7.4
1990/12/5,9.8,14.7,7.1
1990/12/6,10.1,14.7,7.3
1990/12/7,11.1,14.6,7.3
1990/12/8,12.0,16.2,8.0
1990/12/9,11.0,13.1,8.3
1990/12/10,13.5,16.8,10.6
1990/12/11,12.4,16.9,8.1
1990/12/12,12.0,16.5,8.4
1990/12/13,8.5,12.0,5.0
1990/12/14,11.9,15.0,8.6
1990/12/15,11.9,14.6,9.4
1990/12/16,8.7,11.7,6.7
1990/12/17,7.4,10.2,3.7
1990/12/18,7.3,10.5,4.8
1990/12/19,8.6,12.0,4.8
1990/12/20,8.0,10.3,5.6
1990/12/21,8.2,9.1,7.2
1990/12/22,11.7,14.3,6.5
1990/12/23,9.3,12.5,5.5
1990/12/24,7.5,10.9,5.0
1990/12/25,7.7,11.8,4.5
1990/12/26,9.7,13.2,5.2
1990/12/27,5.1,8.9,2.1
1990/12/28,6.8,10.3,2.1
1990/12/29,6.2,9.6,3.4
1990/12/30,6.5,10.6,3.5
1990/12/31,9.0,12.6,3.8
1991/1/1,9.6,11.4,7.9
1991/1/2,11.0,14.5,8.6
1991/1/3,9.2,12.9,6.1
1991/1/4,6.0,8.1,4.6
1991/1/5,5.2,8.3,3.9
1991/1/6,4.2,6.7,2.6
1991/1/7,5.9,10.1,3.3
1991/1/8,7.4,10.5,3.9
1991/1/9,5.3,9.0,1.7
1991/1/10,6.4,10.1,2.5
1991/1/11,7.7,10.8,3.6
1991/1/12,5.1,7.1,3.7
1991/1/13,6.0,10.4,3.2
1991/1/14,6.5,11.1,3.2
1991/1/15,5.4,9.5,2.0
1991/1/16,6.0,10.6,1.7
1991/1/17,7.0,12.1,3.3
1991/1/18,5.2,8.4,2.5
1991/1/19,6.7,10.6,2.0
1991/1/20,9.1,12.8,6.1
1991/1/21,6.6,8.1,5.4
1991/1/22,6.8,9.4,4.1
1991/1/23,4.3,7.1,1.0
1991/1/24,4.4,10.1,-0.6
1991/1/25,10.1,13.5,7.3
1991/1/26,7.0,10.2,4.9
1991/1/27,5.2,7.7,3.5
1991/1/28,4.5,7.9,1.6
1991/1/29,4.6,9.0,2.1
1991/1/30,5.1,8.2,2.9
1991/1/31,4.6,6.7,1.9
1991/2/1,6.3,10.5,2.5
1991/2/2,5.1,9.2,1.4
1991/2/3,4.9,8.2,1.2
1991/2/4,6.8,12.2,3.1
1991/2/5,6.0,10.6,3.0
1991/2/6,5.8,9.5,2.7
1991/2/7,6.5,10.7,4.0
1991/2/8,5.7,11.3,1.4
1991/2/9,5.2,10.4,0.5
1991/2/10,6.9,12.8,3.7
1991/2/11,9.3,12.5,6.2
1991/2/12,7.6,12.0,4.0
1991/2/13,6.7,9.7,2.9
1991/2/14,8.4,10.9,4.7
1991/2/15,10.3,15.2,7.0
1991/2/16,10.3,14.8,6.6
1991/2/17,7.0,10.5,3.8
1991/2/18,4.3,7.4,0.2
1991/2/19,5.7,8.5,2.9
1991/2/20,3.8,7.4,0.4
1991/2/21,4.3,7.4,2.4
1991/2/22,3.7,7.2,0.5
1991/2/23,2.6,5.1,0.5
1991/2/24,1.7,5.5,-0.2
1991/2/25,3.2,8.0,-0.5
1991/2/26,5.7,11.1,0.8
1991/2/27,7.9,11.8,3.4
1991/2/28,11.6,13.6,9.5
1991/3/1,4.9,11.2,1.7
1991/3/2,6.0,10.9,3.5
1991/3/3,6.8,12.0,3.2
1991/3/4,8.3,11.9,2.5
1991/3/5,11.0,15.6,9.0
1991/3/6,11.1,13.2,9.7
1991/3/7,10.9,14.6,6.2
1991/3/8,5.7,8.7,4.9
1991/3/9,9.9,17.1,4.7
1991/3/10,10.0,13.5,7.0
1991/3/11,6.9,9.9,5.2
1991/3/12,7.6,10.1,5.1
1991/3/13,10.3,15.8,7.5
1991/3/14,5.4,9.1,0.4
1991/3/15,5.0,9.8,-0.4
1991/3/16,7.5,9.9,4.9
1991/3/17,8.2,13.1,4.3
1991/3/18,8.8,13.2,5.0
1991/3/19,12.1,15.6,7.9
1991/3/20,14.9,17.7,13.2
1991/3/21,10.2,14.8,8.0
1991/3/22,7.7,10.9,6.0
1991/3/23,10.2,12.7,7.5
1991/3/24,13.6,17.9,9.6
1991/3/25,13.3,17.9,9.9
1991/3/26,12.8,17.4,9.9
1991/3/27,8.9,13.2,7.2
1991/3/28,8.9,9.5,8.0
1991/3/29,9.0,11.5,7.6
1991/3/30,12.2,17.7,8.3
1991/3/31,11.1,13.7,9.9
