ダウンロードした時刻：2019/10/10 16:23:17

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,15.0,17.0,13.6
2003/12/2,14.9,17.6,13.0
2003/12/3,13.6,17.9,8.4
2003/12/4,11.9,16.8,5.0
2003/12/5,15.0,17.7,12.2
2003/12/6,14.5,18.3,11.8
2003/12/7,7.4,12.2,6.1
2003/12/8,9.3,11.4,6.3
2003/12/9,9.2,11.8,4.5
2003/12/10,9.1,14.9,3.4
2003/12/11,10.3,11.8,8.7
2003/12/12,9.4,10.7,7.2
2003/12/13,8.5,10.7,7.2
2003/12/14,9.3,11.5,7.5
2003/12/15,9.9,12.0,8.5
2003/12/16,9.1,13.0,6.1
2003/12/17,10.0,13.3,7.5
2003/12/18,8.6,9.6,7.5
2003/12/19,5.7,7.9,4.3
2003/12/20,5.2,6.7,3.7
2003/12/21,7.4,10.2,2.8
2003/12/22,9.9,13.9,5.2
2003/12/23,10.4,16.3,4.7
2003/12/24,12.5,16.9,5.4
2003/12/25,11.1,17.3,4.3
2003/12/26,6.5,8.4,4.6
2003/12/27,5.0,7.7,0.8
2003/12/28,5.0,12.0,-0.7
2003/12/29,11.1,15.3,2.0
2003/12/30,10.5,13.6,7.0
2003/12/31,9.9,11.8,8.1
2004/1/1,10.6,13.2,7.8
2004/1/2,10.6,14.3,5.8
2004/1/3,9.0,11.7,5.9
2004/1/4,8.3,13.5,3.6
2004/1/5,8.3,14.2,3.0
2004/1/6,10.5,14.0,4.5
2004/1/7,11.2,13.9,8.6
2004/1/8,9.5,13.2,6.5
2004/1/9,8.4,12.6,3.7
2004/1/10,9.6,11.4,5.9
2004/1/11,9.9,12.8,7.2
2004/1/12,7.8,12.2,2.0
2004/1/13,5.4,8.8,3.2
2004/1/14,5.2,8.3,2.9
2004/1/15,7.6,11.2,2.1
2004/1/16,7.5,8.9,5.8
2004/1/17,7.5,12.0,3.3
2004/1/18,7.1,11.4,2.9
2004/1/19,6.4,7.9,5.1
2004/1/20,6.2,8.8,4.2
2004/1/21,2.6,5.3,-0.8
2004/1/22,1.0,3.3,-1.4
2004/1/23,3.0,5.8,1.2
2004/1/24,2.0,3.5,0.3
2004/1/25,2.7,4.3,0.8
2004/1/26,3.9,5.5,2.8
2004/1/27,4.8,7.1,3.5
2004/1/28,6.0,9.9,3.2
2004/1/29,6.2,11.3,1.6
2004/1/30,6.9,12.4,1.6
2004/1/31,6.6,13.7,-0.6
2004/2/1,9.9,16.2,2.7
2004/2/2,9.4,12.9,5.7
2004/2/3,5.1,7.7,3.8
2004/2/4,5.1,7.4,3.1
2004/2/5,5.0,7.7,2.8
2004/2/6,4.1,6.9,1.2
2004/2/7,4.8,6.5,3.4
2004/2/8,7.3,9.8,5.2
2004/2/9,7.5,10.1,0.7
2004/2/10,4.3,10.6,-1.4
2004/2/11,7.0,15.6,-0.5
2004/2/12,8.2,13.6,2.4
2004/2/13,7.8,14.5,0.0
2004/2/14,11.8,16.2,7.0
2004/2/15,8.6,11.7,5.9
2004/2/16,9.0,13.6,2.6
2004/2/17,9.8,15.1,2.6
2004/2/18,8.8,16.6,2.1
2004/2/19,11.7,15.4,6.2
2004/2/20,14.4,18.6,9.8
2004/2/21,16.4,18.9,10.6
2004/2/22,13.7,18.5,7.8
2004/2/23,7.9,12.0,2.1
2004/2/24,8.4,13.7,1.7
2004/2/25,12.0,18.5,6.6
2004/2/26,9.9,13.2,6.3
2004/2/27,6.6,12.1,1.1
2004/2/28,10.4,18.3,-0.3
2004/2/29,14.2,17.7,10.8
2004/3/1,9.2,12.6,6.1
2004/3/2,8.4,10.2,5.1
2004/3/3,6.4,10.8,0.9
2004/3/4,4.4,8.1,-0.9
2004/3/5,7.3,13.9,-2.0
2004/3/6,4.7,7.7,1.3
2004/3/7,4.1,6.9,1.1
2004/3/8,7.2,11.4,3.5
2004/3/9,8.3,14.0,1.2
2004/3/10,16.0,20.1,9.0
2004/3/11,15.8,18.6,12.2
2004/3/12,11.3,14.0,7.5
2004/3/13,10.8,17.3,4.4
2004/3/14,10.3,16.4,5.2
2004/3/15,11.0,19.0,4.0
2004/3/16,14.7,19.5,4.9
2004/3/17,16.2,19.5,10.6
2004/3/18,11.5,14.3,7.5
2004/3/19,10.3,14.7,4.8
2004/3/20,10.8,12.7,8.0
2004/3/21,10.5,12.4,9.5
2004/3/22,11.2,13.3,10.0
2004/3/23,11.8,16.8,7.9
2004/3/24,12.7,16.9,7.8
2004/3/25,11.5,15.0,7.9
2004/3/26,12.8,16.4,9.5
2004/3/27,12.9,17.1,7.8
2004/3/28,13.9,19.3,9.4
2004/3/29,15.5,20.6,7.3
2004/3/30,15.7,18.7,12.1
2004/3/31,11.8,16.0,5.7
