ダウンロードした時刻：2019/10/10 16:01:04

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,12.6,18.3,8.5
2018/12/2,10.6,12.0,8.8
2018/12/3,13.1,15.7,8.9
2018/12/4,17.9,23.3,12.0
2018/12/5,17.6,20.5,14.6
2018/12/6,10.7,14.7,8.8
2018/12/7,13.6,18.2,11.0
2018/12/8,10.4,13.0,9.3
2018/12/9,8.2,10.3,6.0
2018/12/10,7.0,9.6,5.6
2018/12/11,5.1,7.3,3.1
2018/12/12,7.4,10.9,3.6
2018/12/13,7.9,10.1,5.9
2018/12/14,6.9,10.5,4.0
2018/12/15,6.6,10.1,4.7
2018/12/16,4.5,6.9,2.0
2018/12/17,7.7,12.0,4.3
2018/12/18,9.4,13.4,6.3
2018/12/19,9.5,13.8,4.7
2018/12/20,9.9,14.0,6.4
2018/12/21,9.9,14.0,5.4
2018/12/22,10.2,12.0,8.9
2018/12/23,10.7,12.7,9.4
2018/12/24,8.5,11.5,5.4
2018/12/25,6.9,10.0,4.4
2018/12/26,8.1,12.0,3.2
2018/12/27,9.5,13.9,6.0
2018/12/28,5.4,8.8,2.9
2018/12/29,5.2,10.7,1.1
2018/12/30,5.5,10.4,2.4
2018/12/31,6.0,8.9,2.9
2019/1/1,6.8,11.4,3.6
2019/1/2,6.7,11.6,3.2
2019/1/3,5.8,11.3,1.5
2019/1/4,6.8,10.0,2.5
2019/1/5,8.1,14.5,2.8
2019/1/6,5.6,7.3,3.6
2019/1/7,6.7,11.5,2.6
2019/1/8,6.2,11.9,1.9
2019/1/9,5.4,8.7,2.5
2019/1/10,3.7,6.9,1.2
2019/1/11,7.5,13.3,1.8
2019/1/12,5.4,6.8,4.2
2019/1/13,7.3,11.0,4.8
2019/1/14,6.5,10.9,2.7
2019/1/15,6.8,11.6,2.2
2019/1/16,7.9,11.8,4.4
2019/1/17,7.7,12.2,4.1
2019/1/18,6.5,10.8,3.3
2019/1/19,7.4,12.0,3.3
2019/1/20,8.1,16.3,3.2
2019/1/21,6.6,10.5,3.2
2019/1/22,6.1,11.1,2.3
2019/1/23,7.6,12.0,3.0
2019/1/24,6.9,11.1,4.5
2019/1/25,5.9,8.0,3.4
2019/1/26,5.2,10.0,2.3
2019/1/27,5.6,10.1,2.3
2019/1/28,7.6,13.3,2.3
2019/1/29,6.8,10.9,3.7
2019/1/30,6.2,10.3,2.5
2019/1/31,5.7,10.5,2.1
2019/2/1,4.9,9.3,2.5
2019/2/2,7.3,13.1,1.0
2019/2/3,9.6,14.4,3.7
2019/2/4,14.1,20.6,6.8
2019/2/5,7.1,8.0,5.9
2019/2/6,6.6,8.3,5.2
2019/2/7,11.3,17.0,4.8
2019/2/8,6.5,12.3,4.0
2019/2/9,1.5,4.2,-0.2
2019/2/10,4.2,8.2,1.0
2019/2/11,3.6,5.1,1.5
2019/2/12,6.3,9.6,2.0
2019/2/13,5.8,8.9,4.1
2019/2/14,4.9,7.9,3.0
2019/2/15,3.3,5.4,0.9
2019/2/16,6.8,11.3,3.3
2019/2/17,6.8,11.7,4.7
2019/2/18,8.6,14.0,3.2
2019/2/19,9.9,12.8,6.7
2019/2/20,11.9,18.7,7.3
2019/2/21,10.5,14.9,8.0
2019/2/22,9.8,13.5,5.8
2019/2/23,9.5,14.5,6.5
2019/2/24,9.9,14.1,5.0
2019/2/25,13.6,18.1,11.2
2019/2/26,10.5,12.4,9.1
2019/2/27,8.3,10.8,6.2
2019/2/28,7.1,7.9,5.9
2019/3/1,9.3,11.8,7.2
2019/3/2,10.3,14.7,7.5
2019/3/3,6.9,10.0,5.1
2019/3/4,8.0,10.2,6.4
2019/3/5,9.9,14.0,5.7
2019/3/6,11.8,14.4,9.5
2019/3/7,8.6,10.8,6.3
2019/3/8,8.0,12.7,4.5
2019/3/9,10.9,17.0,4.8
2019/3/10,13.3,15.9,9.9
2019/3/11,12.9,18.1,9.9
2019/3/12,12.9,18.1,7.9
2019/3/13,12.2,17.6,7.2
2019/3/14,9.0,12.9,5.4
2019/3/15,10.1,15.1,5.6
2019/3/16,9.8,13.6,7.3
2019/3/17,9.9,15.9,5.8
2019/3/18,10.6,15.5,6.0
2019/3/19,13.9,18.7,8.9
2019/3/20,15.1,20.9,9.9
2019/3/21,17.3,21.0,14.1
2019/3/22,16.8,22.1,9.4
2019/3/23,6.6,9.5,4.0
2019/3/24,8.5,14.0,2.3
2019/3/25,10.7,15.7,5.2
2019/3/26,11.4,14.2,9.4
2019/3/27,14.0,19.0,7.9
2019/3/28,13.7,17.2,9.7
2019/3/29,8.3,9.7,7.4
2019/3/30,9.5,13.2,7.6
2019/3/31,11.3,15.6,8.0
