ダウンロードした時刻：2019/10/10 15:40:18

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,7.5,12.1,3.6
2013/12/2,7.3,13.2,2.3
2013/12/3,7.6,12.6,2.5
2013/12/4,7.8,12.2,4.2
2013/12/5,8.8,14.3,3.3
2013/12/6,9.0,12.9,5.2
2013/12/7,4.5,7.8,2.1
2013/12/8,3.5,5.5,2.0
2013/12/9,6.4,9.9,2.2
2013/12/10,7.2,12.3,4.3
2013/12/11,8.0,11.0,5.4
2013/12/12,3.9,7.1,1.5
2013/12/13,4.6,10.6,-0.3
2013/12/14,0.7,5.0,-1.5
2013/12/15,0.6,2.8,-1.5
2013/12/16,4.5,7.7,1.0
2013/12/17,5.4,9.3,1.7
2013/12/18,3.6,6.1,0.4
2013/12/19,4.7,6.2,3.5
2013/12/20,3.6,5.3,1.8
2013/12/21,3.8,5.8,1.9
2013/12/22,2.7,5.6,-0.3
2013/12/23,3.3,6.2,0.4
2013/12/24,2.5,6.4,-0.3
2013/12/25,3.5,8.3,-1.8
2013/12/26,4.1,8.8,-0.2
2013/12/27,4.1,6.1,1.1
2013/12/28,1.1,3.5,-0.7
2013/12/29,1.9,4.9,-0.8
2013/12/30,4.7,8.5,1.4
2013/12/31,5.0,8.2,1.6
2014/1/1,5.4,9.9,1.2
2014/1/2,1.7,3.3,0.2
2014/1/3,3.9,7.9,-0.6
2014/1/4,3.0,7.1,-1.2
2014/1/5,0.7,4.5,-2.4
2014/1/6,0.8,4.5,-3.3
2014/1/7,3.1,8.0,-1.7
2014/1/8,4.8,9.0,0.7
2014/1/9,1.9,6.0,-1.6
2014/1/10,-1.4,1.4,-3.1
2014/1/11,-0.1,3.4,-3.8
2014/1/12,1.8,8.1,-3.5
2014/1/13,-0.7,1.5,-3.2
2014/1/14,-0.2,3.0,-3.0
2014/1/15,0.5,5.4,-4.0
2014/1/16,1.4,5.3,-2.3
2014/1/17,1.0,4.6,-1.0
2014/1/18,1.0,6.2,-2.6
2014/1/19,0.6,3.3,-1.6
2014/1/20,2.1,6.2,-1.7
2014/1/21,3.1,7.7,-0.5
2014/1/22,1.3,4.3,-1.3
2014/1/23,0.0,3.0,-2.6
2014/1/24,1.4,7.3,-4.6
2014/1/25,6.4,9.8,1.9
2014/1/26,3.9,9.2,-2.1
2014/1/27,-0.2,3.5,-2.9
2014/1/28,3.1,10.7,-3.7
2014/1/29,1.8,4.9,-1.5
2014/1/30,5.0,11.9,-2.2
2014/1/31,1.8,10.5,-0.9
2014/2/1,2.8,7.3,-2.4
2014/2/2,4.6,9.3,1.6
2014/2/3,7.7,13.2,3.0
2014/2/4,0.6,4.1,-2.1
2014/2/5,-3.1,-1.1,-4.9
2014/2/6,-1.4,2.5,-4.4
2014/2/7,-1.6,1.8,-3.9
2014/2/8,-3.5,-2.5,-4.7
2014/2/9,0.4,3.3,-2.6
2014/2/10,0.1,5.2,-4.0
2014/2/11,0.8,4.3,-2.5
2014/2/12,0.5,4.9,-3.6
2014/2/13,0.3,4.2,-3.5
2014/2/14,-0.4,2.3,-2.7
2014/2/15,0.9,3.7,-1.6
2014/2/16,3.7,6.5,-0.1
2014/2/17,1.5,4.3,-1.1
2014/2/18,-0.1,2.5,-2.1
2014/2/19,-0.5,3.3,-2.7
2014/2/20,1.0,5.4,-4.3
2014/2/21,0.5,3.1,-2.6
2014/2/22,-0.2,3.5,-2.7
2014/2/23,0.5,5.1,-4.1
2014/2/24,1.8,7.0,-3.9
2014/2/25,3.9,8.8,-2.1
2014/2/26,5.3,9.7,1.1
2014/2/27,5.9,11.7,1.5
2014/2/28,8.0,12.3,3.6
2014/3/1,4.5,7.9,1.2
2014/3/2,2.7,3.9,0.9
2014/3/3,1.9,6.0,0.3
2014/3/4,3.2,7.4,-0.7
2014/3/5,3.9,5.5,1.6
2014/3/6,0.2,5.5,-2.4
2014/3/7,-0.4,3.6,-3.4
2014/3/8,0.2,3.7,-1.9
2014/3/9,2.8,7.8,-1.0
2014/3/10,0.7,4.4,-2.1
2014/3/11,2.7,6.7,-1.5
2014/3/12,3.0,4.2,1.3
2014/3/13,4.0,5.0,2.6
2014/3/14,4.3,8.1,1.2
2014/3/15,3.5,8.3,-0.4
2014/3/16,6.0,13.5,-0.3
2014/3/17,6.3,11.5,1.2
2014/3/18,7.6,13.5,2.4
2014/3/19,6.8,10.2,4.8
2014/3/20,3.4,6.1,0.6
2014/3/21,2.5,5.5,0.3
2014/3/22,5.2,9.0,1.8
2014/3/23,5.9,9.8,2.1
2014/3/24,10.0,17.1,1.2
2014/3/25,14.1,19.2,8.4
2014/3/26,12.8,18.3,9.9
2014/3/27,10.4,16.4,6.2
2014/3/28,10.6,18.1,4.3
2014/3/29,13.8,22.8,6.9
2014/3/30,8.7,12.2,7.3
2014/3/31,9.9,13.8,6.2
