ダウンロードした時刻：2019/10/10 15:47:05

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,8.2,11.4,6.1
1999/12/2,8.9,12.3,7.0
1999/12/3,6.2,8.2,3.2
1999/12/4,7.8,12.8,3.0
1999/12/5,8.7,11.3,7.1
1999/12/6,8.6,12.7,4.7
1999/12/7,5.2,8.0,2.9
1999/12/8,4.9,9.0,1.9
1999/12/9,10.6,17.5,5.6
1999/12/10,9.1,15.3,3.6
1999/12/11,6.8,12.8,4.0
1999/12/12,3.4,8.2,0.4
1999/12/13,3.6,10.2,0.4
1999/12/14,0.7,1.8,0.2
1999/12/15,3.2,7.3,-0.3
1999/12/16,7.2,12.5,0.9
1999/12/17,6.0,9.2,2.2
1999/12/18,0.9,2.9,0.1
1999/12/19,0.6,2.4,0.1
1999/12/20,1.8,3.8,-0.6
1999/12/21,2.3,6.9,-0.5
1999/12/22,2.7,7.0,0.4
1999/12/23,2.3,4.6,-0.3
1999/12/24,4.0,11.0,-1.5
1999/12/25,4.7,7.8,0.4
1999/12/26,2.6,7.3,0.3
1999/12/27,2.3,6.4,0.4
1999/12/28,5.3,11.9,0.2
1999/12/29,4.6,7.7,1.2
1999/12/30,6.0,11.5,1.5
1999/12/31,6.1,12.2,0.0
2000/1/1,4.6,6.7,2.9
2000/1/2,5.5,9.6,1.5
2000/1/3,7.6,12.0,5.3
2000/1/4,6.7,7.9,5.2
2000/1/5,5.6,9.9,1.7
2000/1/6,11.4,17.7,0.8
2000/1/7,8.4,15.5,5.0
2000/1/8,6.2,10.7,2.9
2000/1/9,6.9,11.3,3.3
2000/1/10,7.3,14.5,4.5
2000/1/11,4.3,6.2,2.3
2000/1/12,4.3,8.4,1.3
2000/1/13,9.0,12.3,6.2
2000/1/14,8.2,12.9,4.9
2000/1/15,4.3,6.9,1.6
2000/1/16,5.0,9.1,0.5
2000/1/17,5.4,8.0,3.6
2000/1/18,3.6,5.0,2.3
2000/1/19,5.2,11.4,-1.2
2000/1/20,3.9,8.8,-0.4
2000/1/21,0.4,2.4,-1.5
2000/1/22,0.2,2.8,-2.6
2000/1/23,1.7,7.5,-2.4
2000/1/24,5.1,9.8,1.1
2000/1/25,-0.5,1.2,-1.2
2000/1/26,-1.0,2.2,-2.1
2000/1/27,-1.4,-0.7,-2.6
2000/1/28,1.1,5.7,-4.1
2000/1/29,2.4,7.8,-1.8
2000/1/30,3.5,9.8,-4.6
2000/1/31,1.2,2.3,-0.8
2000/2/1,0.7,4.4,-1.5
2000/2/2,2.3,8.2,-1.9
2000/2/3,3.1,7.4,0.4
2000/2/4,1.8,3.9,0.2
2000/2/5,2.7,7.5,-0.3
2000/2/6,3.0,6.2,-0.2
2000/2/7,4.9,8.1,0.5
2000/2/8,2.7,8.3,-1.4
2000/2/9,2.2,4.6,-0.4
2000/2/10,1.7,6.2,-2.1
2000/2/11,2.6,6.4,-2.1
2000/2/12,5.1,9.4,1.5
2000/2/13,2.6,6.1,0.9
2000/2/14,4.9,10.1,0.3
2000/2/15,-0.1,3.2,-1.9
2000/2/16,-0.9,0.1,-2.7
2000/2/17,-0.8,3.5,-2.7
2000/2/18,0.6,2.1,-0.8
2000/2/19,1.0,4.8,-2.0
2000/2/20,2.1,5.5,-0.4
2000/2/21,1.1,2.7,-1.2
2000/2/22,0.2,2.0,-1.8
2000/2/23,1.1,4.9,-0.9
2000/2/24,-0.6,1.7,-2.6
2000/2/25,-1.4,1.9,-4.6
2000/2/26,-0.3,3.9,-5.5
2000/2/27,1.7,5.1,-0.4
2000/2/28,-0.1,2.7,-2.6
2000/2/29,-0.8,0.7,-2.1
2000/3/1,0.6,4.9,-2.6
2000/3/2,3.0,10.6,-3.9
2000/3/3,4.4,10.8,-1.1
2000/3/4,5.8,10.9,-0.9
2000/3/5,5.2,7.8,0.5
2000/3/6,2.8,8.1,-2.4
2000/3/7,3.3,8.7,-1.0
2000/3/8,0.4,3.1,-0.5
2000/3/9,-0.4,2.2,-1.6
2000/3/10,0.8,5.1,-2.9
2000/3/11,4.2,9.8,-3.0
2000/3/12,3.8,7.8,1.5
2000/3/13,3.3,8.1,-0.3
2000/3/14,2.2,6.1,-2.1
2000/3/15,3.2,6.9,0.3
2000/3/16,5.7,11.3,1.3
2000/3/17,4.1,6.3,0.9
2000/3/18,5.8,13.6,0.2
2000/3/19,9.8,16.6,4.4
2000/3/20,5.2,7.2,2.7
2000/3/21,4.3,8.1,0.7
2000/3/22,4.4,8.0,0.7
2000/3/23,8.1,17.1,-0.1
2000/3/24,6.0,10.1,2.2
2000/3/25,3.2,5.1,1.5
2000/3/26,2.1,4.2,0.5
2000/3/27,5.2,10.8,0.5
2000/3/28,13.6,17.9,1.9
2000/3/29,9.9,14.6,5.4
2000/3/30,8.6,12.7,5.1
2000/3/31,10.1,17.6,4.2
