ダウンロードした時刻：2019/10/10 16:11:09

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,12.1,14.6,10.2
2002/12/2,11.7,15.9,8.9
2002/12/3,11.6,14.8,7.4
2002/12/4,13.4,16.5,10.5
2002/12/5,14.5,19.2,11.1
2002/12/6,10.7,13.5,8.6
2002/12/7,8.5,9.1,7.6
2002/12/8,8.5,10.3,6.8
2002/12/9,7.8,11.4,5.7
2002/12/10,5.1,8.6,2.5
2002/12/11,4.1,7.3,1.6
2002/12/12,5.9,9.2,2.6
2002/12/13,5.0,8.1,2.6
2002/12/14,6.2,9.5,4.4
2002/12/15,6.8,11.3,2.6
2002/12/16,10.9,14.8,5.3
2002/12/17,9.6,13.5,5.7
2002/12/18,8.1,10.3,5.8
2002/12/19,9.0,10.5,7.8
2002/12/20,8.3,10.2,6.7
2002/12/21,9.4,11.3,6.4
2002/12/22,10.4,12.8,7.9
2002/12/23,8.6,11.1,6.4
2002/12/24,8.9,12.8,5.3
2002/12/25,8.2,11.8,3.7
2002/12/26,4.4,7.3,1.9
2002/12/27,3.9,7.5,1.5
2002/12/28,5.6,8.9,1.2
2002/12/29,6.2,9.2,4.2
2002/12/30,6.3,10.4,2.5
2002/12/31,7.6,11.3,4.6
2003/1/1,6.4,9.2,3.7
2003/1/2,3.7,6.0,1.9
2003/1/3,4.8,7.6,2.8
2003/1/4,4.2,7.0,0.9
2003/1/5,0.7,3.4,-1.0
2003/1/6,2.0,7.3,-1.8
2003/1/7,4.1,7.8,0.6
2003/1/8,4.4,8.3,1.3
2003/1/9,5.4,9.3,1.4
2003/1/10,6.7,10.8,3.1
2003/1/11,7.5,10.6,5.1
2003/1/12,7.8,11.6,4.7
2003/1/13,6.9,10.8,3.3
2003/1/14,7.5,12.0,3.8
2003/1/15,2.5,5.7,0.4
2003/1/16,3.4,6.6,-0.4
2003/1/17,6.5,11.4,2.0
2003/1/18,8.2,12.1,4.7
2003/1/19,6.6,8.3,5.1
2003/1/20,6.5,8.9,4.9
2003/1/21,4.9,8.8,2.3
2003/1/22,5.4,7.5,2.0
2003/1/23,6.5,9.6,4.2
2003/1/24,4.3,7.7,2.2
2003/1/25,4.8,7.9,2.1
2003/1/26,6.3,9.2,2.4
2003/1/27,9.8,11.1,7.2
2003/1/28,4.6,8.4,1.8
2003/1/29,-0.4,3.0,-3.5
2003/1/30,0.7,4.2,-3.4
2003/1/31,4.1,8.0,0.7
2003/2/1,3.9,7.4,1.6
2003/2/2,3.5,7.9,1.2
2003/2/3,4.3,8.1,1.6
2003/2/4,4.9,8.2,1.2
2003/2/5,5.2,9.1,2.9
2003/2/6,4.7,9.3,1.9
2003/2/7,6.3,11.3,2.2
2003/2/8,9.0,14.0,4.0
2003/2/9,10.6,13.9,7.3
2003/2/10,9.7,13.4,5.7
2003/2/11,9.6,10.7,8.1
2003/2/12,6.0,9.0,4.1
2003/2/13,5.9,9.6,3.0
2003/2/14,6.1,10.1,2.7
2003/2/15,7.0,10.2,2.8
2003/2/16,7.5,8.7,5.5
2003/2/17,7.8,12.1,4.7
2003/2/18,6.2,9.2,2.4
2003/2/19,7.5,10.6,4.5
2003/2/20,5.6,8.1,3.1
2003/2/21,5.8,9.1,2.6
2003/2/22,6.8,9.5,5.8
2003/2/23,7.8,10.6,6.3
2003/2/24,7.2,10.0,5.9
2003/2/25,6.9,9.1,4.0
2003/2/26,8.1,12.7,4.6
2003/2/27,6.7,9.3,3.7
2003/2/28,6.6,10.8,1.7
2003/3/1,9.7,13.0,7.6
2003/3/2,9.7,13.7,7.0
2003/3/3,8.7,13.2,4.0
2003/3/4,2.6,5.7,1.1
2003/3/5,3.4,6.6,1.0
2003/3/6,7.2,11.4,3.0
2003/3/7,10.3,13.4,6.2
2003/3/8,5.8,9.5,3.7
2003/3/9,4.2,7.0,3.0
2003/3/10,4.1,6.9,2.7
2003/3/11,4.6,8.3,1.4
2003/3/12,5.6,9.9,3.3
2003/3/13,6.1,9.5,2.0
2003/3/14,7.9,11.3,3.0
2003/3/15,7.8,9.8,6.4
2003/3/16,7.8,9.4,5.0
2003/3/17,9.7,12.8,7.8
2003/3/18,8.6,12.4,5.6
2003/3/19,6.7,10.0,3.3
2003/3/20,7.5,12.5,3.4
2003/3/21,8.3,12.9,3.6
2003/3/22,8.6,10.3,5.9
2003/3/23,8.6,13.1,3.7
2003/3/24,11.9,16.1,7.5
2003/3/25,12.5,16.9,9.7
2003/3/26,12.0,15.2,7.9
2003/3/27,13.3,18.0,8.8
2003/3/28,11.4,13.8,8.0
2003/3/29,10.7,14.8,7.2
2003/3/30,10.3,15.0,4.9
2003/3/31,14.7,19.0,9.6
