ダウンロードした時刻：2019/10/10 16:22:35

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,12.1,17.9,7.0
2009/12/2,11.5,17.2,6.2
2009/12/3,13.4,17.4,11.1
2009/12/4,12.3,15.6,8.1
2009/12/5,11.7,18.6,6.2
2009/12/6,8.6,11.6,5.8
2009/12/7,7.3,12.5,2.7
2009/12/8,9.0,14.4,4.6
2009/12/9,9.3,11.8,6.2
2009/12/10,11.3,13.1,8.7
2009/12/11,14.7,19.5,11.2
2009/12/12,12.9,18.5,8.2
2009/12/13,10.9,13.9,7.6
2009/12/14,10.7,15.6,6.8
2009/12/15,8.4,12.4,5.3
2009/12/16,6.4,9.9,3.0
2009/12/17,4.5,8.1,0.6
2009/12/18,4.1,6.6,2.4
2009/12/19,4.2,8.0,1.2
2009/12/20,5.5,9.6,2.7
2009/12/21,5.8,9.7,1.1
2009/12/22,5.6,12.5,-0.8
2009/12/23,9.5,17.2,2.8
2009/12/24,9.1,14.4,5.3
2009/12/25,8.9,12.5,5.2
2009/12/26,8.9,12.1,6.7
2009/12/27,6.5,11.6,1.4
2009/12/28,6.4,9.1,4.2
2009/12/29,5.5,10.8,0.8
2009/12/30,7.5,16.3,3.4
2009/12/31,3.0,5.9,1.1
2010/1/1,3.2,6.5,0.3
2010/1/2,5.7,11.2,-0.5
2010/1/3,7.8,11.7,2.5
2010/1/4,6.9,14.7,-1.2
2010/1/5,6.0,10.3,3.8
2010/1/6,4.3,7.1,2.9
2010/1/7,4.4,7.4,2.3
2010/1/8,5.5,10.9,1.3
2010/1/9,6.3,11.5,1.0
2010/1/10,8.5,10.7,6.6
2010/1/11,8.5,13.4,4.3
2010/1/12,6.3,8.6,1.1
2010/1/13,0.9,3.4,-1.1
2010/1/14,2.7,6.7,0.0
2010/1/15,3.6,6.7,0.2
2010/1/16,5.4,10.1,1.4
2010/1/17,5.0,11.7,-1.1
2010/1/18,5.5,13.6,-1.0
2010/1/19,6.9,13.4,0.5
2010/1/20,11.9,19.6,3.6
2010/1/21,13.3,19.1,9.8
2010/1/22,8.7,14.5,6.0
2010/1/23,5.7,8.9,2.2
2010/1/24,4.9,12.3,-0.5
2010/1/25,6.8,11.4,1.4
2010/1/26,7.3,11.6,1.8
2010/1/27,7.2,14.1,-1.5
2010/1/28,11.8,15.9,5.9
2010/1/29,9.1,13.8,4.8
2010/1/30,8.1,13.6,1.8
2010/1/31,8.6,9.8,7.6
2010/2/1,7.8,9.1,6.2
2010/2/2,7.6,11.4,5.1
2010/2/3,5.8,9.4,2.3
2010/2/4,4.3,7.9,1.2
2010/2/5,6.3,10.1,2.1
2010/2/6,5.7,8.6,0.8
2010/2/7,4.3,9.0,-0.7
2010/2/8,11.8,19.9,4.6
2010/2/9,14.7,18.2,11.1
2010/2/10,15.4,21.2,12.6
2010/2/11,11.0,14.7,6.9
2010/2/12,7.9,10.7,6.3
2010/2/13,6.9,9.8,4.2
2010/2/14,5.7,9.2,1.3
2010/2/15,7.7,9.5,5.6
2010/2/16,7.2,9.4,5.1
2010/2/17,5.6,8.3,3.0
2010/2/18,5.3,10.4,1.7
2010/2/19,4.8,8.9,2.0
2010/2/20,6.8,11.5,2.3
2010/2/21,6.4,11.9,0.5
2010/2/22,8.7,13.5,2.8
2010/2/23,11.1,16.6,6.1
2010/2/24,13.0,18.7,6.5
2010/2/25,17.1,21.2,10.3
2010/2/26,16.5,19.2,13.2
2010/2/27,12.6,14.8,11.0
2010/2/28,12.6,16.8,9.1
2010/3/1,11.5,16.0,6.7
2010/3/2,12.4,14.3,11.3
2010/3/3,11.4,13.3,10.1
2010/3/4,11.6,16.2,8.4
2010/3/5,14.0,16.1,12.4
2010/3/6,12.3,14.4,10.5
2010/3/7,9.6,10.5,8.8
2010/3/8,8.6,9.5,7.8
2010/3/9,6.0,8.1,4.8
2010/3/10,4.8,7.4,2.3
2010/3/11,6.8,12.2,1.9
2010/3/12,10.6,18.4,1.7
2010/3/13,14.1,17.0,12.5
2010/3/14,12.1,13.9,9.6
2010/3/15,17.2,19.9,11.7
2010/3/16,12.3,16.7,7.6
2010/3/17,9.8,14.6,5.4
2010/3/18,9.6,18.6,2.9
2010/3/19,9.7,14.6,4.3
2010/3/20,18.0,29.3,7.3
2010/3/21,12.5,18.7,7.7
2010/3/22,9.8,15.3,4.0
2010/3/23,10.7,12.1,10.1
2010/3/24,9.3,10.6,8.6
2010/3/25,9.1,11.2,7.5
2010/3/26,7.4,10.6,2.7
2010/3/27,7.3,13.3,-0.3
2010/3/28,10.5,15.4,7.0
2010/3/29,9.6,14.3,6.6
2010/3/30,7.7,12.1,2.8
2010/3/31,12.8,19.9,7.2
