ダウンロードした時刻：2019/10/10 16:04:48

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,3.1,8.2,-0.2
1987/12/2,1.9,4.5,-0.2
1987/12/3,4.0,8.9,0.8
1987/12/4,3.1,4.6,1.9
1987/12/5,4.9,9.0,1.6
1987/12/6,4.6,7.1,2.3
1987/12/7,3.9,8.6,0.4
1987/12/8,4.7,12.1,-1.0
1987/12/9,6.5,9.8,3.6
1987/12/10,7.9,14.9,2.0
1987/12/11,7.1,9.8,4.9
1987/12/12,6.1,8.9,3.8
1987/12/13,5.4,9.0,4.1
1987/12/14,7.5,11.5,4.5
1987/12/15,8.1,12.8,2.5
1987/12/16,7.0,10.6,1.8
1987/12/17,5.3,8.7,1.5
1987/12/18,5.2,9.5,0.2
1987/12/19,7.3,13.7,2.6
1987/12/20,7.3,13.4,1.0
1987/12/21,7.4,10.0,5.4
1987/12/22,7.9,13.3,1.2
1987/12/23,7.9,13.5,2.3
1987/12/24,6.4,15.5,0.3
1987/12/25,11.3,18.8,1.8
1987/12/26,12.6,19.7,8.9
1987/12/27,10.9,18.8,5.8
1987/12/28,12.2,21.5,4.0
1987/12/29,13.5,20.5,7.2
1987/12/30,9.2,15.3,4.7
1987/12/31,4.6,9.5,0.5
1988/1/1,7.0,13.9,-0.4
1988/1/2,9.1,10.5,7.3
1988/1/3,8.0,12.4,4.8
1988/1/4,7.1,8.8,3.6
1988/1/5,4.4,7.1,3.1
1988/1/6,3.7,7.9,-1.9
1988/1/7,5.3,8.2,-2.0
1988/1/8,7.7,11.6,5.2
1988/1/9,4.5,8.6,0.5
1988/1/10,0.6,2.1,0.1
1988/1/11,1.6,4.0,-0.3
1988/1/12,3.4,7.2,0.6
1988/1/13,4.1,11.4,0.1
1988/1/14,7.4,15.6,0.2
1988/1/15,7.5,9.9,6.2
1988/1/16,8.6,13.7,5.8
1988/1/17,5.2,8.2,2.7
1988/1/18,4.9,6.2,1.4
1988/1/19,4.1,9.1,1.3
1988/1/20,5.8,13.8,-0.2
1988/1/21,9.6,15.6,0.4
1988/1/22,10.7,16.8,8.3
1988/1/23,2.4,10.7,-1.6
1988/1/24,0.8,2.8,-2.2
1988/1/25,3.9,7.7,1.4
1988/1/26,5.0,7.5,2.4
1988/1/27,3.9,7.8,1.1
1988/1/28,4.9,8.4,1.1
1988/1/29,8.5,14.0,2.0
1988/1/30,6.4,9.5,3.5
1988/1/31,3.2,5.8,1.8
1988/2/1,4.1,9.8,1.2
1988/2/2,3.8,9.1,-2.6
1988/2/3,-2.7,-1.1,-3.6
1988/2/4,2.6,6.3,-2.3
1988/2/5,7.8,12.0,4.2
1988/2/6,3.7,8.7,-0.5
1988/2/7,-0.5,1.1,-1.8
1988/2/8,0.1,3.1,-1.4
1988/2/9,0.8,4.1,-0.4
1988/2/10,2.0,3.8,-0.5
1988/2/11,2.0,4.2,0.3
1988/2/12,3.3,8.2,-0.4
1988/2/13,3.4,7.8,0.5
1988/2/14,3.2,8.8,0.2
1988/2/15,1.1,2.4,0.4
1988/2/16,1.1,3.0,0.4
1988/2/17,1.2,5.0,-0.8
1988/2/18,0.7,3.4,0.1
1988/2/19,1.7,6.8,-1.3
1988/2/20,2.5,6.0,-1.0
1988/2/21,2.6,4.8,1.0
1988/2/22,4.6,10.7,-1.9
1988/2/23,4.9,7.4,3.1
1988/2/24,4.2,8.0,1.7
1988/2/25,4.0,9.2,0.7
1988/2/26,4.7,9.0,1.5
1988/2/27,4.4,6.7,2.2
1988/2/28,4.6,10.5,0.5
1988/2/29,4.6,9.8,0.1
1988/3/1,5.1,6.9,3.6
1988/3/2,5.2,8.3,2.7
1988/3/3,1.1,4.5,-0.4
1988/3/4,2.2,5.9,-0.8
1988/3/5,3.8,8.0,0.4
1988/3/6,2.6,7.2,-1.1
1988/3/7,0.7,3.8,-0.7
1988/3/8,1.6,6.5,-2.5
1988/3/9,3.7,8.5,-0.7
1988/3/10,6.0,13.1,1.1
1988/3/11,12.8,17.0,5.6
1988/3/12,9.7,14.9,6.2
1988/3/13,9.1,16.8,2.9
1988/3/14,10.8,17.8,5.1
1988/3/15,5.6,10.2,2.6
1988/3/16,3.6,5.6,2.0
1988/3/17,2.6,4.7,0.8
1988/3/18,5.6,11.2,2.0
1988/3/19,7.7,13.1,1.8
1988/3/20,7.3,11.1,2.8
1988/3/21,7.9,11.5,3.6
1988/3/22,9.4,13.5,7.0
1988/3/23,9.1,12.0,6.9
1988/3/24,6.4,11.7,1.9
1988/3/25,6.8,8.6,3.0
1988/3/26,6.8,7.9,4.9
1988/3/27,5.8,10.3,0.3
1988/3/28,7.0,15.3,-1.1
1988/3/29,8.2,12.7,4.7
1988/3/30,8.5,11.8,5.8
1988/3/31,7.4,12.6,1.3
