ダウンロードした時刻：2019/10/10 15:37:36

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1980/12/1,8.5,12.8,1.5
1980/12/2,6.7,11.8,-1.2
1980/12/3,10.2,14.4,6.1
1980/12/4,5.1,9.6,1.6
1980/12/5,2.3,7.5,-1.1
1980/12/6,3.6,9.3,-0.2
1980/12/7,4.8,9.2,1.8
1980/12/8,1.5,5.8,-2.4
1980/12/9,0.5,4.8,-3.5
1980/12/10,3.0,8.7,-1.6
1980/12/11,4.2,11.0,-2.3
1980/12/12,8.3,14.9,2.1
1980/12/13,1.5,7.3,-1.3
1980/12/14,-0.8,0.5,-2.1
1980/12/15,2.1,4.5,-1.7
1980/12/16,2.7,7.1,-2.5
1980/12/17,1.5,6.9,-4.9
1980/12/18,2.4,7.0,-1.8
1980/12/19,0.2,3.2,-3.1
1980/12/20,-0.3,5.3,-5.5
1980/12/21,-0.3,4.4,-4.7
1980/12/22,-1.1,4.8,-5.9
1980/12/23,-0.3,5.0,-6.8
1980/12/24,2.6,4.1,-0.7
1980/12/25,1.5,5.0,-2.0
1980/12/26,1.1,5.0,-1.9
1980/12/27,1.8,4.8,-1.0
1980/12/28,1.5,5.4,-2.4
1980/12/29,3.4,7.5,-0.4
1980/12/30,3.9,7.7,-0.9
1980/12/31,2.6,7.1,-2.0
1981/1/1,1.1,6.5,-2.6
1981/1/2,2.1,6.0,-3.2
1981/1/3,2.1,5.4,0.1
1981/1/4,-0.4,2.4,-3.8
1981/1/5,-1.4,4.1,-6.2
1981/1/6,-0.5,3.3,-3.5
1981/1/7,-3.0,0.0,-6.9
1981/1/8,-1.6,2.0,-7.5
1981/1/9,1.8,5.2,-1.5
1981/1/10,0.9,5.0,-3.8
1981/1/11,-0.3,3.9,-2.5
1981/1/12,-1.5,1.6,-3.5
1981/1/13,-1.9,2.5,-4.6
1981/1/14,-1.4,5.1,-6.4
1981/1/15,-2.0,4.3,-6.5
1981/1/16,-1.6,3.8,-6.1
1981/1/17,-1.8,4.1,-5.7
1981/1/18,-0.3,4.6,-6.9
1981/1/19,-0.3,4.5,-3.2
1981/1/20,-1.3,3.6,-4.4
1981/1/21,-3.4,0.5,-6.0
1981/1/22,-2.7,2.0,-6.0
1981/1/23,-1.5,3.7,-5.9
1981/1/24,1.5,5.0,-4.3
1981/1/25,-0.7,3.6,-5.4
1981/1/26,-4.2,2.0,-9.3
1981/1/27,-4.6,1.4,-9.5
1981/1/28,-3.5,2.3,-9.9
1981/1/29,-1.6,3.7,-7.1
1981/1/30,-0.8,3.6,-6.3
1981/1/31,0.0,5.6,-4.5
1981/2/1,-1.3,3.2,-5.6
1981/2/2,-0.7,0.1,-1.9
1981/2/3,0.0,4.1,-3.6
1981/2/4,0.5,4.4,-1.7
1981/2/5,-0.5,4.8,-4.1
1981/2/6,-0.6,5.8,-6.7
1981/2/7,-1.5,3.2,-6.9
1981/2/8,-0.1,4.5,-5.6
1981/2/9,-0.1,3.0,-2.5
1981/2/10,0.1,4.0,-5.7
1981/2/11,-1.1,1.9,-4.5
1981/2/12,1.8,8.3,-5.1
1981/2/13,5.3,11.1,-1.4
1981/2/14,2.3,4.6,1.5
1981/2/15,3.1,6.8,-1.3
1981/2/16,3.4,8.5,-0.8
1981/2/17,0.8,3.3,-1.3
1981/2/18,1.1,4.3,-4.5
1981/2/19,2.0,7.0,-1.5
1981/2/20,0.1,2.7,-1.7
1981/2/21,-1.8,3.4,-4.9
1981/2/22,-2.2,2.7,-7.4
1981/2/23,-1.7,1.5,-6.2
1981/2/24,-0.6,0.0,-1.1
1981/2/25,-2.8,0.1,-6.9
1981/2/26,-3.5,0.1,-7.8
1981/2/27,-4.1,-1.1,-10.2
1981/2/28,-3.4,-0.2,-8.8
1981/3/1,-2.0,3.2,-6.9
1981/3/2,-1.6,2.1,-7.3
1981/3/3,1.1,6.5,-6.5
1981/3/4,1.0,4.6,-2.9
1981/3/5,2.0,5.9,-1.8
1981/3/6,-0.8,2.8,-4.4
1981/3/7,-0.5,4.1,-7.2
1981/3/8,1.2,5.0,-2.4
1981/3/9,-1.0,1.1,-3.0
1981/3/10,-1.4,0.4,-3.4
1981/3/11,-1.8,3.6,-6.9
1981/3/12,3.6,9.9,-3.9
1981/3/13,3.0,5.7,0.2
1981/3/14,4.5,6.8,1.4
1981/3/15,7.4,12.4,3.5
1981/3/16,2.3,6.9,-0.6
1981/3/17,1.0,5.6,-2.6
1981/3/18,4.2,11.3,-4.8
1981/3/19,5.6,12.0,0.3
1981/3/20,4.5,8.7,2.2
1981/3/21,2.8,7.9,1.4
1981/3/22,3.2,5.3,1.9
1981/3/23,4.9,11.0,1.4
1981/3/24,1.7,5.8,-1.3
1981/3/25,0.7,1.4,0.0
1981/3/26,1.9,4.4,0.7
1981/3/27,4.8,9.6,1.4
1981/3/28,2.9,9.9,-0.3
1981/3/29,3.6,8.2,-1.0
1981/3/30,2.7,7.2,-1.8
1981/3/31,3.4,10.1,-2.4
