ダウンロードした時刻：2017/07/24 15:41:00

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/1/1,4.8,9.5,1.3
1996/1/2,3.9,9.0,-1.0
1996/1/3,5.9,13.0,0.5
1996/1/4,3.3,7.1,1.0
1996/1/5,5.0,9.9,-0.2
1996/1/6,8.3,13.2,4.3
1996/1/7,7.0,13.7,1.4
1996/1/8,5.2,7.4,0.7
1996/1/9,-0.3,2.6,-1.6
1996/1/10,1.7,5.2,-0.9
1996/1/11,4.2,9.2,-0.3
1996/1/12,4.6,10.7,-0.5
1996/1/13,5.4,12.0,0.7
1996/1/14,6.1,10.1,2.2
1996/1/15,9.7,13.9,6.5
1996/1/16,9.9,14.1,5.5
1996/1/17,6.2,9.5,2.6
1996/1/18,5.9,9.1,3.3
1996/1/19,5.1,8.7,2.2
1996/1/20,6.7,11.8,3.7
1996/1/21,6.5,11.4,2.6
1996/1/22,3.3,6.3,1.0
1996/1/23,4.6,9.7,0.6
1996/1/24,2.3,4.9,-0.1
1996/1/25,1.7,6.7,-2.2
1996/1/26,1.7,6.5,-1.1
1996/1/27,1.8,7.6,-3.1
1996/1/28,3.2,8.8,-2.8
1996/1/29,4.3,10.2,0.3
1996/1/30,2.2,6.6,-1.3
1996/1/31,0.5,2.9,-1.5
1996/2/1,1.2,5.1,-1.7
1996/2/2,-1.3,1.8,-3.4
1996/2/3,-0.6,5.0,-5.3
1996/2/4,2.5,7.5,-2.1
1996/2/5,3.7,10.7,-1.4
1996/2/6,0.7,4.1,-1.1
1996/2/7,2.1,7.9,-2.5
1996/2/8,3.7,8.8,-2.3
1996/2/9,4.7,8.9,1.1
1996/2/10,1.4,5.9,-1.3
1996/2/11,2.7,8.8,-2.7
1996/2/12,5.5,12.6,-1.1
1996/2/13,7.3,11.5,3.4
1996/2/14,11.9,19.8,4.6
1996/2/15,10.4,17.7,4.3
1996/2/16,5.3,11.5,2.3
1996/2/17,1.3,3.3,-0.6
1996/2/18,2.7,7.4,0.3
1996/2/19,2.3,6.8,-0.6
1996/2/20,2.3,8.1,-2.8
1996/2/21,2.4,8.1,-2.1
1996/2/22,2.4,8.0,-2.7
1996/2/23,2.5,8.5,-2.2
1996/2/24,3.6,9.7,-1.5
1996/2/25,4.5,8.9,1.7
1996/2/26,7.1,12.6,2.6
1996/2/27,6.1,10.2,2.5
1996/2/28,5.9,12.0,1.3
1996/2/29,6.8,12.8,-0.3
1996/3/1,7.1,12.0,4.2
1996/3/2,4.0,7.8,1.1
1996/3/3,4.1,9.8,-0.3
1996/3/4,4.1,11.9,-0.9
1996/3/5,2.4,6.6,-0.2
1996/3/6,4.0,10.7,-1.8
1996/3/7,3.0,9.4,-0.6
1996/3/8,5.5,11.5,1.8
1996/3/9,5.8,10.2,2.4
1996/3/10,5.5,11.8,0.5
1996/3/11,6.0,11.6,1.0
1996/3/12,3.5,8.3,0.1
1996/3/13,6.1,12.8,-0.3
1996/3/14,9.4,16.2,1.6
1996/3/15,7.9,10.2,6.7
1996/3/16,10.8,17.0,5.1
1996/3/17,10.1,12.4,8.2
1996/3/18,8.1,12.7,3.3
1996/3/19,5.4,11.3,0.4
1996/3/20,7.5,12.3,3.1
1996/3/21,10.8,18.0,3.5
1996/3/22,10.9,16.1,7.4
1996/3/23,7.8,12.3,5.0
1996/3/24,7.9,13.7,4.3
1996/3/25,9.6,14.8,7.2
1996/3/26,10.8,17.6,5.3
1996/3/27,11.1,16.4,5.2
1996/3/28,11.9,18.5,6.2
1996/3/29,10.9,15.9,7.5
1996/3/30,14.2,17.2,9.4
1996/3/31,14.2,17.4,11.0
1996/4/1,10.1,14.3,6.3
1996/4/2,7.1,12.2,3.1
1996/4/3,5.9,11.6,2.0
1996/4/4,6.7,12.8,1.2
1996/4/5,7.5,13.2,3.3
1996/4/6,10.9,17.6,2.4
1996/4/7,11.6,16.4,7.9
1996/4/8,12.3,18.5,7.4
1996/4/9,11.8,17.5,5.3
1996/4/10,10.6,15.9,6.3
1996/4/11,7.7,13.3,3.7
1996/4/12,5.9,11.9,1.9
1996/4/13,7.8,13.9,1.7
1996/4/14,10.4,17.9,1.8
1996/4/15,12.4,18.6,9.7
1996/4/16,11.0,12.4,10.1
1996/4/17,14.4,20.8,8.1
1996/4/18,14.4,20.8,9.1
1996/4/19,9.2,13.2,7.0
1996/4/20,10.1,16.5,6.6
1996/4/21,9.2,15.5,4.4
1996/4/22,11.2,19.1,4.0
1996/4/23,14.1,21.0,8.4
1996/4/24,15.7,23.6,8.4
1996/4/25,16.9,25.6,9.9
1996/4/26,17.2,23.4,11.2
1996/4/27,19.7,27.0,11.7
1996/4/28,20.3,27.4,15.2
1996/4/29,19.7,28.1,12.8
1996/4/30,19.5,24.0,17.4
1996/5/1,18.1,20.6,16.1
