ダウンロードした時刻：2019/10/10 15:32:58

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,-0.4,0.6,-1.8
1985/12/2,-0.3,2.2,-2.9
1985/12/3,1.2,2.6,-0.3
1985/12/4,4.8,8.7,0.3
1985/12/5,-1.5,0.7,-2.8
1985/12/6,-2.7,-1.9,-3.7
1985/12/7,-1.8,-0.4,-2.8
1985/12/8,-1.5,0.1,-2.8
1985/12/9,-1.0,2.3,-4.1
1985/12/10,-4.5,-2.1,-6.3
1985/12/11,-0.7,1.0,-2.5
1985/12/12,-2.4,-1.3,-3.1
1985/12/13,-1.4,-0.5,-2.6
1985/12/14,-5.6,-1.9,-7.9
1985/12/15,-7.3,-6.1,-8.4
1985/12/16,-5.3,-4.3,-7.5
1985/12/17,-4.4,-2.1,-6.1
1985/12/18,-1.4,0.2,-4.7
1985/12/19,-1.2,0.5,-2.6
1985/12/20,-1.3,0.0,-2.3
1985/12/21,-2.9,-2.2,-3.9
1985/12/22,0.4,3.5,-2.3
1985/12/23,1.3,4.7,-2.3
1985/12/24,-5.5,-1.7,-6.9
1985/12/25,-3.3,-2.1,-5.6
1985/12/26,-1.3,-0.2,-2.6
1985/12/27,-2.2,0.2,-4.9
1985/12/28,-1.1,1.7,-4.8
1985/12/29,5.2,7.4,0.4
1985/12/30,3.1,5.5,0.4
1985/12/31,0.5,2.3,-1.1
1986/1/1,-2.1,-0.6,-3.3
1986/1/2,-5.0,-3.0,-7.0
1986/1/3,-5.4,-3.5,-7.4
1986/1/4,5.4,8.3,-3.5
1986/1/5,-2.9,2.5,-6.0
1986/1/6,-5.4,-2.8,-7.0
1986/1/7,-1.8,-0.6,-3.2
1986/1/8,0.2,2.1,-2.3
1986/1/9,0.8,3.3,-1.1
1986/1/10,0.6,2.8,-1.1
1986/1/11,-2.6,-0.6,-4.4
1986/1/12,-3.7,-1.9,-5.8
1986/1/13,-0.4,2.9,-3.2
1986/1/14,-3.8,-1.7,-4.8
1986/1/15,-3.4,-2.1,-4.5
1986/1/16,-2.8,-0.4,-6.7
1986/1/17,0.1,1.8,-2.0
1986/1/18,-0.7,1.6,-3.6
1986/1/19,-1.7,0.1,-3.8
1986/1/20,-2.4,0.0,-6.7
1986/1/21,-5.9,-3.8,-6.9
1986/1/22,-7.8,-5.5,-10.6
1986/1/23,-8.1,-6.5,-10.5
1986/1/24,-5.4,-2.5,-8.8
1986/1/25,-6.9,-4.6,-9.6
1986/1/26,-6.6,-4.4,-9.4
1986/1/27,-7.5,-5.5,-8.8
1986/1/28,-6.2,-4.4,-8.4
1986/1/29,-6.1,-4.0,-7.3
1986/1/30,-6.2,-4.1,-7.8
1986/1/31,-5.2,-3.1,-6.8
1986/2/1,-7.2,-6.1,-8.7
1986/2/2,-6.5,-4.8,-8.3
1986/2/3,-6.5,-4.4,-7.6
1986/2/4,-7.3,-6.4,-8.0
1986/2/5,-6.1,-4.6,-8.1
1986/2/6,-5.0,-2.8,-7.0
1986/2/7,-4.0,-1.1,-7.9
1986/2/8,-2.4,-0.5,-4.0
1986/2/9,-3.3,-1.2,-4.3
1986/2/10,-4.2,-3.3,-5.2
1986/2/11,-3.2,-1.2,-4.6
1986/2/12,-2.0,0.0,-4.0
1986/2/13,-0.5,1.9,-2.1
1986/2/14,-3.1,0.6,-5.5
1986/2/15,-4.6,-1.7,-7.1
1986/2/16,-3.7,-0.3,-6.0
1986/2/17,-4.0,-2.5,-5.6
1986/2/18,-4.0,-0.6,-6.0
1986/2/19,-3.2,-0.8,-6.2
1986/2/20,-1.8,0.7,-4.2
1986/2/21,-3.9,-2.1,-5.4
1986/2/22,-4.1,-2.0,-6.0
1986/2/23,-3.7,-2.3,-6.3
1986/2/24,-1.6,0.5,-3.2
1986/2/25,-2.2,-1.1,-2.8
1986/2/26,-0.7,2.8,-5.3
1986/2/27,-0.1,2.3,-2.4
1986/2/28,0.2,2.8,-1.2
1986/3/1,-1.0,1.0,-2.8
1986/3/2,0.2,1.8,-1.4
1986/3/3,-4.1,0.3,-8.2
1986/3/4,-4.9,-2.0,-9.6
1986/3/5,-1.9,-1.0,-3.4
1986/3/6,-1.1,1.5,-3.5
1986/3/7,-0.4,2.1,-3.2
1986/3/8,-0.6,2.0,-2.4
1986/3/9,0.0,1.6,-1.5
1986/3/10,0.7,2.8,-0.5
1986/3/11,0.8,2.5,-0.8
1986/3/12,0.2,0.8,-0.4
1986/3/13,0.2,2.0,-1.8
1986/3/14,-0.8,1.7,-3.0
1986/3/15,-0.5,0.3,-1.2
1986/3/16,1.2,4.5,-0.6
1986/3/17,-0.9,1.0,-1.8
1986/3/18,0.0,2.8,-2.2
1986/3/19,-1.0,1.0,-2.6
1986/3/20,0.9,2.0,-0.8
1986/3/21,0.8,2.1,-0.1
1986/3/22,1.6,5.4,-1.0
1986/3/23,0.5,1.5,-1.1
1986/3/24,3.1,6.7,0.5
1986/3/25,2.0,5.9,-0.3
1986/3/26,2.3,6.1,-1.3
1986/3/27,2.0,4.7,-1.1
1986/3/28,0.8,4.6,-1.7
1986/3/29,0.3,0.7,-0.2
1986/3/30,0.9,2.6,0.1
1986/3/31,2.7,5.8,1.0
