ダウンロードした時刻：2019/10/10 16:13:02

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,13.5,15.1,10.6
1992/12/2,11.9,14.7,8.8
1992/12/3,9.3,12.8,5.5
1992/12/4,9.4,13.8,5.0
1992/12/5,8.5,13.9,4.3
1992/12/6,11.0,15.2,5.5
1992/12/7,15.8,19.1,13.0
1992/12/8,17.1,20.4,12.6
1992/12/9,12.2,16.4,8.9
1992/12/10,12.3,17.4,8.8
1992/12/11,8.7,13.3,6.0
1992/12/12,7.4,11.0,3.2
1992/12/13,10.8,17.1,3.4
1992/12/14,7.4,10.9,4.8
1992/12/15,6.1,8.4,4.5
1992/12/16,6.8,10.5,3.1
1992/12/17,9.0,11.9,6.1
1992/12/18,8.4,10.2,5.1
1992/12/19,6.1,11.6,1.7
1992/12/20,7.5,9.4,4.5
1992/12/21,11.6,16.7,8.1
1992/12/22,11.1,14.1,6.6
1992/12/23,6.7,9.9,3.7
1992/12/24,5.0,7.3,3.3
1992/12/25,5.3,8.1,3.2
1992/12/26,5.3,10.2,1.4
1992/12/27,8.1,14.0,2.4
1992/12/28,12.1,14.5,10.0
1992/12/29,11.8,14.0,7.7
1992/12/30,8.9,13.0,4.6
1992/12/31,8.2,10.4,4.4
1993/1/1,5.8,10.7,1.4
1993/1/2,7.2,13.5,2.9
1993/1/3,8.6,14.5,3.2
1993/1/4,8.7,10.6,6.3
1993/1/5,7.0,9.4,4.4
1993/1/6,6.5,10.1,2.1
1993/1/7,11.5,16.2,8.2
1993/1/8,9.5,13.2,7.1
1993/1/9,5.9,7.9,2.5
1993/1/10,8.0,9.3,6.6
1993/1/11,8.7,11.0,7.3
1993/1/12,8.0,12.3,4.9
1993/1/13,6.9,8.5,4.9
1993/1/14,7.9,8.7,6.9
1993/1/15,8.9,10.0,8.0
1993/1/16,9.4,11.3,7.4
1993/1/17,6.8,9.2,4.2
1993/1/18,6.4,11.1,4.0
1993/1/19,5.2,7.8,3.4
1993/1/20,5.5,8.7,3.5
1993/1/21,4.9,7.8,2.9
1993/1/22,4.0,8.9,-0.1
1993/1/23,4.7,8.5,1.1
1993/1/24,6.2,8.7,4.3
1993/1/25,7.7,9.4,6.1
1993/1/26,8.4,11.8,4.3
1993/1/27,5.8,11.7,2.3
1993/1/28,3.4,6.0,1.9
1993/1/29,4.8,8.0,2.4
1993/1/30,5.5,9.0,2.3
1993/1/31,7.1,11.7,0.8
1993/2/1,5.9,9.5,3.8
1993/2/2,3.4,5.0,1.2
1993/2/3,3.8,9.1,-1.0
1993/2/4,7.7,12.9,2.8
1993/2/5,7.4,13.6,1.3
1993/2/6,12.9,20.8,3.0
1993/2/7,15.1,19.6,7.7
1993/2/8,5.9,8.3,2.7
1993/2/9,4.8,9.1,1.5
1993/2/10,6.7,10.0,4.0
1993/2/11,6.9,11.3,1.5
1993/2/12,8.5,10.8,6.4
1993/2/13,8.0,12.4,2.2
1993/2/14,6.7,10.8,1.9
1993/2/15,6.3,12.9,-0.6
1993/2/16,10.8,15.7,4.4
1993/2/17,12.6,16.7,9.7
1993/2/18,9.3,11.9,7.0
1993/2/19,6.7,10.8,4.4
1993/2/20,7.3,11.8,3.2
1993/2/21,11.5,16.6,6.0
1993/2/22,12.4,15.8,8.7
1993/2/23,4.9,8.7,2.7
1993/2/24,4.1,7.4,2.3
1993/2/25,4.4,7.9,2.1
1993/2/26,4.9,9.8,-0.3
1993/2/27,7.6,12.9,1.3
1993/2/28,9.3,13.0,7.2
1993/3/1,5.9,8.1,2.6
1993/3/2,4.5,7.7,1.8
1993/3/3,5.4,10.4,0.4
1993/3/4,7.3,12.6,3.1
1993/3/5,8.3,14.1,1.2
1993/3/6,11.6,17.2,4.5
1993/3/7,11.5,16.2,6.9
1993/3/8,6.0,8.3,3.3
1993/3/9,7.1,10.0,4.9
1993/3/10,8.1,12.5,4.3
1993/3/11,8.0,12.6,2.2
1993/3/12,8.5,12.6,5.8
1993/3/13,7.1,10.9,5.0
1993/3/14,7.5,12.5,1.1
1993/3/15,6.3,7.4,5.3
1993/3/16,5.2,7.5,3.3
1993/3/17,5.2,8.7,3.3
1993/3/18,6.4,10.9,2.9
1993/3/19,7.4,11.2,3.9
1993/3/20,6.2,11.1,0.9
1993/3/21,7.1,12.7,0.8
1993/3/22,8.7,14.1,4.0
1993/3/23,11.6,17.0,4.5
1993/3/24,15.2,20.1,11.4
1993/3/25,13.8,17.2,10.2
1993/3/26,12.4,16.3,9.7
1993/3/27,13.0,19.0,7.9
1993/3/28,10.6,12.0,9.5
1993/3/29,6.7,10.4,4.4
1993/3/30,7.3,11.9,0.7
1993/3/31,12.7,17.7,7.8
