ダウンロードした時刻：2019/10/10 16:25:26

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,11.5,16.4,8.6
2013/12/2,10.6,16.6,6.9
2013/12/3,10.9,18.1,5.5
2013/12/4,11.1,16.6,7.2
2013/12/5,10.4,16.9,4.9
2013/12/6,11.3,17.0,6.8
2013/12/7,11.0,17.5,6.3
2013/12/8,10.4,16.2,4.4
2013/12/9,12.3,15.5,7.5
2013/12/10,11.7,15.0,8.6
2013/12/11,10.2,13.8,7.5
2013/12/12,8.2,12.9,5.3
2013/12/13,9.0,13.4,5.0
2013/12/14,9.1,13.5,6.0
2013/12/15,9.0,13.7,4.9
2013/12/16,9.6,13.2,6.0
2013/12/17,9.1,10.0,8.1
2013/12/18,9.9,11.9,6.6
2013/12/19,7.5,12.7,4.5
2013/12/20,7.2,10.9,4.1
2013/12/21,6.8,10.1,4.1
2013/12/22,7.1,13.4,2.4
2013/12/23,8.0,14.1,3.3
2013/12/24,9.1,13.5,5.7
2013/12/25,9.4,13.9,3.3
2013/12/26,10.8,13.1,7.9
2013/12/27,7.3,9.6,5.4
2013/12/28,5.7,9.7,2.8
2013/12/29,5.0,9.1,1.9
2013/12/30,7.8,13.9,3.6
2013/12/31,10.5,16.1,6.1
2014/1/1,13.1,16.9,8.1
2014/1/2,10.5,17.2,5.7
2014/1/3,10.0,13.0,6.3
2014/1/4,11.2,16.4,7.2
2014/1/5,9.3,16.1,4.3
2014/1/6,8.4,13.4,4.5
2014/1/7,10.9,16.6,4.4
2014/1/8,13.3,17.0,10.2
2014/1/9,7.1,10.4,1.8
2014/1/10,4.1,8.6,1.2
2014/1/11,6.3,11.8,0.5
2014/1/12,8.4,11.9,5.8
2014/1/13,7.7,12.6,4.4
2014/1/14,7.9,9.6,5.9
2014/1/15,6.7,11.0,3.7
2014/1/16,6.6,12.4,1.6
2014/1/17,7.8,13.6,3.4
2014/1/18,8.1,12.4,4.6
2014/1/19,6.8,11.8,2.6
2014/1/20,9.0,16.6,2.2
2014/1/21,6.5,11.1,2.7
2014/1/22,5.8,12.0,1.0
2014/1/23,6.8,13.7,1.1
2014/1/24,8.2,15.4,1.7
2014/1/25,12.2,20.0,5.9
2014/1/26,11.9,16.3,6.8
2014/1/27,8.1,12.9,3.3
2014/1/28,10.2,15.8,4.4
2014/1/29,12.7,17.6,6.2
2014/1/30,15.2,19.1,12.2
2014/1/31,14.2,20.1,9.9
2014/2/1,15.1,19.7,8.9
2014/2/2,18.6,23.5,14.9
2014/2/3,15.7,21.2,12.6
2014/2/4,7.9,12.7,3.3
2014/2/5,7.4,12.8,1.9
2014/2/6,8.7,9.8,7.7
2014/2/7,10.8,12.6,8.9
2014/2/8,10.5,14.7,7.0
2014/2/9,9.3,14.2,4.5
2014/2/10,7.7,9.0,6.8
2014/2/11,8.2,11.9,4.6
2014/2/12,9.1,13.2,6.1
2014/2/13,8.2,9.3,6.6
2014/2/14,8.8,11.6,5.3
2014/2/15,7.7,12.7,4.0
2014/2/16,8.5,14.9,3.2
2014/2/17,10.4,13.9,7.1
2014/2/18,9.6,11.6,6.9
2014/2/19,7.5,9.1,5.9
2014/2/20,8.8,14.1,5.2
2014/2/21,8.0,14.3,3.0
2014/2/22,9.1,15.9,2.8
2014/2/23,10.0,16.6,4.3
2014/2/24,10.6,16.9,4.6
2014/2/25,12.3,17.3,5.9
2014/2/26,15.3,17.0,13.3
2014/2/27,15.3,17.7,11.0
2014/2/28,13.6,18.7,9.1
2014/3/1,13.7,15.9,12.3
2014/3/2,13.9,19.6,9.7
2014/3/3,11.4,16.0,7.1
2014/3/4,13.7,18.7,9.1
2014/3/5,12.7,16.6,7.5
2014/3/6,8.3,12.5,5.1
2014/3/7,7.8,12.5,3.7
2014/3/8,6.9,11.9,3.0
2014/3/9,8.1,14.1,4.8
2014/3/10,8.8,14.3,4.9
2014/3/11,8.9,15.8,2.3
2014/3/12,13.4,18.0,6.7
2014/3/13,15.1,18.4,9.8
2014/3/14,8.1,13.4,4.3
2014/3/15,9.2,16.6,2.7
2014/3/16,12.8,19.7,7.0
2014/3/17,14.3,19.9,7.8
2014/3/18,17.2,20.0,14.9
2014/3/19,16.9,20.8,13.7
2014/3/20,15.0,19.3,10.4
2014/3/21,10.7,16.1,6.9
2014/3/22,10.1,17.1,3.8
2014/3/23,12.1,19.4,5.7
2014/3/24,13.8,20.8,6.6
2014/3/25,16.1,20.6,11.4
2014/3/26,19.1,21.7,16.7
2014/3/27,19.4,25.4,15.2
2014/3/28,17.4,23.6,12.0
2014/3/29,17.4,20.0,15.4
2014/3/30,17.3,19.9,13.8
2014/3/31,16.0,21.2,11.5
