ダウンロードした時刻：2017/07/24 15:38:46

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/1/1,1.6,5.5,-1.1
2006/1/2,2.4,5.4,0.1
2006/1/3,0.7,4.5,-1.3
2006/1/4,1.0,2.5,-0.6
2006/1/5,0.3,1.4,-1.1
2006/1/6,-0.2,2.8,-2.0
2006/1/7,-0.7,1.6,-3.2
2006/1/8,0.3,2.6,-2.0
2006/1/9,0.1,2.2,-2.4
2006/1/10,-0.3,4.0,-4.7
2006/1/11,3.0,4.6,0.6
2006/1/12,2.0,4.0,-1.3
2006/1/13,2.3,5.6,-2.2
2006/1/14,6.1,8.7,3.9
2006/1/15,5.6,7.9,1.4
2006/1/16,3.9,7.8,0.2
2006/1/17,2.2,4.7,0.6
2006/1/18,2.4,5.0,0.9
2006/1/19,0.1,1.8,-1.4
2006/1/20,0.6,3.2,-2.0
2006/1/21,1.3,6.0,-2.3
2006/1/22,-0.1,2.3,-2.6
2006/1/23,-1.1,1.6,-4.6
2006/1/24,1.8,3.0,0.2
2006/1/25,3.3,5.3,0.8
2006/1/26,3.3,4.9,1.7
2006/1/27,3.1,5.5,0.7
2006/1/28,2.2,5.0,-0.5
2006/1/29,3.0,7.3,0.3
2006/1/30,4.6,8.4,0.0
2006/1/31,3.1,5.7,1.9
2006/2/1,3.8,5.6,1.6
2006/2/2,2.1,4.9,-1.0
2006/2/3,-0.2,4.5,-4.1
2006/2/4,-1.8,0.9,-4.5
2006/2/5,-1.1,1.3,-3.5
2006/2/6,0.6,3.3,-2.3
2006/2/7,3.8,6.9,0.8
2006/2/8,3.5,5.7,0.7
2006/2/9,0.5,3.7,-2.2
2006/2/10,2.4,6.8,-2.6
2006/2/11,2.7,5.7,-0.6
2006/2/12,-0.6,1.0,-2.9
2006/2/13,4.3,8.7,-0.8
2006/2/14,7.2,13.8,1.3
2006/2/15,8.9,11.1,5.5
2006/2/16,4.4,5.8,3.6
2006/2/17,0.9,6.5,-1.8
2006/2/18,0.9,3.9,-2.0
2006/2/19,3.6,9.3,-1.7
2006/2/20,4.2,8.1,-0.6
2006/2/21,6.4,11.5,2.2
2006/2/22,9.7,15.7,4.0
2006/2/23,5.5,8.6,3.3
2006/2/24,4.7,8.8,1.3
2006/2/25,6.0,9.9,0.4
2006/2/26,8.6,10.9,5.6
2006/2/27,2.2,5.8,0.8
2006/2/28,2.4,5.0,0.2
2006/3/1,4.6,6.5,2.3
2006/3/2,3.2,7.4,0.7
2006/3/3,2.1,5.8,0.3
2006/3/4,2.6,7.4,-0.4
2006/3/5,6.4,13.3,0.0
2006/3/6,5.9,7.6,4.4
2006/3/7,5.5,10.9,0.5
2006/3/8,6.2,10.0,3.7
2006/3/9,5.0,7.4,2.5
2006/3/10,9.3,14.2,4.7
2006/3/11,10.8,18.1,4.8
2006/3/12,2.0,8.6,-0.8
2006/3/13,-0.6,1.2,-1.8
2006/3/14,0.8,3.0,-2.2
2006/3/15,4.7,9.2,0.5
2006/3/16,8.3,14.6,2.5
2006/3/17,7.7,8.8,4.8
2006/3/18,7.8,14.3,2.7
2006/3/19,4.4,7.8,1.1
2006/3/20,5.9,9.3,1.4
2006/3/21,5.4,8.0,1.1
2006/3/22,6.1,11.0,-0.7
2006/3/23,7.5,10.7,4.8
2006/3/24,6.1,9.6,2.6
2006/3/25,6.7,13.4,-0.2
2006/3/26,8.2,17.5,4.1
2006/3/27,6.4,10.7,2.4
2006/3/28,11.6,21.1,5.1
2006/3/29,4.3,7.4,1.1
2006/3/30,3.4,6.9,0.5
2006/3/31,3.8,6.7,0.9
2006/4/1,7.4,12.0,3.8
2006/4/2,9.0,11.5,6.6
2006/4/3,6.4,8.9,5.1
2006/4/4,9.0,14.0,5.3
2006/4/5,8.6,11.1,6.4
2006/4/6,6.2,10.0,4.6
2006/4/7,6.3,9.7,3.1
2006/4/8,7.0,11.8,4.7
2006/4/9,6.8,10.2,4.3
2006/4/10,8.4,12.6,2.4
2006/4/11,14.2,17.3,9.2
2006/4/12,16.4,23.9,12.4
2006/4/13,10.9,14.7,6.9
2006/4/14,7.9,10.8,5.3
2006/4/15,11.5,17.6,5.2
2006/4/16,8.8,11.3,5.3
2006/4/17,8.4,11.3,6.2
2006/4/18,12.8,18.1,6.1
2006/4/19,16.2,22.6,9.5
2006/4/20,9.4,16.7,3.9
2006/4/21,7.6,10.1,6.3
2006/4/22,9.4,13.8,4.6
2006/4/23,11.1,14.9,5.7
2006/4/24,11.2,14.2,7.5
2006/4/25,9.1,12.9,5.5
2006/4/26,11.0,15.3,7.0
2006/4/27,10.4,14.6,8.2
2006/4/28,12.3,17.3,8.1
2006/4/29,15.5,23.7,7.0
2006/4/30,15.9,21.4,11.9
2006/5/1,13.4,15.9,11.0
