ダウンロードした時刻：2019/10/10 16:02:33

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,12.5,13.7,11.2
1995/12/2,12.9,13.7,11.7
1995/12/3,12.7,14.4,10.6
1995/12/4,13.7,15.1,11.4
1995/12/5,11.8,13.2,10.8
1995/12/6,10.5,11.6,9.5
1995/12/7,11.4,13.6,7.4
1995/12/8,10.4,12.1,5.2
1995/12/9,8.4,11.2,4.4
1995/12/10,10.7,12.7,4.5
1995/12/11,13.8,15.4,11.5
1995/12/12,13.6,15.5,9.9
1995/12/13,10.5,13.8,6.3
1995/12/14,13.2,15.1,6.2
1995/12/15,14.4,16.2,11.4
1995/12/16,10.6,12.3,9.2
1995/12/17,11.2,13.5,8.4
1995/12/18,10.3,12.3,7.3
1995/12/19,10.4,11.9,8.6
1995/12/20,10.0,12.7,6.2
1995/12/21,11.7,12.7,10.5
1995/12/22,10.3,12.9,5.6
1995/12/23,12.3,13.3,11.2
1995/12/24,11.8,15.0,7.0
1995/12/25,6.3,7.5,4.2
1995/12/26,5.2,6.4,4.3
1995/12/27,7.3,8.4,4.1
1995/12/28,7.6,9.9,2.2
1995/12/29,10.2,11.9,5.7
1995/12/30,8.9,9.7,7.8
1995/12/31,8.1,11.8,1.4
1996/1/1,10.0,11.4,5.1
1996/1/2,10.1,11.2,5.7
1996/1/3,11.6,14.8,6.4
1996/1/4,8.3,11.6,6.4
1996/1/5,9.2,11.4,6.4
1996/1/6,8.7,11.8,4.7
1996/1/7,9.5,13.6,5.4
1996/1/8,12.3,15.9,7.2
1996/1/9,5.3,7.5,2.5
1996/1/10,6.7,7.7,5.0
1996/1/11,6.8,10.6,2.3
1996/1/12,7.2,11.8,2.6
1996/1/13,7.1,11.0,3.1
1996/1/14,10.3,15.1,2.8
1996/1/15,16.6,17.6,14.8
1996/1/16,14.8,17.7,12.2
1996/1/17,9.0,12.5,3.9
1996/1/18,10.0,11.5,7.3
1996/1/19,9.1,10.3,7.7
1996/1/20,7.2,8.8,4.1
1996/1/21,8.8,11.9,3.0
1996/1/22,9.3,11.4,6.4
1996/1/23,9.6,10.6,7.1
1996/1/24,7.6,9.9,5.9
1996/1/25,6.7,8.5,5.0
1996/1/26,6.1,8.3,2.5
1996/1/27,5.4,9.2,1.4
1996/1/28,8.4,9.9,6.5
1996/1/29,9.6,10.7,8.4
1996/1/30,7.5,8.9,5.0
1996/1/31,5.6,7.0,4.2
1996/2/1,6.0,7.2,3.6
1996/2/2,4.1,5.1,2.8
1996/2/3,6.0,7.5,3.6
1996/2/4,7.1,8.5,4.1
1996/2/5,9.9,11.9,8.4
1996/2/6,5.7,9.4,4.8
1996/2/7,6.2,9.5,1.6
1996/2/8,9.3,11.5,5.4
1996/2/9,9.8,11.6,5.9
1996/2/10,5.0,7.1,1.2
1996/2/11,6.3,10.8,-0.7
1996/2/12,10.8,12.6,9.3
1996/2/13,14.4,17.5,11.4
1996/2/14,15.7,18.0,13.0
1996/2/15,15.1,18.5,11.9
1996/2/16,9.7,12.2,6.6
1996/2/17,7.0,8.5,5.6
1996/2/18,5.9,8.2,4.1
1996/2/19,6.3,7.3,5.6
1996/2/20,5.3,6.8,3.3
1996/2/21,5.4,7.5,2.3
1996/2/22,5.2,7.3,2.3
1996/2/23,7.5,8.7,6.1
1996/2/24,7.6,8.8,4.6
1996/2/25,9.5,11.6,8.1
1996/2/26,9.6,12.6,6.3
1996/2/27,9.1,10.4,7.5
1996/2/28,8.7,11.3,4.9
1996/2/29,10.8,12.9,8.7
1996/3/1,12.7,15.5,8.8
1996/3/2,8.2,9.5,7.0
1996/3/3,7.4,8.6,3.3
1996/3/4,8.6,10.7,2.2
1996/3/5,5.6,9.0,0.4
1996/3/6,6.6,8.8,4.0
1996/3/7,8.8,10.7,6.6
1996/3/8,10.8,13.8,7.5
1996/3/9,9.2,11.9,6.6
1996/3/10,7.3,9.9,3.4
1996/3/11,9.8,11.4,6.1
1996/3/12,6.4,9.1,2.3
1996/3/13,8.3,12.7,3.4
1996/3/14,10.8,13.8,5.8
1996/3/15,13.8,18.9,9.9
1996/3/16,12.1,15.2,6.9
1996/3/17,16.2,18.9,12.8
1996/3/18,12.3,15.3,8.7
1996/3/19,9.0,11.0,4.9
1996/3/20,10.6,11.7,9.3
1996/3/21,13.0,15.4,11.0
1996/3/22,15.1,18.1,11.5
1996/3/23,11.6,13.9,8.8
1996/3/24,10.4,13.8,8.7
1996/3/25,14.7,17.2,11.5
1996/3/26,13.0,15.5,9.7
1996/3/27,12.9,15.6,8.6
1996/3/28,13.0,14.3,11.9
1996/3/29,12.5,14.5,11.0
1996/3/30,16.4,18.7,13.5
1996/3/31,16.1,18.0,14.5
