ダウンロードした時刻：2019/10/10 15:38:34

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,6.5,9.2,4.4
1999/12/2,7.7,11.3,4.9
1999/12/3,4.2,5.3,2.6
1999/12/4,8.0,11.2,5.2
1999/12/5,7.7,10.1,4.6
1999/12/6,7.1,12.7,4.6
1999/12/7,4.5,7.6,1.6
1999/12/8,5.7,9.0,2.0
1999/12/9,7.9,15.2,2.6
1999/12/10,10.2,13.6,8.3
1999/12/11,5.9,13.8,1.4
1999/12/12,2.9,4.6,1.2
1999/12/13,3.9,6.0,1.4
1999/12/14,3.3,5.4,0.3
1999/12/15,0.3,3.4,-1.7
1999/12/16,1.1,3.8,-0.9
1999/12/17,2.5,5.1,0.6
1999/12/18,3.2,4.7,1.0
1999/12/19,2.3,4.4,-0.4
1999/12/20,0.2,2.1,-0.9
1999/12/21,1.8,5.8,-0.2
1999/12/22,2.6,4.8,0.2
1999/12/23,2.9,5.1,1.0
1999/12/24,3.2,6.7,0.9
1999/12/25,5.5,7.9,1.1
1999/12/26,4.5,6.3,3.1
1999/12/27,4.5,6.7,2.3
1999/12/28,7.0,11.7,2.9
1999/12/29,7.1,10.1,1.9
1999/12/30,2.1,5.5,-0.5
1999/12/31,2.4,6.7,-0.6
2000/1/1,4.1,5.9,1.7
2000/1/2,3.8,5.6,2.7
2000/1/3,5.4,8.8,2.8
2000/1/4,6.0,7.5,4.0
2000/1/5,4.8,7.6,2.9
2000/1/6,7.0,9.5,2.5
2000/1/7,6.9,10.2,4.2
2000/1/8,5.0,7.7,2.9
2000/1/9,4.2,5.6,2.6
2000/1/10,5.4,9.9,2.3
2000/1/11,1.9,3.5,0.4
2000/1/12,2.8,4.5,0.9
2000/1/13,5.5,8.5,2.4
2000/1/14,7.2,10.9,4.8
2000/1/15,4.0,6.5,1.9
2000/1/16,3.9,7.2,1.6
2000/1/17,3.7,6.8,2.7
2000/1/18,3.1,4.2,1.2
2000/1/19,3.6,8.4,-0.8
2000/1/20,3.6,7.1,0.7
2000/1/21,1.2,3.2,-2.6
2000/1/22,1.1,3.4,-2.0
2000/1/23,2.8,6.6,-0.7
2000/1/24,2.2,4.7,-0.2
2000/1/25,-1.6,0.1,-4.0
2000/1/26,-2.3,-0.2,-4.0
2000/1/27,-2.7,-0.7,-5.6
2000/1/28,2.5,4.8,-3.1
2000/1/29,3.6,7.4,-0.6
2000/1/30,3.0,7.2,-0.3
2000/1/31,1.0,3.1,-0.8
2000/2/1,2.8,5.3,-0.9
2000/2/2,4.3,6.5,1.3
2000/2/3,4.6,7.0,1.5
2000/2/4,3.5,5.8,-0.5
2000/2/5,5.2,7.1,3.4
2000/2/6,3.7,6.7,1.3
2000/2/7,4.8,8.3,1.4
2000/2/8,3.8,7.6,0.9
2000/2/9,1.5,3.2,-0.9
2000/2/10,1.9,4.5,-1.5
2000/2/11,2.5,4.8,0.4
2000/2/12,3.6,7.0,0.6
2000/2/13,1.7,2.9,-0.8
2000/2/14,3.5,6.2,1.4
2000/2/15,0.1,3.4,-3.6
2000/2/16,-1.9,-0.4,-4.1
2000/2/17,-0.6,1.9,-2.7
2000/2/18,0.6,3.0,-1.6
2000/2/19,1.2,4.0,-0.7
2000/2/20,1.5,5.2,-1.6
2000/2/21,0.2,2.8,-2.0
2000/2/22,-0.3,1.7,-2.3
2000/2/23,0.1,3.3,-1.9
2000/2/24,-0.2,3.4,-3.6
2000/2/25,-0.7,0.8,-3.1
2000/2/26,0.2,2.2,-1.8
2000/2/27,0.1,3.3,-3.7
2000/2/28,0.4,2.7,-1.7
2000/2/29,0.1,3.0,-2.5
2000/3/1,1.7,3.8,-2.4
2000/3/2,5.1,8.1,1.1
2000/3/3,5.9,10.1,0.5
2000/3/4,5.4,10.9,1.1
2000/3/5,5.8,8.5,0.4
2000/3/6,3.3,7.5,-0.8
2000/3/7,2.2,6.2,0.1
2000/3/8,1.4,3.2,-1.4
2000/3/9,-1.2,1.2,-3.3
2000/3/10,-0.3,2.3,-4.0
2000/3/11,3.3,8.1,-2.6
2000/3/12,3.5,5.9,1.4
2000/3/13,1.4,5.2,-0.7
2000/3/14,2.5,4.5,-0.4
2000/3/15,3.6,6.4,0.9
2000/3/16,2.9,4.9,1.2
2000/3/17,3.8,5.9,1.9
2000/3/18,7.2,10.1,3.3
2000/3/19,8.9,14.2,4.6
2000/3/20,4.2,7.2,0.9
2000/3/21,3.7,7.0,1.4
2000/3/22,3.3,7.8,0.4
2000/3/23,5.7,11.2,-0.4
2000/3/24,5.6,8.8,3.4
2000/3/25,3.7,5.8,1.5
2000/3/26,1.9,4.7,-1.2
2000/3/27,3.8,7.6,0.5
2000/3/28,8.9,15.7,1.5
2000/3/29,9.9,13.7,5.8
2000/3/30,6.2,7.7,4.8
2000/3/31,8.3,13.4,2.6
