É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:32:05

,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1982/12/1,5.1,8.2,2.8
1982/12/2,1.9,3.9,0.4
1982/12/3,1.4,4.5,-1.1
1982/12/4,4.9,8.4,-0.1
1982/12/5,1.2,8.4,-4.1
1982/12/6,-4.7,-3.0,-5.8
1982/12/7,-3.2,-1.7,-5.1
1982/12/8,0.3,3.0,-2.5
1982/12/9,2.7,6.8,-3.5
1982/12/10,2.6,5.6,-1.1
1982/12/11,1.1,2.3,-1.1
1982/12/12,-1.1,0.9,-3.2
1982/12/13,-2.6,-0.1,-3.8
1982/12/14,-1.9,1.2,-5.1
1982/12/15,1.1,2.8,-1.0
1982/12/16,-0.1,2.0,-3.8
1982/12/17,-1.6,1.9,-5.3
1982/12/18,-3.1,0.7,-5.8
1982/12/19,-1.3,1.7,-5.1
1982/12/20,0.3,2.7,-3.1
1982/12/21,1.2,5.2,-1.9
1982/12/22,5.1,7.8,-2.8
1982/12/23,4.2,7.7,0.2
1982/12/24,0.3,1.1,-1.2
1982/12/25,-0.2,1.9,-1.9
1982/12/26,-1.2,0.8,-4.9
1982/12/27,0.9,3.1,-1.0
1982/12/28,-0.2,2.1,-2.1
1982/12/29,1.7,6.8,-2.7
1982/12/30,-1.3,1.9,-3.5
1982/12/31,-4.2,-1.8,-6.0
1983/1/1,-4.5,-2.4,-6.6
1983/1/2,-1.4,0.5,-4.1
1983/1/3,-3.0,-1.0,-5.0
1983/1/4,-2.6,0.9,-6.7
1983/1/5,1.3,2.2,0.4
1983/1/6,-0.4,2.6,-3.7
1983/1/7,-0.4,3.8,-6.6
1983/1/8,1.1,8.4,-7.0
1983/1/9,-6.5,-5.4,-7.8
1983/1/10,-5.1,-2.1,-8.3
1983/1/11,-4.3,-1.9,-5.4
1983/1/12,-3.8,-0.9,-6.5
1983/1/13,-5.2,-2.9,-8.2
1983/1/14,-3.6,-0.3,-7.6
1983/1/15,-2.7,-0.4,-4.2
1983/1/16,-2.7,-0.6,-3.5
1983/1/17,-3.1,-0.1,-6.2
1983/1/18,-5.4,-2.6,-9.4
1983/1/19,-5.3,-3.0,-7.5
1983/1/20,-5.5,-2.6,-9.5
1983/1/21,-7.4,-5.2,-11.0
1983/1/22,-6.7,-3.9,-11.2
1983/1/23,-5.3,-1.8,-11.4
1983/1/24,-3.1,-1.4,-5.1
1983/1/25,0.9,5.6,-2.4
1983/1/26,-1.8,0.0,-3.3
1983/1/27,1.8,6.2,-3.7
1983/1/28,3.3,6.9,-1.6
1983/1/29,2.1,7.5,-3.8
1983/1/30,-4.9,-0.6,-6.8
1983/1/31,-4.4,-1.7,-6.6
1983/2/1,-1.5,0.7,-4.1
1983/2/2,-2.9,-0.3,-5.3
1983/2/3,-4.5,-1.4,-8.3
1983/2/4,-2.6,0.3,-7.9
1983/2/5,-1.1,0.6,-2.2
1983/2/6,-2.5,-0.7,-5.2
1983/2/7,-2.0,0.7,-4.1
1983/2/8,-5.2,-2.0,-8.9
1983/2/9,-7.9,-5.7,-11.6
1983/2/10,-4.2,0.9,-9.9
1983/2/11,-7.8,-5.7,-10.6
1983/2/12,-9.1,-5.9,-12.0
1983/2/13,-8.2,-4.7,-10.4
1983/2/14,-7.6,-2.9,-13.5
1983/2/15,-3.4,-0.2,-8.3
1983/2/16,-7.5,-3.2,-11.4
1983/2/17,-5.3,-1.2,-12.0
1983/2/18,-4.2,-2.6,-6.6
1983/2/19,-2.7,0.0,-4.8
1983/2/20,-1.3,1.6,-4.9
1983/2/21,-3.0,1.4,-7.6
1983/2/22,-4.9,-0.9,-8.7
1983/2/23,-2.4,-0.2,-5.4
1983/2/24,-1.6,3.4,-4.8
1983/2/25,-3.0,0.1,-6.1
1983/2/26,-6.6,-4.7,-7.6
1983/2/27,-8.1,-5.3,-9.9
1983/2/28,-5.4,-2.5,-9.7
1983/3/1,-2.4,0.4,-5.8
1983/3/2,-4.9,-1.1,-9.1
1983/3/3,-3.1,1.1,-6.2
1983/3/4,-4.0,-0.8,-9.0
1983/3/5,-2.4,0.7,-7.4
1983/3/6,-2.4,1.0,-5.5
1983/3/7,-3.6,0.4,-8.6
1983/3/8,-2.1,0.9,-5.2
1983/3/9,-1.4,1.7,-5.9
1983/3/10,0.6,4.1,-5.0
1983/3/11,1.8,5.1,-2.2
1983/3/12,-0.6,4.4,-2.6
1983/3/13,-1.8,0.4,-3.6
1983/3/14,-4.7,-3.0,-6.4
1983/3/15,-3.6,-0.1,-7.3
1983/3/16,-0.2,2.6,-6.2
1983/3/17,0.9,2.2,-0.6
1983/3/18,0.3,2.4,-2.4
1983/3/19,-1.7,1.9,-5.5
1983/3/20,2.2,5.2,-3.7
1983/3/21,5.6,9.2,2.8
1983/3/22,3.4,5.6,2.3
1983/3/23,4.0,7.5,1.8
1983/3/24,2.5,4.7,0.6
1983/3/25,1.4,4.6,-2.7
1983/3/26,0.5,3.3,-2.2
1983/3/27,1.8,7.0,-4.0
1983/3/28,3.5,9.0,-1.1
1983/3/29,5.1,12.5,-1.8
1983/3/30,4.2,9.3,0.7
1983/3/31,5.5,11.6,-1.1
