ダウンロードした時刻：2019/10/10 15:57:54

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,4.7,7.3,1.4
1996/12/2,4.5,8.9,1.1
1996/12/3,6.8,12.5,2.0
1996/12/4,7.9,13.4,2.0
1996/12/5,13.9,18.9,7.8
1996/12/6,7.2,9.9,3.7
1996/12/7,5.1,9.7,1.4
1996/12/8,5.9,9.8,2.9
1996/12/9,7.5,12.4,3.4
1996/12/10,9.7,14.9,4.1
1996/12/11,10.4,14.6,7.2
1996/12/12,10.2,14.5,7.3
1996/12/13,10.3,15.5,5.1
1996/12/14,10.6,15.4,6.6
1996/12/15,10.7,16.7,6.1
1996/12/16,11.9,17.5,7.0
1996/12/17,13.4,16.9,8.9
1996/12/18,11.8,15.4,6.7
1996/12/19,6.8,10.5,4.3
1996/12/20,5.3,9.8,2.4
1996/12/21,7.2,12.5,2.5
1996/12/22,7.6,12.8,3.0
1996/12/23,6.9,9.9,2.7
1996/12/24,5.7,10.6,2.0
1996/12/25,8.6,13.3,3.3
1996/12/26,9.2,13.2,4.7
1996/12/27,7.3,12.6,1.8
1996/12/28,8.4,13.6,3.8
1996/12/29,7.5,13.0,2.7
1996/12/30,8.8,16.1,2.4
1996/12/31,9.5,15.2,4.4
1997/1/1,10.9,17.0,5.4
1997/1/2,8.7,15.9,3.7
1997/1/3,5.1,8.2,3.4
1997/1/4,5.6,9.5,2.7
1997/1/5,5.7,10.9,0.7
1997/1/6,6.7,10.0,3.5
1997/1/7,6.1,10.6,2.5
1997/1/8,5.2,10.8,1.6
1997/1/9,5.2,10.0,2.0
1997/1/10,5.4,10.7,1.3
1997/1/11,5.5,11.5,1.2
1997/1/12,5.4,11.1,1.9
1997/1/13,5.6,11.1,1.4
1997/1/14,7.3,12.5,2.7
1997/1/15,6.8,10.9,3.2
1997/1/16,5.7,10.5,1.5
1997/1/17,6.3,11.9,1.2
1997/1/18,7.7,12.4,3.5
1997/1/19,7.4,12.1,5.3
1997/1/20,6.9,11.5,3.3
1997/1/21,5.0,11.2,-1.6
1997/1/22,-0.4,4.1,-4.3
1997/1/23,5.3,9.5,0.8
1997/1/24,4.9,8.4,3.5
1997/1/25,4.1,6.6,2.2
1997/1/26,4.6,8.2,1.9
1997/1/27,6.4,11.5,2.8
1997/1/28,6.6,11.8,2.0
1997/1/29,4.6,8.1,2.2
1997/1/30,3.0,7.2,0.2
1997/1/31,3.7,8.3,0.1
1997/2/1,4.2,8.6,0.1
1997/2/2,5.8,9.9,1.5
1997/2/3,6.0,12.1,1.9
1997/2/4,3.6,7.6,0.4
1997/2/5,5.0,11.1,0.2
1997/2/6,6.2,11.3,2.8
1997/2/7,6.7,12.4,3.1
1997/2/8,8.0,13.6,4.4
1997/2/9,8.0,13.6,4.0
1997/2/10,7.7,14.8,0.5
1997/2/11,5.4,10.5,2.2
1997/2/12,4.2,9.1,1.1
1997/2/13,4.0,9.5,0.2
1997/2/14,5.1,10.4,0.6
1997/2/15,6.8,12.1,0.9
1997/2/16,8.8,13.6,5.6
1997/2/17,5.8,10.4,2.7
1997/2/18,4.8,9.5,1.7
1997/2/19,3.7,7.6,0.7
1997/2/20,5.7,10.7,1.1
1997/2/21,4.5,9.3,-0.7
1997/2/22,1.1,6.0,-2.1
1997/2/23,3.6,10.4,-2.9
1997/2/24,6.6,14.3,-1.2
1997/2/25,9.0,15.5,2.3
1997/2/26,12.2,16.3,9.3
1997/2/27,10.1,14.7,5.5
1997/2/28,11.1,13.8,9.0
1997/3/1,11.5,17.5,5.8
1997/3/2,8.2,13.1,3.4
1997/3/3,6.9,9.4,2.7
1997/3/4,7.7,13.3,1.1
1997/3/5,10.8,16.5,5.6
1997/3/6,11.2,17.6,5.3
1997/3/7,13.8,19.3,9.5
1997/3/8,11.3,16.5,8.4
1997/3/9,10.0,15.7,5.6
1997/3/10,8.8,14.1,3.3
1997/3/11,12.1,18.9,7.1
1997/3/12,9.2,14.8,4.8
1997/3/13,11.1,16.5,6.5
1997/3/14,13.0,17.4,9.8
1997/3/15,11.1,12.7,8.6
1997/3/16,9.7,11.8,8.2
1997/3/17,9.9,15.0,6.2
1997/3/18,9.1,14.9,3.4
1997/3/19,11.7,17.7,5.9
1997/3/20,11.3,14.4,9.1
1997/3/21,11.3,16.2,6.4
1997/3/22,12.3,17.0,9.6
1997/3/23,11.1,16.1,7.0
1997/3/24,7.4,12.6,3.7
1997/3/25,9.0,16.4,2.1
1997/3/26,13.2,17.7,8.4
1997/3/27,12.0,16.8,8.9
1997/3/28,11.8,16.9,6.6
1997/3/29,12.5,16.3,9.3
1997/3/30,14.3,18.7,8.1
1997/3/31,10.1,15.1,6.0
