ダウンロードした時刻：2017/07/24 15:40:37

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,4.9,10.3,3.5
1987/1/2,5.7,10.8,2.7
1987/1/3,10.4,13.6,8.4
1987/1/4,7.0,9.5,4.2
1987/1/5,4.4,5.6,3.5
1987/1/6,6.4,10.8,3.2
1987/1/7,7.4,9.9,3.3
1987/1/8,7.8,10.3,3.5
1987/1/9,6.7,11.3,3.0
1987/1/10,2.1,4.9,-0.2
1987/1/11,1.0,2.6,-0.3
1987/1/12,2.4,4.6,-1.4
1987/1/13,3.0,5.2,0.4
1987/1/14,1.8,3.2,-0.6
1987/1/15,3.8,5.7,1.6
1987/1/16,6.9,9.8,1.9
1987/1/17,8.3,13.9,3.3
1987/1/18,3.4,5.8,1.2
1987/1/19,2.2,4.2,0.7
1987/1/20,1.4,3.1,0.2
1987/1/21,2.1,6.5,-1.0
1987/1/22,3.5,9.5,-2.2
1987/1/23,9.1,11.1,5.9
1987/1/24,5.7,10.0,1.4
1987/1/25,0.6,2.5,-0.7
1987/1/26,1.1,3.5,-0.7
1987/1/27,2.1,4.2,0.4
1987/1/28,2.7,5.1,0.7
1987/1/29,6.4,10.8,2.0
1987/1/30,5.9,8.1,2.6
1987/1/31,2.3,4.1,0.8
1987/2/1,1.8,4.7,-1.5
1987/2/2,1.4,4.4,-2.2
1987/2/3,2.6,4.4,0.3
1987/2/4,2.9,4.7,0.7
1987/2/5,4.8,6.9,3.1
1987/2/6,6.8,9.3,3.6
1987/2/7,7.5,11.8,4.3
1987/2/8,7.8,12.0,2.5
1987/2/9,7.9,13.3,1.9
1987/2/10,12.2,17.2,5.0
1987/2/11,16.0,18.0,12.6
1987/2/12,9.0,17.0,5.3
1987/2/13,6.6,11.2,3.4
1987/2/14,6.4,10.9,4.9
1987/2/15,4.6,6.5,3.6
1987/2/16,4.4,6.9,2.0
1987/2/17,2.6,5.0,0.2
1987/2/18,6.0,8.9,2.9
1987/2/19,2.9,5.9,1.2
1987/2/20,3.5,7.0,0.3
1987/2/21,3.8,8.1,-1.7
1987/2/22,4.6,8.5,1.3
1987/2/23,6.1,11.1,3.8
1987/2/24,9.6,14.4,3.8
1987/2/25,1.7,8.7,-0.4
1987/2/26,-0.4,0.9,-1.2
1987/2/27,1.0,2.8,-1.1
1987/2/28,1.1,4.1,-1.7
1987/3/1,0.7,1.8,0.0
1987/3/2,2.2,4.4,-0.1
1987/3/3,3.3,5.9,0.7
1987/3/4,6.8,9.6,1.5
1987/3/5,10.3,14.3,5.6
1987/3/6,6.9,10.7,4.3
1987/3/7,1.8,4.5,0.0
1987/3/8,3.7,5.8,1.7
1987/3/9,4.2,6.3,1.8
1987/3/10,4.0,6.3,2.4
1987/3/11,5.7,8.2,2.7
1987/3/12,7.1,10.0,3.0
1987/3/13,10.4,12.3,8.5
1987/3/14,10.7,13.2,7.2
1987/3/15,6.4,9.7,4.1
1987/3/16,5.4,10.0,2.2
1987/3/17,5.4,8.6,1.9
1987/3/18,8.6,11.6,6.0
1987/3/19,10.8,16.1,3.4
1987/3/20,9.2,13.7,4.9
1987/3/21,12.1,18.7,2.3
1987/3/22,12.0,15.4,9.1
1987/3/23,15.9,18.1,13.4
1987/3/24,13.8,19.3,8.9
1987/3/25,4.8,9.9,1.3
1987/3/26,3.4,5.9,1.1
1987/3/27,5.9,12.4,1.4
1987/3/28,7.0,11.1,1.6
1987/3/29,9.4,13.3,5.4
1987/3/30,11.6,15.2,4.6
1987/3/31,6.0,12.6,3.6
1987/4/1,4.7,7.3,-0.3
1987/4/2,7.1,9.0,4.7
1987/4/3,8.7,12.7,5.2
1987/4/4,10.3,15.4,5.0
1987/4/5,11.2,16.7,5.0
1987/4/6,15.5,22.6,7.6
1987/4/7,13.8,14.7,12.2
1987/4/8,11.4,12.5,9.5
1987/4/9,16.6,20.6,7.2
1987/4/10,16.2,20.0,12.3
1987/4/11,9.4,12.3,7.1
1987/4/12,7.5,11.1,5.3
1987/4/13,6.0,8.8,4.2
1987/4/14,6.3,10.2,1.2
1987/4/15,7.9,12.7,1.8
1987/4/16,13.0,21.2,3.6
1987/4/17,16.2,21.4,12.8
1987/4/18,16.6,24.5,11.8
1987/4/19,16.6,21.6,11.3
1987/4/20,19.6,26.6,11.9
1987/4/21,19.8,23.6,16.2
1987/4/22,16.3,19.4,12.9
1987/4/23,15.1,19.4,11.3
1987/4/24,13.8,16.9,8.1
1987/4/25,11.1,15.5,5.5
1987/4/26,10.9,13.5,8.2
1987/4/27,10.6,13.7,7.4
1987/4/28,13.9,20.6,8.6
1987/4/29,16.8,24.4,8.0
1987/4/30,20.7,26.6,15.4
1987/5/1,17.0,18.0,16.1
