ダウンロードした時刻：2019/10/10 15:40:21

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,9.9,15.0,6.8
2016/12/2,8.5,11.2,5.8
2016/12/3,10.0,14.0,6.2
2016/12/4,9.0,15.0,4.5
2016/12/5,10.9,16.2,6.9
2016/12/6,7.5,12.5,3.2
2016/12/7,3.8,7.9,1.5
2016/12/8,3.8,8.8,0.3
2016/12/9,7.0,13.0,2.4
2016/12/10,3.4,7.2,-0.6
2016/12/11,0.9,4.0,-0.7
2016/12/12,2.0,6.1,-1.6
2016/12/13,5.7,10.9,0.0
2016/12/14,3.6,6.1,0.7
2016/12/15,2.8,5.8,-0.6
2016/12/16,1.1,5.7,-1.8
2016/12/17,2.9,6.4,-0.1
2016/12/18,7.1,12.5,1.0
2016/12/19,8.6,14.3,5.3
2016/12/20,9.4,14.5,5.5
2016/12/21,8.5,13.3,4.2
2016/12/22,11.0,17.9,5.1
2016/12/23,11.4,16.5,4.2
2016/12/24,4.1,7.0,-0.1
2016/12/25,3.3,7.3,-0.8
2016/12/26,3.2,6.4,-0.8
2016/12/27,4.8,8.5,3.3
2016/12/28,1.9,4.3,0.0
2016/12/29,3.2,10.2,-1.9
2016/12/30,2.5,4.3,0.3
2016/12/31,3.5,8.0,-0.1
2017/1/1,4.4,9.3,0.2
2017/1/2,6.8,10.3,3.3
2017/1/3,5.3,8.4,2.1
2017/1/4,3.0,6.1,1.3
2017/1/5,2.1,5.6,0.2
2017/1/6,1.7,5.6,-1.3
2017/1/7,4.5,9.2,0.1
2017/1/8,4.3,6.8,1.0
2017/1/9,4.9,8.2,1.6
2017/1/10,5.3,9.8,1.4
2017/1/11,0.2,3.1,-1.4
2017/1/12,-0.9,0.7,-1.7
2017/1/13,-0.1,2.3,-1.8
2017/1/14,-1.9,-0.1,-4.2
2017/1/15,-2.5,0.7,-5.2
2017/1/16,1.2,4.5,-2.7
2017/1/17,2.4,5.7,-1.3
2017/1/18,3.1,7.1,-0.8
2017/1/19,3.8,7.6,0.4
2017/1/20,2.1,5.2,0.3
2017/1/21,3.2,6.8,0.3
2017/1/22,3.3,9.4,-0.9
2017/1/23,0.6,3.2,-1.9
2017/1/24,-2.3,-0.9,-4.7
2017/1/25,0.0,4.4,-5.5
2017/1/26,2.8,8.1,-1.7
2017/1/27,5.1,12.6,-0.4
2017/1/28,4.4,7.8,2.0
2017/1/29,4.1,7.6,-0.5
2017/1/30,5.4,12.3,0.6
2017/1/31,2.0,4.9,-1.5
2017/2/1,3.0,9.8,-1.3
2017/2/2,-1.3,2.0,-3.7
2017/2/3,2.0,5.9,-2.4
2017/2/4,5.3,9.1,3.0
2017/2/5,5.5,7.9,2.7
2017/2/6,5.4,11.0,3.1
2017/2/7,0.9,3.4,-1.8
2017/2/8,1.3,5.0,-1.8
2017/2/9,1.3,2.4,0.4
2017/2/10,2.2,6.0,0.4
2017/2/11,2.2,6.7,-2.1
2017/2/12,3.6,6.9,0.6
2017/2/13,4.3,8.2,1.8
2017/2/14,3.5,8.2,-1.4
2017/2/15,4.2,8.2,-0.1
2017/2/16,6.8,12.7,-0.1
2017/2/17,8.4,17.2,2.8
2017/2/18,2.7,6.2,-0.4
2017/2/19,1.5,5.0,-1.0
2017/2/20,3.4,6.8,-0.8
2017/2/21,0.8,3.7,-1.0
2017/2/22,2.7,6.7,-2.6
2017/2/23,4.8,9.5,1.5
2017/2/24,2.9,5.7,1.2
2017/2/25,3.5,7.9,0.0
2017/2/26,5.0,10.0,1.2
2017/2/27,2.6,6.8,-0.2
2017/2/28,1.8,6.2,-2.5
2017/3/1,3.7,8.0,-1.1
2017/3/2,5.2,6.9,2.7
2017/3/3,6.2,9.9,2.4
2017/3/4,6.0,13.5,0.7
2017/3/5,5.5,10.9,0.7
2017/3/6,6.4,10.3,1.8
2017/3/7,3.1,6.5,0.5
2017/3/8,2.2,6.3,-0.7
2017/3/9,4.0,8.7,0.5
2017/3/10,3.7,8.9,-0.2
2017/3/11,3.7,8.0,0.8
2017/3/12,5.5,9.7,2.6
2017/3/13,5.4,7.8,2.0
2017/3/14,4.7,7.0,1.8
2017/3/15,2.8,5.5,0.8
2017/3/16,4.8,9.5,-0.2
2017/3/17,5.3,10.8,0.4
2017/3/18,7.1,12.4,2.5
2017/3/19,7.8,12.6,3.6
2017/3/20,9.0,14.3,5.3
2017/3/21,5.6,7.4,4.2
2017/3/22,6.9,11.2,2.2
2017/3/23,5.2,9.6,1.9
2017/3/24,3.9,7.7,0.1
2017/3/25,5.0,10.1,0.1
2017/3/26,5.5,9.5,2.0
2017/3/27,4.0,6.6,1.6
2017/3/28,6.5,10.8,2.1
2017/3/29,7.1,11.2,2.1
2017/3/30,8.9,15.5,2.3
2017/3/31,7.1,9.9,3.9
