ダウンロードした時刻：2019/10/10 15:44:38

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.8,13.1,6.9
2001/12/2,9.6,12.8,7.0
2001/12/3,11.7,14.1,7.6
2001/12/4,9.4,13.3,8.0
2001/12/5,11.2,15.0,7.8
2001/12/6,10.1,12.3,7.0
2001/12/7,5.9,8.0,3.4
2001/12/8,7.3,12.3,2.3
2001/12/9,6.4,8.1,4.9
2001/12/10,4.5,5.7,3.0
2001/12/11,5.0,7.0,3.3
2001/12/12,6.3,10.4,3.3
2001/12/13,9.2,13.0,5.0
2001/12/14,5.7,8.9,2.7
2001/12/15,4.3,6.4,2.0
2001/12/16,4.5,6.9,2.2
2001/12/17,6.8,10.0,4.5
2001/12/18,3.5,6.8,1.5
2001/12/19,4.1,7.6,2.1
2001/12/20,4.3,6.2,3.0
2001/12/21,6.4,9.3,3.3
2001/12/22,5.3,7.4,2.6
2001/12/23,4.2,7.4,2.0
2001/12/24,5.0,8.5,1.4
2001/12/25,4.7,9.6,0.5
2001/12/26,4.8,7.9,2.2
2001/12/27,4.2,7.3,2.4
2001/12/28,3.4,6.8,2.4
2001/12/29,5.7,10.6,0.0
2001/12/30,4.8,9.2,0.9
2001/12/31,3.5,5.5,0.8
2002/1/1,6.2,10.1,1.7
2002/1/2,0.6,4.0,-1.7
2002/1/3,2.1,3.5,-0.4
2002/1/4,4.2,10.0,1.2
2002/1/5,4.0,7.4,0.5
2002/1/6,1.8,3.5,0.5
2002/1/7,5.6,13.3,-1.0
2002/1/8,3.1,6.3,0.6
2002/1/9,4.1,6.4,2.2
2002/1/10,6.9,9.3,3.5
2002/1/11,7.8,9.5,4.3
2002/1/12,8.4,12.4,3.1
2002/1/13,7.7,11.1,4.3
2002/1/14,6.1,11.6,2.3
2002/1/15,11.8,17.1,3.3
2002/1/16,9.4,15.1,5.3
2002/1/17,3.9,5.7,2.3
2002/1/18,3.4,5.1,1.9
2002/1/19,4.2,7.8,1.3
2002/1/20,5.5,10.1,0.1
2002/1/21,7.5,9.5,6.4
2002/1/22,3.3,7.1,0.7
2002/1/23,1.4,3.7,0.5
2002/1/24,1.8,3.2,0.7
2002/1/25,1.6,3.2,0.0
2002/1/26,1.6,4.4,-2.3
2002/1/27,4.6,6.5,2.9
2002/1/28,4.1,6.2,2.6
2002/1/29,1.5,5.0,0.2
2002/1/30,2.1,4.8,0.3
2002/1/31,1.9,3.4,0.5
2002/2/1,2.9,5.9,-1.3
2002/2/2,6.0,9.3,3.3
2002/2/3,5.1,8.8,3.1
2002/2/4,5.1,9.3,1.2
2002/2/5,6.8,11.2,2.1
2002/2/6,7.1,12.7,2.8
2002/2/7,6.5,12.1,2.3
2002/2/8,8.5,13.0,3.3
2002/2/9,2.0,9.3,-0.5
2002/2/10,1.2,4.5,-1.1
2002/2/11,0.3,3.3,-1.7
2002/2/12,1.1,2.3,0.1
2002/2/13,1.7,4.9,-1.1
2002/2/14,0.7,3.1,-2.1
2002/2/15,2.2,5.5,0.3
2002/2/16,4.6,9.1,0.5
2002/2/17,8.0,12.5,3.0
2002/2/18,4.1,8.6,-0.1
2002/2/19,2.2,4.8,-0.4
2002/2/20,6.3,10.2,2.3
2002/2/21,8.7,13.1,3.0
2002/2/22,9.2,11.7,7.2
2002/2/23,6.7,10.0,3.8
2002/2/24,4.8,9.7,1.5
2002/2/25,4.3,9.1,-0.8
2002/2/26,8.1,12.2,4.5
2002/2/27,9.0,13.2,4.0
2002/2/28,8.7,11.1,7.3
2002/3/1,9.5,14.1,7.3
2002/3/2,5.5,12.0,1.8
2002/3/3,2.9,6.5,0.1
2002/3/4,5.4,11.1,-1.1
2002/3/5,7.1,12.9,3.3
2002/3/6,8.7,11.2,5.8
2002/3/7,5.2,8.1,2.2
2002/3/8,3.8,7.5,0.5
2002/3/9,8.4,14.3,1.2
2002/3/10,9.9,14.7,3.9
2002/3/11,8.4,11.5,4.3
2002/3/12,10.5,14.3,6.0
2002/3/13,8.2,14.2,3.7
2002/3/14,12.9,20.4,4.3
2002/3/15,12.6,18.7,9.0
2002/3/16,9.4,12.8,6.8
2002/3/17,11.7,18.2,5.1
2002/3/18,10.1,17.2,5.3
2002/3/19,12.0,16.4,7.9
2002/3/20,10.4,13.9,6.9
2002/3/21,15.5,21.5,7.3
2002/3/22,9.8,12.8,7.0
2002/3/23,6.9,9.8,3.2
2002/3/24,4.5,7.3,0.8
2002/3/25,6.7,10.9,2.0
2002/3/26,12.2,20.3,3.8
2002/3/27,9.4,12.5,4.9
2002/3/28,7.1,11.5,1.4
2002/3/29,11.4,19.8,5.8
2002/3/30,11.1,13.7,8.2
2002/3/31,11.6,17.2,6.7
