ダウンロードした時刻：2019/10/10 15:33:34

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,9.5,12.5,5.8
2014/12/2,-0.1,6.0,-2.5
2014/12/3,-0.9,1.8,-2.5
2014/12/4,-0.3,1.8,-1.6
2014/12/5,-1.8,0.1,-3.6
2014/12/6,-2.9,-1.5,-3.7
2014/12/7,-1.2,2.3,-5.2
2014/12/8,0.0,1.6,-1.2
2014/12/9,-0.3,2.2,-1.7
2014/12/10,0.2,1.7,-1.5
2014/12/11,4.0,6.7,0.5
2014/12/12,-0.9,1.1,-2.2
2014/12/13,-3.0,-0.9,-5.5
2014/12/14,-4.4,-3.1,-6.3
2014/12/15,-1.6,1.1,-3.6
2014/12/16,3.3,7.2,-2.5
2014/12/17,-1.2,4.5,-4.0
2014/12/18,0.8,3.2,-1.5
2014/12/19,1.3,2.7,-1.2
2014/12/20,5.6,8.1,1.9
2014/12/21,-2.2,6.2,-5.3
2014/12/22,-4.8,-2.4,-6.6
2014/12/23,-2.5,0.4,-6.0
2014/12/24,0.3,3.2,-2.5
2014/12/25,-2.7,-1.2,-3.9
2014/12/26,-3.4,-1.6,-5.1
2014/12/27,-0.7,1.7,-4.4
2014/12/28,2.9,4.9,-0.3
2014/12/29,3.2,5.1,1.3
2014/12/30,1.6,3.4,0.0
2014/12/31,-0.4,1.0,-2.3
2015/1/1,-1.4,0.9,-3.5
2015/1/2,-3.2,-1.7,-4.7
2015/1/3,-3.6,-2.1,-4.5
2015/1/4,0.0,1.9,-2.4
2015/1/5,1.7,3.9,-0.4
2015/1/6,2.6,6.9,-5.8
2015/1/7,-3.4,0.1,-7.5
2015/1/8,0.7,1.9,-0.5
2015/1/9,1.0,3.2,-0.5
2015/1/10,-0.8,0.6,-1.8
2015/1/11,-0.3,1.0,-1.7
2015/1/12,1.6,4.7,0.4
2015/1/13,0.8,2.5,0.0
2015/1/14,2.0,4.8,-0.4
2015/1/15,1.0,3.4,-1.2
2015/1/16,-0.1,2.2,-2.2
2015/1/17,-3.5,-1.0,-6.5
2015/1/18,-4.3,-2.4,-6.3
2015/1/19,-2.0,-0.2,-4.0
2015/1/20,-3.1,-0.7,-6.7
2015/1/21,0.0,2.2,-2.2
2015/1/22,1.1,2.5,-0.2
2015/1/23,1.5,2.9,-0.1
2015/1/24,0.5,1.9,-0.6
2015/1/25,0.7,3.7,-2.1
2015/1/26,2.4,5.3,0.9
2015/1/27,1.4,5.7,-4.7
2015/1/28,-4.6,-3.3,-6.4
2015/1/29,-2.3,-0.4,-4.1
2015/1/30,0.5,2.2,-1.8
2015/1/31,1.8,4.8,-1.0
2015/2/1,-1.0,1.6,-2.4
2015/2/2,-1.3,1.7,-2.6
2015/2/3,-2.3,0.8,-4.9
2015/2/4,-3.3,1.1,-7.1
2015/2/5,-3.2,0.0,-6.6
2015/2/6,-1.6,1.6,-5.7
2015/2/7,1.0,3.3,-0.7
2015/2/8,2.4,3.6,-0.1
2015/2/9,-5.6,-0.1,-8.1
2015/2/10,-5.5,-3.0,-7.7
2015/2/11,-1.1,0.7,-3.3
2015/2/12,-0.5,2.1,-2.0
2015/2/13,-0.8,1.2,-2.1
2015/2/14,-0.7,1.5,-2.4
2015/2/15,0.1,2.2,-2.6
2015/2/16,2.2,4.8,0.5
2015/2/17,1.6,3.9,-1.0
2015/2/18,1.4,2.5,-0.3
2015/2/19,1.5,3.7,-1.3
2015/2/20,1.3,4.0,-1.0
2015/2/21,0.7,3.1,-0.8
2015/2/22,1.4,2.5,-0.1
2015/2/23,3.4,6.1,0.7
2015/2/24,1.3,4.0,-0.4
2015/2/25,0.8,4.2,-1.8
2015/2/26,0.6,3.2,-2.6
2015/2/27,2.9,5.5,1.4
2015/2/28,1.6,4.5,-0.9
2015/3/1,0.7,2.5,-1.7
2015/3/2,1.7,4.9,0.2
2015/3/3,2.3,6.1,0.4
2015/3/4,1.0,2.4,-0.1
2015/3/5,2.2,5.4,0.0
2015/3/6,1.2,4.2,-1.8
2015/3/7,2.2,4.6,1.0
2015/3/8,2.3,6.9,0.2
2015/3/9,2.6,4.3,0.1
2015/3/10,2.3,4.8,-0.9
2015/3/11,-1.1,0.6,-2.4
2015/3/12,-0.4,2.7,-1.6
2015/3/13,1.2,3.6,-0.3
2015/3/14,2.1,6.1,-1.2
2015/3/15,2.7,5.5,0.9
2015/3/16,4.9,9.8,1.1
2015/3/17,6.2,11.5,2.3
2015/3/18,5.0,9.7,2.6
2015/3/19,4.7,8.6,2.2
2015/3/20,2.9,4.3,1.0
2015/3/21,4.4,9.6,-0.7
2015/3/22,5.0,10.8,2.0
2015/3/23,0.4,4.3,-3.1
2015/3/24,0.9,5.6,-3.1
2015/3/25,3.1,7.5,0.9
2015/3/26,5.0,8.9,-0.1
2015/3/27,7.7,11.9,5.0
2015/3/28,9.1,14.3,5.9
2015/3/29,8.9,14.0,5.1
2015/3/30,7.4,12.9,4.5
2015/3/31,8.0,12.6,4.6
