ダウンロードした時刻：2019/10/10 16:11:45

,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,15.0,17.3,14.1
1992/12/2,11.7,14.5,8.8
1992/12/3,10.0,13.8,7.3
1992/12/4,10.1,14.5,6.1
1992/12/5,9.9,14.1,5.9
1992/12/6,12.0,17.9,6.9
1992/12/7,15.1,18.0,13.1
1992/12/8,16.3,19.8,13.9
1992/12/9,13.7,16.3,10.7
1992/12/10,13.1,17.4,10.0
1992/12/11,8.7,14.9,5.4
1992/12/12,8.4,11.6,4.8
1992/12/13,10.2,15.8,4.9
1992/12/14,7.0,10.4,3.8
1992/12/15,5.5,9.2,1.3
1992/12/16,7.1,10.3,2.7
1992/12/17,7.8,11.8,3.2
1992/12/18,7.7,10.6,5.3
1992/12/19,7.5,11.1,3.2
1992/12/20,7.4,8.9,5.2
1992/12/21,11.0,15.0,7.1
1992/12/22,11.3,14.7,8.4
1992/12/23,7.3,10.5,3.4
1992/12/24,4.6,7.8,2.6
1992/12/25,4.7,8.3,0.7
1992/12/26,6.7,10.2,3.2
1992/12/27,8.2,12.8,2.9
1992/12/28,10.8,13.1,7.9
1992/12/29,11.2,14.0,6.9
1992/12/30,9.2,12.6,4.9
1992/12/31,7.9,10.7,5.3
1993/1/1,6.8,11.1,2.7
1993/1/2,7.3,12.4,3.7
1993/1/3,8.7,13.2,3.1
1993/1/4,8.5,10.9,6.0
1993/1/5,6.5,9.8,4.6
1993/1/6,5.8,9.2,2.1
1993/1/7,9.3,12.2,6.5
1993/1/8,9.2,11.6,6.4
1993/1/9,6.1,7.9,3.0
1993/1/10,7.6,9.4,6.0
1993/1/11,8.6,10.8,6.8
1993/1/12,7.8,11.0,5.0
1993/1/13,7.3,9.6,4.4
1993/1/14,7.6,8.6,6.7
1993/1/15,8.5,9.3,7.4
1993/1/16,9.6,10.9,7.5
1993/1/17,6.4,9.1,4.1
1993/1/18,6.5,10.6,3.7
1993/1/19,5.0,7.6,2.9
1993/1/20,5.1,9.4,0.9
1993/1/21,4.3,8.1,1.5
1993/1/22,4.3,8.2,0.7
1993/1/23,4.6,8.0,1.1
1993/1/24,6.8,9.2,4.3
1993/1/25,7.9,10.4,5.9
1993/1/26,8.7,12.7,5.5
1993/1/27,6.8,11.6,3.1
1993/1/28,3.4,6.8,1.4
1993/1/29,4.7,8.2,1.0
1993/1/30,6.7,10.5,2.3
1993/1/31,8.2,11.2,5.3
1993/2/1,5.4,9.3,2.5
1993/2/2,2.8,5.2,1.2
1993/2/3,4.9,7.7,1.1
1993/2/4,8.2,12.9,4.4
1993/2/5,7.8,12.8,2.5
1993/2/6,11.5,19.0,3.7
1993/2/7,14.0,19.6,7.5
1993/2/8,4.9,7.6,2.4
1993/2/9,5.0,8.3,2.0
1993/2/10,6.3,10.3,3.3
1993/2/11,6.8,10.9,1.4
1993/2/12,8.3,10.9,6.1
1993/2/13,8.7,11.6,4.5
1993/2/14,6.4,10.2,2.8
1993/2/15,6.1,11.5,0.0
1993/2/16,10.0,15.7,4.2
1993/2/17,12.0,15.5,9.7
1993/2/18,9.2,12.3,7.0
1993/2/19,7.0,9.9,4.9
1993/2/20,8.0,12.7,4.9
1993/2/21,8.9,11.3,5.8
1993/2/22,11.7,15.0,9.0
1993/2/23,5.5,9.0,2.2
1993/2/24,3.8,7.2,2.1
1993/2/25,4.4,7.4,2.6
1993/2/26,5.4,9.5,0.8
1993/2/27,7.7,12.7,1.8
1993/2/28,8.7,11.9,6.6
1993/3/1,5.9,8.3,2.3
1993/3/2,4.5,8.2,1.4
1993/3/3,6.5,9.6,3.1
1993/3/4,7.8,12.2,3.4
1993/3/5,9.2,14.8,2.3
1993/3/6,11.8,17.2,5.2
1993/3/7,10.6,15.1,6.9
1993/3/8,6.0,8.4,4.6
1993/3/9,7.0,10.3,5.0
1993/3/10,8.2,12.7,4.3
1993/3/11,8.4,12.3,3.7
1993/3/12,8.5,12.9,6.0
1993/3/13,7.0,10.7,4.9
1993/3/14,8.8,13.5,4.8
1993/3/15,5.8,7.8,4.2
1993/3/16,4.9,7.3,2.9
1993/3/17,4.8,7.8,2.4
1993/3/18,6.8,11.8,2.9
1993/3/19,7.0,11.4,4.7
1993/3/20,6.3,9.6,2.7
1993/3/21,7.7,13.3,1.4
1993/3/22,9.9,15.6,4.1
1993/3/23,12.8,18.5,5.7
1993/3/24,13.7,18.1,12.2
1993/3/25,13.5,15.7,11.1
1993/3/26,13.5,17.3,9.7
1993/3/27,14.5,19.4,9.2
1993/3/28,11.4,14.4,10.4
1993/3/29,6.5,10.9,3.8
1993/3/30,8.1,13.1,2.0
1993/3/31,13.6,19.8,7.8
