ダウンロードした時刻：2019/10/10 16:19:11

,下関,下関,下関
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,9.8,12.3,6.4
1995/12/2,10.4,14.0,8.1
1995/12/3,10.2,11.4,9.2
1995/12/4,8.7,11.2,6.1
1995/12/5,7.4,9.2,4.7
1995/12/6,5.7,6.5,4.8
1995/12/7,7.4,10.2,4.3
1995/12/8,7.2,8.6,4.3
1995/12/9,7.8,10.0,5.3
1995/12/10,8.2,12.2,4.9
1995/12/11,10.6,14.9,7.3
1995/12/12,11.6,13.6,8.6
1995/12/13,9.8,12.6,6.5
1995/12/14,11.1,14.1,8.2
1995/12/15,11.4,12.9,8.0
1995/12/16,8.6,10.7,5.3
1995/12/17,9.2,11.0,7.5
1995/12/18,8.1,10.6,4.4
1995/12/19,9.0,11.2,6.6
1995/12/20,9.6,12.6,7.2
1995/12/21,8.2,10.0,5.6
1995/12/22,7.9,12.0,3.9
1995/12/23,9.6,12.5,6.6
1995/12/24,7.3,11.5,3.2
1995/12/25,2.3,4.1,-0.3
1995/12/26,4.6,5.9,3.6
1995/12/27,6.4,9.8,3.1
1995/12/28,7.6,8.9,5.9
1995/12/29,6.5,8.8,5.6
1995/12/30,3.6,6.7,1.7
1995/12/31,5.9,10.2,1.0
1996/1/1,7.8,10.5,4.4
1996/1/2,7.3,11.8,2.2
1996/1/3,8.8,12.8,4.5
1996/1/4,4.6,6.9,3.0
1996/1/5,7.3,11.9,3.2
1996/1/6,8.7,10.1,7.1
1996/1/7,10.1,11.4,8.6
1996/1/8,6.3,12.4,0.9
1996/1/9,2.3,5.7,0.3
1996/1/10,6.2,7.7,4.6
1996/1/11,6.4,10.0,3.6
1996/1/12,6.9,11.4,2.7
1996/1/13,7.2,9.7,3.8
1996/1/14,11.0,12.4,8.9
1996/1/15,12.6,14.7,10.2
1996/1/16,8.4,10.3,6.4
1996/1/17,6.5,8.7,4.1
1996/1/18,5.5,8.4,3.9
1996/1/19,7.0,10.3,4.0
1996/1/20,7.5,10.0,6.1
1996/1/21,7.0,10.0,4.3
1996/1/22,6.9,9.3,3.6
1996/1/23,7.8,9.4,6.8
1996/1/24,5.2,7.8,3.3
1996/1/25,4.1,7.1,1.6
1996/1/26,3.5,5.4,1.5
1996/1/27,4.9,8.9,1.0
1996/1/28,6.5,9.0,3.6
1996/1/29,7.8,9.3,6.1
1996/1/30,5.0,8.2,2.8
1996/1/31,4.4,6.2,2.9
1996/2/1,2.6,5.6,0.2
1996/2/2,-0.4,1.6,-4.0
1996/2/3,3.0,5.3,0.1
1996/2/4,5.8,8.2,2.2
1996/2/5,5.2,8.7,2.3
1996/2/6,2.2,4.2,0.8
1996/2/7,4.5,7.8,2.6
1996/2/8,5.5,7.7,3.0
1996/2/9,4.0,7.7,0.6
1996/2/10,1.9,3.2,-0.2
1996/2/11,5.0,10.5,0.1
1996/2/12,10.6,16.9,5.5
1996/2/13,13.5,18.0,10.3
1996/2/14,13.3,18.3,9.0
1996/2/15,11.2,14.0,7.4
1996/2/16,7.4,9.8,5.7
1996/2/17,5.2,6.9,3.7
1996/2/18,5.0,8.7,3.4
1996/2/19,5.1,7.7,2.9
1996/2/20,4.5,6.1,3.1
1996/2/21,3.4,4.8,0.7
1996/2/22,4.0,7.7,-0.2
1996/2/23,5.3,7.4,3.4
1996/2/24,5.4,8.2,2.6
1996/2/25,4.6,5.8,3.3
1996/2/26,6.8,10.2,3.2
1996/2/27,7.4,8.7,5.4
1996/2/28,6.6,10.3,2.1
1996/2/29,6.6,9.1,4.3
1996/3/1,8.2,10.6,6.9
1996/3/2,7.0,9.0,5.6
1996/3/3,8.4,10.2,6.1
1996/3/4,9.0,12.8,5.0
1996/3/5,5.1,8.4,3.4
1996/3/6,6.2,9.9,2.5
1996/3/7,9.0,14.6,6.4
1996/3/8,9.8,14.1,8.3
1996/3/9,7.0,9.4,5.4
1996/3/10,7.5,9.7,5.2
1996/3/11,7.3,11.2,3.6
1996/3/12,5.9,8.6,2.7
1996/3/13,8.4,12.5,4.2
1996/3/14,9.3,12.5,6.5
1996/3/15,8.9,10.6,6.9
1996/3/16,9.3,12.2,6.0
1996/3/17,13.6,20.6,9.8
1996/3/18,8.9,11.0,6.0
1996/3/19,7.7,9.5,6.0
1996/3/20,9.2,12.1,6.4
1996/3/21,11.4,12.5,9.7
1996/3/22,10.8,12.8,8.7
1996/3/23,8.5,10.1,6.5
1996/3/24,5.9,7.6,4.8
1996/3/25,9.7,12.8,6.3
1996/3/26,10.7,15.3,6.9
1996/3/27,10.4,12.4,9.2
1996/3/28,11.3,14.7,7.0
1996/3/29,9.7,11.6,8.9
1996/3/30,13.7,18.3,11.4
1996/3/31,11.5,13.9,10.2
