ダウンロードした時刻：2019/10/10 16:23:13

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,13.8,17.8,9.9
2000/12/2,14.5,18.0,11.1
2000/12/3,14.8,17.8,12.1
2000/12/4,11.1,15.5,4.3
2000/12/5,10.9,16.7,4.7
2000/12/6,10.7,14.3,5.4
2000/12/7,12.0,15.9,7.9
2000/12/8,11.5,17.0,6.2
2000/12/9,12.4,18.5,4.7
2000/12/10,15.0,19.8,10.5
2000/12/11,6.8,10.5,5.0
2000/12/12,5.6,6.9,4.6
2000/12/13,7.8,11.0,6.2
2000/12/14,8.6,13.0,3.2
2000/12/15,8.3,16.1,1.6
2000/12/16,11.4,18.9,5.6
2000/12/17,12.0,15.1,7.7
2000/12/18,11.4,16.7,6.9
2000/12/19,13.1,15.9,9.5
2000/12/20,10.7,13.2,7.3
2000/12/21,8.4,11.4,2.7
2000/12/22,6.9,14.4,1.4
2000/12/23,10.5,16.2,4.9
2000/12/24,9.3,13.2,7.1
2000/12/25,8.6,12.4,5.2
2000/12/26,5.5,8.0,3.3
2000/12/27,5.3,11.9,-0.2
2000/12/28,8.1,13.6,2.8
2000/12/29,8.1,13.8,2.9
2000/12/30,8.6,12.9,2.7
2000/12/31,9.3,11.5,6.5
2001/1/1,6.7,10.1,4.7
2001/1/2,9.9,12.9,5.9
2001/1/3,7.2,8.8,5.5
2001/1/4,6.5,8.6,2.5
2001/1/5,5.9,9.3,1.4
2001/1/6,8.1,11.3,3.8
2001/1/7,13.0,18.6,8.8
2001/1/8,12.1,15.0,10.4
2001/1/9,13.2,16.5,8.7
2001/1/10,6.1,9.6,1.1
2001/1/11,8.3,12.7,1.0
2001/1/12,6.0,9.2,1.7
2001/1/13,6.3,11.9,2.3
2001/1/14,1.7,4.6,0.0
2001/1/15,0.8,2.6,-1.0
2001/1/16,2.1,3.3,0.4
2001/1/17,2.7,6.2,-1.1
2001/1/18,4.0,9.7,-2.0
2001/1/19,6.7,11.7,-0.2
2001/1/20,12.2,16.3,9.5
2001/1/21,8.1,12.4,1.9
2001/1/22,8.1,10.6,1.9
2001/1/23,9.6,13.5,7.2
2001/1/24,9.1,10.5,7.6
2001/1/25,10.8,12.4,9.0
2001/1/26,10.7,12.4,8.0
2001/1/27,8.5,10.1,7.0
2001/1/28,6.8,10.8,3.7
2001/1/29,5.2,8.6,3.6
2001/1/30,6.3,9.3,1.9
2001/1/31,7.8,12.9,-0.2
2001/2/1,7.5,12.3,4.9
2001/2/2,5.6,8.3,1.6
2001/2/3,5.6,10.5,0.1
2001/2/4,7.5,8.3,5.4
2001/2/5,10.2,13.0,8.0
2001/2/6,11.9,15.2,9.6
2001/2/7,9.1,11.0,6.1
2001/2/8,4.7,6.8,3.5
2001/2/9,5.5,8.5,3.0
2001/2/10,6.6,9.9,1.2
2001/2/11,6.2,12.0,-0.1
2001/2/12,7.2,8.7,5.7
2001/2/13,7.8,10.5,5.5
2001/2/14,5.2,7.4,3.2
2001/2/15,6.4,11.2,-1.2
2001/2/16,5.2,8.3,2.1
2001/2/17,5.1,10.4,-0.7
2001/2/18,9.1,13.8,2.8
2001/2/19,10.7,15.8,5.2
2001/2/20,9.4,15.5,3.4
2001/2/21,11.4,17.5,5.1
2001/2/22,12.0,18.3,6.5
2001/2/23,15.2,20.5,7.8
2001/2/24,10.8,14.8,7.2
2001/2/25,6.1,8.6,3.8
2001/2/26,7.2,11.3,2.8
2001/2/27,12.3,17.8,3.9
2001/2/28,13.7,16.9,10.8
2001/3/1,10.3,12.2,9.1
2001/3/2,9.7,14.1,4.8
2001/3/3,10.9,16.1,4.3
2001/3/4,6.5,10.0,3.5
2001/3/5,7.2,11.6,3.0
2001/3/6,12.6,17.8,4.8
2001/3/7,7.4,12.4,4.6
2001/3/8,3.4,6.4,0.5
2001/3/9,3.4,7.0,0.4
2001/3/10,8.7,14.9,-0.1
2001/3/11,9.2,14.4,4.6
2001/3/12,7.8,10.4,3.2
2001/3/13,8.4,13.4,3.3
2001/3/14,15.2,20.4,2.9
2001/3/15,13.4,18.4,8.1
2001/3/16,9.3,14.0,3.8
2001/3/17,12.0,16.5,8.1
2001/3/18,11.7,14.4,7.9
2001/3/19,12.4,19.2,6.8
2001/3/20,13.5,20.5,6.3
2001/3/21,14.3,19.5,9.1
2001/3/22,15.9,22.4,9.2
2001/3/23,14.3,18.7,9.3
2001/3/24,14.4,19.5,7.6
2001/3/25,15.6,18.6,13.9
2001/3/26,12.5,16.5,6.0
2001/3/27,11.8,16.2,5.9
2001/3/28,12.2,17.8,9.2
2001/3/29,8.6,11.3,6.7
2001/3/30,9.9,16.1,0.9
2001/3/31,8.4,12.0,5.9
