ダウンロードした時刻：2019/10/10 15:52:20

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/12/1,8.5,15.4,2.7
2015/12/2,7.5,10.8,3.0
2015/12/3,10.5,13.8,8.8
2015/12/4,10.2,13.9,5.6
2015/12/5,10.3,16.4,3.7
2015/12/6,7.0,12.5,1.6
2015/12/7,6.8,12.6,2.5
2015/12/8,5.5,11.9,1.0
2015/12/9,5.0,12.6,-0.6
2015/12/10,7.7,14.4,0.6
2015/12/11,15.6,23.8,8.6
2015/12/12,10.4,13.4,5.8
2015/12/13,9.6,13.6,4.7
2015/12/14,9.9,12.9,6.7
2015/12/15,10.7,14.0,6.2
2015/12/16,11.8,16.7,6.4
2015/12/17,8.2,11.0,4.5
2015/12/18,4.8,10.4,-0.3
2015/12/19,4.4,11.0,-1.1
2015/12/20,3.9,11.1,-2.7
2015/12/21,6.5,11.7,2.8
2015/12/22,6.7,13.9,0.6
2015/12/23,4.9,9.1,-0.2
2015/12/24,9.2,13.9,6.2
2015/12/25,8.4,13.9,4.3
2015/12/26,5.7,11.3,-1.0
2015/12/27,4.5,9.1,-0.3
2015/12/28,1.9,8.7,-4.0
2015/12/29,3.0,9.4,-2.6
2015/12/30,3.0,10.4,-3.0
2015/12/31,4.7,10.3,0.3
2016/1/1,5.5,11.0,0.7
2016/1/2,4.8,12.6,0.5
2016/1/3,6.3,15.7,-0.8
2016/1/4,7.1,15.1,0.5
2016/1/5,7.2,13.7,0.9
2016/1/6,5.9,9.2,2.4
2016/1/7,5.7,12.7,0.8
2016/1/8,3.8,9.9,-0.4
2016/1/9,4.5,11.1,-0.8
2016/1/10,6.4,13.5,0.7
2016/1/11,4.0,8.7,-1.1
2016/1/12,2.7,4.4,-1.8
2016/1/13,1.6,8.8,-4.4
2016/1/14,3.8,11.0,-3.1
2016/1/15,3.1,7.4,-0.9
2016/1/16,4.2,11.3,-1.2
2016/1/17,4.4,8.8,-1.6
2016/1/18,5.7,10.3,1.3
2016/1/19,4.4,8.3,0.9
2016/1/20,3.5,8.4,-0.3
2016/1/21,2.7,9.3,-3.1
2016/1/22,3.1,10.2,-1.9
2016/1/23,1.2,5.0,-1.5
2016/1/24,2.0,7.3,-1.5
2016/1/25,1.5,7.3,-3.1
2016/1/26,1.8,9.8,-4.8
2016/1/27,4.1,12.9,-3.8
2016/1/28,4.8,13.9,-2.7
2016/1/29,2.9,7.0,0.2
2016/1/30,2.0,4.7,0.3
2016/1/31,3.8,9.8,-1.0
2016/2/1,2.8,6.1,0.2
2016/2/2,3.5,9.5,-1.0
2016/2/3,2.1,8.4,-2.7
2016/2/4,2.9,9.4,-2.9
2016/2/5,3.9,11.2,-2.4
2016/2/6,4.1,7.5,0.6
2016/2/7,2.8,7.2,-2.4
2016/2/8,1.2,6.3,-3.8
2016/2/9,4.5,12.7,-3.3
2016/2/10,3.9,9.9,-2.8
2016/2/11,2.7,9.9,-3.8
2016/2/12,4.8,11.1,-3.1
2016/2/13,13.3,19.9,6.5
2016/2/14,17.5,23.2,11.8
2016/2/15,5.5,11.9,0.3
2016/2/16,2.7,8.6,-2.6
2016/2/17,3.5,12.4,-2.9
2016/2/18,3.0,9.4,-3.9
2016/2/19,8.0,17.2,-0.6
2016/2/20,7.6,13.3,3.2
2016/2/21,8.9,15.6,3.9
2016/2/22,4.5,9.2,-0.4
2016/2/23,5.9,9.4,2.8
2016/2/24,4.2,7.9,1.2
2016/2/25,2.8,8.4,-0.5
2016/2/26,3.5,10.6,-2.6
2016/2/27,4.1,10.4,-2.1
2016/2/28,5.5,10.1,-0.6
2016/2/29,6.7,12.2,3.1
2016/3/1,3.8,8.7,0.2
2016/3/2,3.5,12.3,-4.0
2016/3/3,7.3,17.0,-2.6
2016/3/4,5.7,10.4,0.0
2016/3/5,7.6,10.3,4.3
2016/3/6,13.0,18.1,7.6
2016/3/7,14.7,16.3,12.2
2016/3/8,14.0,20.1,11.1
2016/3/9,6.2,13.4,2.5
2016/3/10,5.3,8.0,2.9
2016/3/11,4.2,6.1,2.8
2016/3/12,4.8,8.8,1.9
2016/3/13,5.4,7.9,2.0
2016/3/14,5.5,7.7,3.9
2016/3/15,6.9,12.6,3.1
2016/3/16,6.4,12.5,-0.9
2016/3/17,10.4,18.6,3.0
2016/3/18,13.4,21.1,3.6
2016/3/19,14.6,18.1,11.9
2016/3/20,10.6,15.5,7.7
2016/3/21,7.0,11.3,1.4
2016/3/22,7.9,16.1,-0.5
2016/3/23,8.2,13.9,4.3
2016/3/24,5.3,8.8,1.5
2016/3/25,5.5,12.1,-1.0
2016/3/26,6.1,13.4,1.2
2016/3/27,7.2,13.8,0.9
2016/3/28,10.1,15.6,5.5
2016/3/29,9.9,15.3,3.6
2016/3/30,13.2,19.9,7.0
2016/3/31,14.0,20.4,9.2
