ダウンロードした時刻：2017/07/24 15:47:25

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/1/1,10.5,14.4,4.7
2014/1/2,7.2,15.0,1.5
2014/1/3,6.6,12.2,1.9
2014/1/4,7.9,14.4,2.9
2014/1/5,7.1,13.7,1.1
2014/1/6,5.7,11.2,0.5
2014/1/7,7.0,13.6,0.2
2014/1/8,8.9,11.5,7.4
2014/1/9,5.2,8.4,0.3
2014/1/10,1.6,5.8,-2.0
2014/1/11,4.0,9.0,-0.3
2014/1/12,4.0,9.3,-0.7
2014/1/13,3.8,9.3,-0.6
2014/1/14,5.1,9.4,1.0
2014/1/15,3.8,9.3,-1.4
2014/1/16,4.1,10.3,-1.6
2014/1/17,4.7,10.3,0.3
2014/1/18,4.7,9.2,0.2
2014/1/19,4.1,10.7,-1.6
2014/1/20,6.7,15.3,-1.0
2014/1/21,4.6,7.6,0.8
2014/1/22,3.4,8.3,0.0
2014/1/23,3.6,11.5,-2.1
2014/1/24,5.9,14.9,-2.4
2014/1/25,10.1,16.6,3.7
2014/1/26,9.7,13.7,4.7
2014/1/27,5.5,12.0,-0.3
2014/1/28,7.7,14.8,0.6
2014/1/29,9.2,17.1,2.2
2014/1/30,12.4,15.4,8.5
2014/1/31,11.1,16.9,5.3
2014/2/1,12.0,20.3,4.8
2014/2/2,15.7,20.7,12.6
2014/2/3,14.1,17.6,10.8
2014/2/4,5.3,10.8,1.6
2014/2/5,3.9,8.1,-0.8
2014/2/6,4.2,4.8,3.2
2014/2/7,6.4,8.3,4.8
2014/2/8,7.3,11.3,3.7
2014/2/9,6.0,10.6,1.9
2014/2/10,5.1,8.0,2.7
2014/2/11,3.5,7.8,0.3
2014/2/12,4.7,10.7,-0.1
2014/2/13,2.9,5.5,0.7
2014/2/14,3.8,6.0,1.7
2014/2/15,5.8,10.1,2.5
2014/2/16,5.7,12.9,-1.0
2014/2/17,6.4,10.8,3.7
2014/2/18,4.4,6.3,1.9
2014/2/19,4.8,8.0,2.3
2014/2/20,5.8,12.0,0.1
2014/2/21,5.8,12.7,-1.0
2014/2/22,6.4,13.3,0.6
2014/2/23,7.5,14.3,0.6
2014/2/24,8.4,15.9,1.0
2014/2/25,9.2,17.2,1.7
2014/2/26,11.1,14.2,8.0
2014/2/27,13.0,16.0,9.0
2014/2/28,11.9,17.6,8.0
2014/3/1,11.7,14.1,10.0
2014/3/2,10.9,15.7,7.3
2014/3/3,9.1,14.8,5.4
2014/3/4,10.8,17.2,2.6
2014/3/5,9.9,13.8,5.2
2014/3/6,5.9,10.4,2.1
2014/3/7,5.1,10.8,-0.4
2014/3/8,5.6,10.8,-0.8
2014/3/9,7.3,11.5,1.9
2014/3/10,6.5,11.3,2.2
2014/3/11,6.8,14.4,-1.4
2014/3/12,12.3,20.0,2.2
2014/3/13,11.8,16.2,7.2
2014/3/14,6.0,9.5,2.3
2014/3/15,7.3,14.3,0.0
2014/3/16,11.4,18.2,4.3
2014/3/17,13.3,20.1,4.9
2014/3/18,16.1,19.0,14.2
2014/3/19,16.9,21.4,14.4
2014/3/20,12.0,15.5,7.1
2014/3/21,7.6,12.2,3.7
2014/3/22,7.8,15.1,0.7
2014/3/23,11.0,19.7,2.7
2014/3/24,13.1,20.6,5.2
2014/3/25,15.5,19.1,11.2
2014/3/26,17.1,18.8,14.8
2014/3/27,17.9,23.1,13.1
2014/3/28,17.2,24.7,9.2
2014/3/29,16.0,18.6,14.5
2014/3/30,15.9,18.9,11.0
2014/3/31,13.7,19.7,7.3
2014/4/1,15.2,22.8,8.1
2014/4/2,17.5,24.1,11.1
2014/4/3,15.4,20.4,11.4
2014/4/4,10.8,14.3,6.6
2014/4/5,9.3,14.7,3.9
2014/4/6,9.9,14.3,5.4
2014/4/7,10.2,15.9,2.7
2014/4/8,13.9,21.4,7.5
2014/4/9,15.2,23.2,7.7
2014/4/10,16.2,23.9,8.1
2014/4/11,17.0,24.9,10.0
2014/4/12,16.6,21.0,13.5
2014/4/13,13.5,15.3,12.2
2014/4/14,15.7,22.4,9.7
2014/4/15,14.5,23.4,5.4
2014/4/16,15.5,20.7,9.7
2014/4/17,17.0,23.5,10.9
2014/4/18,17.3,19.0,14.9
2014/4/19,16.6,23.1,12.1
2014/4/20,15.7,18.8,12.7
2014/4/21,17.8,21.4,14.9
2014/4/22,16.3,19.1,12.1
2014/4/23,16.7,24.3,8.8
2014/4/24,17.9,25.1,9.9
2014/4/25,18.6,25.3,10.2
2014/4/26,19.7,27.2,13.7
2014/4/27,18.6,22.6,14.4
2014/4/28,18.3,20.9,16.0
2014/4/29,17.0,20.0,15.5
2014/4/30,15.8,18.2,13.2
2014/5/1,17.5,22.5,14.2
