ダウンロードした時刻：2019/10/10 16:02:01

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,13.8,17.3,11.4
1998/12/2,11.1,14.0,7.4
1998/12/3,6.5,7.6,5.6
1998/12/4,8.1,10.7,5.3
1998/12/5,10.2,12.2,8.5
1998/12/6,12.2,14.4,9.5
1998/12/7,10.1,11.8,8.9
1998/12/8,13.6,15.7,9.6
1998/12/9,10.1,14.4,5.1
1998/12/10,9.1,12.0,5.5
1998/12/11,9.8,13.8,5.8
1998/12/12,8.0,11.0,6.2
1998/12/13,10.9,14.2,5.9
1998/12/14,13.7,16.1,11.2
1998/12/15,13.1,16.0,9.2
1998/12/16,13.6,15.1,9.4
1998/12/17,11.0,16.6,5.1
1998/12/18,10.1,14.1,6.0
1998/12/19,12.9,17.0,5.4
1998/12/20,12.7,15.3,8.7
1998/12/21,9.1,12.6,6.0
1998/12/22,11.5,15.8,4.3
1998/12/23,9.9,14.9,5.4
1998/12/24,10.0,12.9,7.3
1998/12/25,8.4,11.5,4.5
1998/12/26,10.5,13.9,5.3
1998/12/27,9.1,12.0,7.4
1998/12/28,8.6,13.6,4.0
1998/12/29,10.5,15.4,4.0
1998/12/30,11.5,13.6,8.0
1998/12/31,7.3,9.6,3.8
1999/1/1,5.9,9.2,2.3
1999/1/2,7.8,11.8,1.7
1999/1/3,7.8,10.4,4.8
1999/1/4,7.7,12.2,3.5
1999/1/5,6.6,9.9,4.0
1999/1/6,12.5,15.2,9.1
1999/1/7,11.6,14.3,6.5
1999/1/8,4.8,7.1,3.1
1999/1/9,4.6,7.5,2.4
1999/1/10,5.9,9.2,3.8
1999/1/11,7.1,11.5,3.4
1999/1/12,7.2,11.0,3.3
1999/1/13,6.7,11.1,1.9
1999/1/14,8.3,11.5,4.9
1999/1/15,5.9,8.3,2.5
1999/1/16,6.9,11.7,0.7
1999/1/17,6.8,11.3,3.5
1999/1/18,8.1,14.0,2.0
1999/1/19,9.7,12.3,7.6
1999/1/20,11.7,15.7,5.8
1999/1/21,8.5,11.7,5.7
1999/1/22,8.5,12.4,4.7
1999/1/23,10.3,14.5,5.4
1999/1/24,6.9,11.4,4.7
1999/1/25,8.0,10.9,5.8
1999/1/26,9.8,15.1,5.1
1999/1/27,9.8,12.9,7.1
1999/1/28,12.1,15.4,7.3
1999/1/29,7.1,9.9,3.0
1999/1/30,4.8,8.7,0.2
1999/1/31,6.8,11.8,0.4
1999/2/1,5.9,9.5,1.9
1999/2/2,6.8,11.8,1.2
1999/2/3,4.2,7.5,0.4
1999/2/4,2.6,7.2,-1.0
1999/2/5,5.1,9.3,-0.4
1999/2/6,5.2,10.9,-0.1
1999/2/7,6.6,11.8,1.1
1999/2/8,8.0,13.7,2.7
1999/2/9,9.4,13.1,6.5
1999/2/10,10.8,15.4,7.4
1999/2/11,6.0,8.8,3.5
1999/2/12,7.5,10.6,5.3
1999/2/13,4.3,8.7,0.3
1999/2/14,4.3,8.2,1.5
1999/2/15,6.4,11.5,1.3
1999/2/16,7.6,13.4,1.6
1999/2/17,12.4,15.9,5.4
1999/2/18,14.1,17.4,11.2
1999/2/19,9.2,14.9,4.5
1999/2/20,6.9,11.3,3.4
1999/2/21,6.3,11.0,2.5
1999/2/22,5.8,11.0,-0.1
1999/2/23,7.5,13.6,0.9
1999/2/24,8.2,10.2,5.8
1999/2/25,11.7,16.7,7.6
1999/2/26,11.9,15.6,7.3
1999/2/27,13.8,17.4,7.3
1999/2/28,6.5,11.2,2.1
1999/3/1,10.2,14.7,2.0
1999/3/2,12.2,16.3,4.7
1999/3/3,11.6,15.6,8.7
1999/3/4,13.9,15.9,11.0
1999/3/5,15.1,17.7,11.6
1999/3/6,13.9,16.6,11.4
1999/3/7,9.8,14.8,6.4
1999/3/8,8.3,11.6,6.2
1999/3/9,7.8,12.3,4.8
1999/3/10,6.6,8.2,5.3
1999/3/11,7.2,9.3,5.6
1999/3/12,7.4,9.6,5.2
1999/3/13,8.1,10.7,6.0
1999/3/14,13.5,17.6,7.3
1999/3/15,16.6,19.2,14.5
1999/3/16,13.2,17.2,8.4
1999/3/17,14.7,18.4,9.6
1999/3/18,15.7,20.5,9.9
1999/3/19,16.1,18.3,14.1
1999/3/20,7.2,14.3,3.9
1999/3/21,6.7,8.3,5.4
1999/3/22,9.2,14.4,5.4
1999/3/23,7.9,12.9,4.0
1999/3/24,12.1,16.8,6.3
1999/3/25,12.8,14.2,11.8
1999/3/26,15.2,17.8,12.4
1999/3/27,13.6,17.5,7.7
1999/3/28,8.8,12.1,6.0
1999/3/29,7.6,10.4,4.8
1999/3/30,7.6,9.4,6.0
1999/3/31,8.3,11.4,5.7
