ダウンロードした時刻：2019/10/10 15:41:33

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,3.3,6.9,-0.7
1995/12/2,5.0,9.0,0.4
1995/12/3,5.7,8.2,3.2
1995/12/4,4.7,11.8,-0.1
1995/12/5,3.1,10.0,-2.1
1995/12/6,1.9,9.2,-4.1
1995/12/7,3.5,6.2,-0.2
1995/12/8,1.8,6.6,-1.7
1995/12/9,,5.3,-2.9
1995/12/10,,,
1995/12/11,6.0,10.3,0.6
1995/12/12,5.0,7.6,4.0
1995/12/13,3.5,4.8,1.5
1995/12/14,3.8,10.2,-0.7
1995/12/15,3.6,9.8,-0.6
1995/12/16,0.8,3.5,-1.9
1995/12/17,0.4,3.7,-3.5
1995/12/18,2.2,5.0,-0.2
1995/12/19,2.1,5.7,-1.7
1995/12/20,1.6,7.2,-2.5
1995/12/21,0.9,6.8,-3.9
1995/12/22,2.2,7.1,-2.7
1995/12/23,2.2,7.6,-3.5
1995/12/24,2.2,6.9,-1.4
1995/12/25,-3.7,-1.2,-6.2
1995/12/26,-3.5,-0.8,-7.6
1995/12/27,-1.8,1.9,-5.2
1995/12/28,-1.5,4.0,-8.4
1995/12/29,2.5,7.4,-1.4
1995/12/30,0.1,6.4,-5.4
1995/12/31,1.7,6.4,-2.9
1996/1/1,0.5,2.6,-3.3
1996/1/2,1.2,5.9,-3.2
1996/1/3,2.3,5.8,-2.3
1996/1/4,-0.5,2.7,-2.7
1996/1/5,3.6,7.2,-0.1
1996/1/6,2.4,4.9,-1.9
1996/1/7,2.1,7.1,-3.1
1996/1/8,2.2,6.5,-2.7
1996/1/9,-5.1,-2.2,-6.8
1996/1/10,-1.1,1.9,-5.3
1996/1/11,2.6,4.7,-0.1
1996/1/12,2.9,5.3,0.7
1996/1/13,1.3,6.1,-6.2
1996/1/14,0.7,7.8,-8.8
1996/1/15,7.5,14.7,4.3
1996/1/16,5.4,8.6,2.1
1996/1/17,0.2,2.8,-3.5
1996/1/18,-0.4,4.8,-3.8
1996/1/19,-0.9,3.4,-6.1
1996/1/20,0.3,3.4,-1.9
1996/1/21,1.1,5.6,-2.5
1996/1/22,1.0,5.8,-3.8
1996/1/23,1.2,5.6,-2.6
1996/1/24,-1.8,3.2,-5.4
1996/1/25,-1.6,3.2,-6.4
1996/1/26,-3.0,-1.0,-4.6
1996/1/27,-0.8,3.2,-4.7
1996/1/28,-0.9,6.6,-7.5
1996/1/29,0.4,8.0,-5.1
1996/1/30,-2.1,3.2,-4.9
1996/1/31,-4.3,-1.7,-6.4
1996/2/1,-3.7,0.2,-7.1
1996/2/2,-6.1,-3.5,-7.8
1996/2/3,-3.4,0.1,-7.5
1996/2/4,0.2,5.2,-3.1
1996/2/5,1.7,7.6,-3.8
1996/2/6,-0.5,1.8,-2.3
1996/2/7,0.0,3.3,-3.8
1996/2/8,0.4,6.1,-5.5
1996/2/9,-0.5,4.7,-5.1
1996/2/10,-2.7,0.6,-4.4
1996/2/11,-0.2,5.7,-3.5
1996/2/12,4.7,12.2,-3.2
1996/2/13,9.0,14.1,2.7
1996/2/14,10.1,18.0,3.0
1996/2/15,5.5,11.9,0.8
1996/2/16,-0.5,2.5,-3.2
1996/2/17,-1.3,3.2,-4.6
1996/2/18,-1.9,0.4,-3.8
1996/2/19,-2.9,0.4,-5.4
1996/2/20,-3.0,1.1,-5.9
1996/2/21,-3.0,1.9,-7.4
1996/2/22,-1.3,2.9,-5.0
1996/2/23,-0.9,4.3,-7.2
1996/2/24,-1.6,2.6,-5.3
1996/2/25,-0.2,5.9,-7.2
1996/2/26,2.7,6.4,0.2
1996/2/27,2.3,3.9,1.3
1996/2/28,2.0,6.0,-2.1
1996/2/29,3.6,9.3,-4.5
1996/3/1,4.0,8.6,0.6
1996/3/2,0.4,4.1,-1.9
1996/3/3,-0.7,2.4,-3.8
1996/3/4,0.2,6.1,-7.2
1996/3/5,-1.9,1.1,-3.9
1996/3/6,-0.2,3.8,-5.5
1996/3/7,2.6,7.9,-3.2
1996/3/8,1.2,3.6,0.1
1996/3/9,2.4,5.9,0.3
1996/3/10,1.8,5.5,-0.7
1996/3/11,1.9,7.5,-2.1
1996/3/12,-0.4,2.0,-3.0
1996/3/13,2.0,7.4,-4.4
1996/3/14,5.0,12.6,-2.8
1996/3/15,3.5,7.8,0.8
1996/3/16,6.5,11.9,2.6
1996/3/17,8.2,14.5,3.8
1996/3/18,5.1,10.3,-0.5
1996/3/19,1.9,7.1,-2.2
1996/3/20,3.4,9.3,-1.0
1996/3/21,6.9,14.9,-2.1
1996/3/22,7.5,14.3,4.6
1996/3/23,2.6,5.9,-0.3
1996/3/24,3.5,9.8,-2.5
1996/3/25,5.5,11.0,1.0
1996/3/26,6.6,11.1,0.9
1996/3/27,4.3,10.0,-2.1
1996/3/28,6.3,12.2,1.0
1996/3/29,6.0,12.9,0.4
1996/3/30,7.9,11.7,4.3
1996/3/31,11.6,14.9,9.4
