ダウンロードした時刻：2019/10/10 15:50:01

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,12.1,18.7,6.9
1982/12/2,9.9,17.1,4.9
1982/12/3,10.4,16.5,5.0
1982/12/4,10.8,15.2,8.1
1982/12/5,10.5,14.1,6.1
1982/12/6,4.8,12.2,1.4
1982/12/7,4.2,10.2,-0.4
1982/12/8,5.4,10.7,1.3
1982/12/9,3.1,7.8,-0.6
1982/12/10,7.6,15.5,1.9
1982/12/11,9.8,15.1,3.3
1982/12/12,11.8,16.4,6.0
1982/12/13,5.7,11.1,1.5
1982/12/14,4.9,8.9,1.2
1982/12/15,5.0,10.7,1.5
1982/12/16,5.9,11.1,1.7
1982/12/17,8.1,13.0,4.4
1982/12/18,4.7,8.3,1.9
1982/12/19,3.1,7.7,-0.3
1982/12/20,3.6,9.4,-1.0
1982/12/21,6.5,12.5,2.0
1982/12/22,6.8,9.6,3.8
1982/12/23,8.7,15.3,3.9
1982/12/24,7.5,15.5,2.1
1982/12/25,6.6,10.1,2.4
1982/12/26,3.3,6.7,1.2
1982/12/27,7.3,12.2,3.1
1982/12/28,6.1,10.9,2.5
1982/12/29,5.5,10.8,2.1
1982/12/30,5.6,12.6,1.6
1982/12/31,2.9,6.4,0.8
1983/1/1,2.7,6.8,-0.6
1983/1/2,1.8,7.4,-2.4
1983/1/3,2.5,7.8,-2.6
1983/1/4,2.6,7.8,-1.1
1983/1/5,4.7,9.0,-0.3
1983/1/6,6.8,7.9,5.4
1983/1/7,5.9,8.0,4.8
1983/1/8,8.2,15.6,3.7
1983/1/9,4.8,9.0,1.4
1983/1/10,0.6,6.6,-2.2
1983/1/11,1.2,6.4,-4.5
1983/1/12,3.3,10.0,-2.3
1983/1/13,4.7,10.2,0.0
1983/1/14,2.4,6.6,-1.0
1983/1/15,2.4,6.2,-1.1
1983/1/16,3.0,9.6,-1.9
1983/1/17,5.2,11.3,-1.0
1983/1/18,2.2,4.4,0.5
1983/1/19,3.2,7.6,0.0
1983/1/20,1.5,5.6,-1.8
1983/1/21,0.4,5.0,-3.9
1983/1/22,-0.7,3.2,-3.2
1983/1/23,0.3,6.0,-4.3
1983/1/24,2.4,10.4,-3.8
1983/1/25,4.3,11.1,-0.9
1983/1/26,5.5,10.2,0.6
1983/1/27,5.0,10.9,-0.4
1983/1/28,6.6,14.1,1.2
1983/1/29,7.9,14.6,1.1
1983/1/30,7.2,11.9,3.3
1983/1/31,3.4,7.5,0.1
1983/2/1,3.1,7.9,-2.3
1983/2/2,4.2,5.3,3.2
1983/2/3,4.4,8.6,-0.1
1983/2/4,2.4,7.7,-1.6
1983/2/5,3.9,11.5,-2.2
1983/2/6,6.1,14.1,0.9
1983/2/7,3.8,7.8,1.0
1983/2/8,2.2,6.6,-1.2
1983/2/9,2.3,8.7,-2.6
1983/2/10,2.5,6.8,-1.1
1983/2/11,1.6,7.1,-3.7
1983/2/12,1.8,9.0,-2.5
1983/2/13,-1.8,3.3,-5.9
1983/2/14,1.2,6.5,-4.0
1983/2/15,3.2,9.9,-2.4
1983/2/16,5.7,11.5,-1.1
1983/2/17,1.5,4.9,0.5
1983/2/18,3.8,6.7,1.3
1983/2/19,3.1,8.3,-0.8
1983/2/20,2.2,9.1,-2.5
1983/2/21,1.3,7.0,-3.4
1983/2/22,2.2,6.9,-3.5
1983/2/23,4.8,11.2,-1.9
1983/2/24,2.2,4.9,0.6
1983/2/25,2.8,8.7,-1.8
1983/2/26,2.6,7.4,-1.3
1983/2/27,4.2,9.2,-0.8
1983/2/28,5.2,10.7,-0.5
1983/3/1,8.9,15.9,0.0
1983/3/2,6.0,8.6,4.9
1983/3/3,7.7,13.4,3.0
1983/3/4,5.1,9.9,2.1
1983/3/5,3.6,8.6,0.7
1983/3/6,3.8,12.4,-2.0
1983/3/7,2.9,8.8,-1.8
1983/3/8,2.1,7.0,-1.2
1983/3/9,4.5,10.9,-2.8
1983/3/10,4.5,6.7,3.3
1983/3/11,8.6,13.6,3.0
1983/3/12,6.5,10.9,0.5
1983/3/13,6.4,8.2,5.1
1983/3/14,3.7,8.1,0.0
1983/3/15,5.6,11.7,-1.0
1983/3/16,6.1,9.6,2.0
1983/3/17,6.8,16.6,1.8
1983/3/18,3.2,6.9,0.8
1983/3/19,5.4,11.9,-1.3
1983/3/20,7.6,13.8,0.6
1983/3/21,6.9,11.2,3.4
1983/3/22,11.9,19.1,4.2
1983/3/23,10.5,14.0,6.2
1983/3/24,10.4,16.1,7.2
1983/3/25,8.1,13.7,4.7
1983/3/26,7.6,14.1,1.3
1983/3/27,5.0,6.3,3.6
1983/3/28,9.2,15.0,3.9
1983/3/29,8.5,10.8,6.3
1983/3/30,8.0,10.8,5.5
1983/3/31,9.7,14.6,4.4
