ダウンロードした時刻：2019/10/10 15:59:03

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/12/1,5.0,6.8,3.0
1987/12/2,6.3,9.8,3.7
1987/12/3,6.3,10.3,1.5
1987/12/4,6.5,10.8,2.2
1987/12/5,5.8,8.7,3.2
1987/12/6,2.9,5.2,0.9
1987/12/7,4.5,7.5,1.7
1987/12/8,5.3,8.8,0.3
1987/12/9,8.0,10.7,4.7
1987/12/10,11.7,14.9,8.3
1987/12/11,11.1,12.5,9.5
1987/12/12,8.6,11.4,7.1
1987/12/13,3.0,7.9,1.0
1987/12/14,5.0,9.1,0.4
1987/12/15,8.2,14.2,2.5
1987/12/16,9.4,15.9,4.3
1987/12/17,7.4,13.1,4.2
1987/12/18,5.6,8.4,2.7
1987/12/19,6.9,12.3,3.1
1987/12/20,8.0,13.0,4.0
1987/12/21,8.6,12.7,4.5
1987/12/22,7.8,10.5,5.1
1987/12/23,9.7,15.4,2.8
1987/12/24,10.4,14.3,6.3
1987/12/25,11.3,17.7,4.6
1987/12/26,13.5,18.6,8.0
1987/12/27,12.1,17.4,6.5
1987/12/28,12.0,17.0,6.1
1987/12/29,11.5,17.3,5.4
1987/12/30,10.3,21.5,5.0
1987/12/31,7.1,11.0,4.0
1988/1/1,7.1,12.0,4.1
1988/1/2,8.9,13.9,3.7
1988/1/3,8.7,10.4,7.8
1988/1/4,9.1,13.5,6.5
1988/1/5,5.9,9.3,1.4
1988/1/6,4.5,7.9,1.0
1988/1/7,3.5,5.8,0.6
1988/1/8,8.1,14.1,2.8
1988/1/9,7.8,13.1,4.1
1988/1/10,4.8,7.7,2.6
1988/1/11,5.3,10.0,0.8
1988/1/12,7.8,12.2,2.2
1988/1/13,9.0,13.5,4.8
1988/1/14,9.0,14.9,3.8
1988/1/15,10.5,14.5,4.3
1988/1/16,9.9,12.6,8.3
1988/1/17,7.2,9.4,5.5
1988/1/18,5.7,11.6,2.1
1988/1/19,6.1,8.3,2.9
1988/1/20,7.3,11.9,3.2
1988/1/21,6.7,9.1,3.7
1988/1/22,11.8,16.9,7.4
1988/1/23,11.7,16.0,6.0
1988/1/24,5.7,9.0,2.5
1988/1/25,6.8,10.9,0.9
1988/1/26,8.1,12.2,3.0
1988/1/27,7.6,10.4,4.7
1988/1/28,8.2,12.5,2.8
1988/1/29,9.7,16.4,2.2
1988/1/30,8.2,10.3,5.5
1988/1/31,7.5,12.3,4.4
1988/2/1,6.0,8.5,3.2
1988/2/2,8.0,14.9,3.1
1988/2/3,2.4,6.8,-0.6
1988/2/4,4.5,8.7,-1.6
1988/2/5,10.9,19.7,1.8
1988/2/6,8.1,14.3,4.9
1988/2/7,4.3,7.1,1.6
1988/2/8,4.0,8.5,-0.6
1988/2/9,5.3,9.3,0.1
1988/2/10,4.3,8.5,1.2
1988/2/11,5.1,8.4,1.9
1988/2/12,3.2,5.2,0.4
1988/2/13,6.1,9.3,2.3
1988/2/14,5.2,8.3,2.4
1988/2/15,3.3,8.0,0.6
1988/2/16,2.2,6.1,-1.1
1988/2/17,2.9,6.5,-0.8
1988/2/18,2.7,6.6,-1.2
1988/2/19,3.9,7.6,-0.9
1988/2/20,6.4,11.5,0.2
1988/2/21,3.8,7.8,-0.2
1988/2/22,3.6,7.4,-1.7
1988/2/23,6.8,12.0,1.3
1988/2/24,6.3,8.9,4.2
1988/2/25,3.2,5.4,2.0
1988/2/26,5.1,6.7,2.8
1988/2/27,2.6,5.0,1.2
1988/2/28,5.4,9.7,2.6
1988/2/29,7.5,10.4,3.7
1988/3/1,6.3,9.0,4.7
1988/3/2,5.3,6.4,4.1
1988/3/3,7.4,11.7,4.3
1988/3/4,5.1,8.6,1.3
1988/3/5,5.9,9.4,1.5
1988/3/6,7.9,11.2,3.9
1988/3/7,7.0,11.5,4.4
1988/3/8,6.1,10.0,2.1
1988/3/9,6.4,10.7,2.1
1988/3/10,8.5,12.6,2.4
1988/3/11,12.1,16.9,3.8
1988/3/12,14.0,21.3,7.5
1988/3/13,12.3,16.1,8.3
1988/3/14,14.3,18.2,8.3
1988/3/15,10.6,15.6,4.8
1988/3/16,7.0,10.9,1.9
1988/3/17,5.1,8.1,4.2
1988/3/18,8.0,10.7,4.5
1988/3/19,10.8,13.9,5.5
1988/3/20,9.3,11.3,8.1
1988/3/21,7.0,8.7,5.3
1988/3/22,8.3,12.6,4.6
1988/3/23,13.1,17.7,9.5
1988/3/24,9.2,13.0,5.5
1988/3/25,8.0,10.0,5.0
1988/3/26,5.1,8.8,1.4
1988/3/27,7.7,12.0,3.1
1988/3/28,10.3,14.3,4.9
1988/3/29,8.6,11.7,6.9
1988/3/30,7.0,9.2,5.4
1988/3/31,5.2,8.0,2.1
