É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:16:42

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1980/12/1,11.4,18.9,6.3
1980/12/2,11.9,16.5,5.3
1980/12/3,11.4,15.0,8.4
1980/12/4,8.8,12.9,7.5
1980/12/5,8.2,10.0,5.2
1980/12/6,6.4,13.6,1.9
1980/12/7,7.4,13.7,3.5
1980/12/8,9.2,14.0,4.0
1980/12/9,6.7,9.6,3.0
1980/12/10,6.2,10.8,2.9
1980/12/11,8.5,15.7,1.9
1980/12/12,8.0,12.8,5.7
1980/12/13,4.4,7.1,2.3
1980/12/14,6.6,10.6,3.6
1980/12/15,5.5,9.4,3.3
1980/12/16,5.7,11.1,0.2
1980/12/17,6.8,13.1,2.1
1980/12/18,7.5,13.7,1.5
1980/12/19,8.7,10.4,6.9
1980/12/20,5.2,8.0,1.2
1980/12/21,4.9,8.1,0.4
1980/12/22,4.8,12.0,-0.4
1980/12/23,5.6,9.7,3.4
1980/12/24,6.0,8.4,2.4
1980/12/25,7.3,9.5,2.7
1980/12/26,5.1,7.9,0.5
1980/12/27,1.6,5.6,-1.1
1980/12/28,0.7,5.0,-1.0
1980/12/29,0.5,4.3,-1.2
1980/12/30,2.6,5.0,-0.9
1980/12/31,2.5,7.0,-1.5
1981/1/1,4.4,11.5,-2.6
1981/1/2,4.7,8.2,3.2
1981/1/3,3.1,5.1,0.8
1981/1/4,2.9,5.3,1.3
1981/1/5,3.5,6.7,1.1
1981/1/6,3.3,6.4,1.3
1981/1/7,5.3,10.2,2.9
1981/1/8,3.8,10.9,-1.4
1981/1/9,5.0,12.4,-1.0
1981/1/10,5.9,8.8,3.9
1981/1/11,1.6,4.4,-1.0
1981/1/12,3.5,6.8,-0.2
1981/1/13,4.1,6.9,2.5
1981/1/14,3.0,7.7,-1.3
1981/1/15,4.0,11.0,-2.5
1981/1/16,3.1,9.3,0.1
1981/1/17,2.6,9.6,-2.0
1981/1/18,3.9,9.1,-1.6
1981/1/19,5.9,10.8,1.4
1981/1/20,5.1,9.3,1.0
1981/1/21,3.8,9.3,-0.6
1981/1/22,3.1,8.5,-0.5
1981/1/23,2.4,9.6,-3.4
1981/1/24,9.8,15.8,-0.5
1981/1/25,8.1,12.7,4.0
1981/1/26,4.7,9.6,3.0
1981/1/27,3.8,9.7,-0.6
1981/1/28,3.6,10.7,-1.2
1981/1/29,3.9,10.9,-1.6
1981/1/30,3.2,11.1,-2.8
1981/1/31,4.1,10.2,-2.0
1981/2/1,5.4,7.1,3.9
1981/2/2,5.7,11.0,0.9
1981/2/3,4.5,11.6,0.5
1981/2/4,2.1,7.0,-1.2
1981/2/5,4.6,11.3,-0.4
1981/2/6,4.9,12.7,-0.5
1981/2/7,5.4,12.0,0.5
1981/2/8,6.6,11.6,3.6
1981/2/9,5.4,12.0,0.5
1981/2/10,7.5,11.6,4.3
1981/2/11,6.1,11.6,0.0
1981/2/12,5.6,10.4,-1.1
1981/2/13,10.6,14.6,7.5
1981/2/14,10.6,16.2,5.9
1981/2/15,11.4,18.3,5.6
1981/2/16,14.2,19.0,10.1
1981/2/17,7.3,18.8,1.8
1981/2/18,6.9,13.1,1.2
1981/2/19,8.4,11.0,4.2
1981/2/20,5.2,10.4,-0.2
1981/2/21,7.1,12.4,2.9
1981/2/22,6.5,11.9,0.3
1981/2/23,10.0,12.3,7.1
1981/2/24,7.5,11.4,4.3
1981/2/25,1.1,5.6,-1.4
1981/2/26,-2.9,0.7,-4.6
1981/2/27,-1.0,4.4,-4.5
1981/2/28,1.8,9.0,-4.9
1981/3/1,2.8,4.2,-0.7
1981/3/2,5.1,9.7,1.0
1981/3/3,6.3,8.1,2.7
1981/3/4,8.8,14.0,4.1
1981/3/5,7.5,14.3,0.5
1981/3/6,3.9,11.2,-0.6
1981/3/7,5.5,14.8,-1.6
1981/3/8,8.9,16.0,0.5
1981/3/9,9.5,15.8,5.9
1981/3/10,6.8,12.6,1.7
1981/3/11,5.6,13.0,-1.5
1981/3/12,11.0,19.7,3.4
1981/3/13,14.2,16.7,11.4
1981/3/14,15.0,20.6,11.6
1981/3/15,10.5,15.0,7.8
1981/3/16,8.9,14.8,5.4
1981/3/17,9.7,17.1,2.1
1981/3/18,10.6,18.6,2.7
1981/3/19,12.6,16.9,9.2
1981/3/20,13.7,18.7,8.6
1981/3/21,12.0,14.1,10.3
1981/3/22,13.0,17.7,9.4
1981/3/23,12.6,19.5,7.5
1981/3/24,12.9,17.7,8.4
1981/3/25,16.2,19.7,12.7
1981/3/26,11.4,15.5,7.7
1981/3/27,9.2,14.5,4.4
1981/3/28,9.4,15.4,4.6
1981/3/29,9.3,11.2,7.9
1981/3/30,11.1,15.7,8.0
1981/3/31,10.2,11.1,9.1
